Configuration	Term	J	g	Level (cm-1)
"4d7"	"a 4F"	"9/2"	10	" 0.0"	
"4d7"	"a 4F"	"7/2"	8	" 2147.8"	
"4d7"	"a 4F"	"5/2"	6	" 3485.7"	
"4d7"	"a 4F"	"3/2"	4	" 4322.0"	
"4d7"	"a 4P"	"3/2"	4	" 10997.1"	
"4d7"	"a 4P"	"5/2"	6	" 11062.3"	
"4d7"	"a 4P"	"1/2"	2	" 12469.8"	
"4d7"	"a 2G"	"9/2"	10	" 13030.0"	
"4d7"	"a 2G"	"7/2"	8	" 15129.5"	
"4d7"	"a 2P"	"3/2"	4	" 16091.0"	
"4d7"	"a 2H"	"11/2"	12	" 17424.5"	
"4d7"	"a 2P"	"1/2"	2	" 18182.0"	
"4d7"	"a 2D"	"5/2"	6	" 18277.1"	
"4d7"	"a 2H"	"9/2"	10	" 19576.4"	
"4d7"	"a 2D"	"3/2"	4	" 21698.5"	
"4d7"	"a 2F"	"5/2"	6	" 26801.0"	
"4d7"	"a 2F"	"7/2"	8	" 27889.5"	
"4d7"	"b 2D"	"3/2"	4	" 42304.4"	
"4d6.(5D).5s"	"a 6D"	"9/2"	10	" 43022.0"	
"4d7"	"b 2D"	"5/2"	6	" 43251.4"	
"4d6.(5D).5s"	"a 6D"	"7/2"	8	" 44394.4"	
"4d6.(5D).5s"	"a 6D"	"5/2"	6	" 45278.2"	
"4d6.(5D).5s"	"a 6D"	"3/2"	4	" 45876.6"	
"4d6.(5D).5s"	"a 6D"	"1/2"	2	" 46227.0"	
"4d6.(5D).5s"	"a 4D"	"7/2"	8	" 54632.0"	
"4d6.(5D).5s"	"a 4D"	"5/2"	6	" 56126.1"	
"4d6.(5D).5s"	"a 4D"	"3/2"	4	" 57012.6"	
"4d6.(5D).5s"	"a 4D"	"1/2"	2	" 57531.3"	
"4d6.(3H).5s"	"a 4H"	"13/2"	14	" 62352.5"	
"4d6.(3H).5s"	"a 4H"	"9/2"	10	" 62402.1"	
"4d6.(3H).5s"	"a 4H"	"11/2"	12	" 62535.6"	
"4d6.(a 3P).5s"	"b 4P"	"5/2"	6	" 62610.3"	
"4d6.(3H).5s"	"a 4H"	"7/2"	8	" 62869.1"	
"4d6.(a 3F).5s"	"b 4F"	"9/2"	10	" 64221.5"	
"4d6.(a 3F).5s"	"b 4F"	"7/2"	8	" 64732.9"	
"4d6.(a 3F).5s"	"b 4F"	"5/2"	6	" 64873.8"	
"4d6.(a 3F).5s"	"b 4F"	"3/2"	4	" 65280.3"	
"4d6.(a 3P).5s"	"b 4P"	"3/2"	4	" 65526.2"	
"4d6.(3G).5s"	"a 4G"	"11/2"	12	" 66104.1"	
"4d6.(a 3P).5s"	"b 4P"	"1/2"	2	" 67494.2"	
"4d6.(3G).5s"	"a 4G"	"9/2"	10	" 67593.5"	
"4d6.(3G).5s"	"a 4G"	"5/2"	6	" 67774.9"	
"4d6.(3G).5s"	"a 4G"	"7/2"	8	" 68019.3"	
"4d6.(3H).5s"	"b 2H"	"11/2"	12	" 69721.7"	
"4d6.(3H).5s"	"b 2H"	"9/2"	10	" 69746.9"	
"4d6.(a 3P).5s"	"b 2P"	"3/2"	4	" 70622.2"	
