Configuration	Term	J	g	Level (cm-1)
"4d7.(a 4F).5s"	"a 5F"	"5"	11	" 0.00"	
"4d7.(a 4F).5s"	"a 5F"	"4"	9	" 1190.64"	
"4d7.(a 4F).5s"	"a 5F"	"3"	7	" 2091.54"	
"4d7.(a 4F).5s"	"a 5F"	"2"	5	" 2713.24"	
"4d7.(a 4F).5s"	"a 5F"	"1"	3	" 3105.49"	
"4d7.(a 4F).5s"	"a 3F"	"4"	9	" 6545.03"	
"4d6.5s2"	"a 5D"	"4"	9	" 7483.07"	
"4d7.(a 4P).5s"	"a 5P"	"2"	5	" 8043.69"	
"4d7.(a 4F).5s"	"a 3F"	"3"	7	" 8084.12"	
"4d6.5s2"	"a 5D"	"3"	7	" 8575.42"	
"4d7.(a 4P).5s"	"a 5P"	"3"	7	" 8770.93"	
"4d6.5s2"	"a 5D"	"2"	5	" 9057.64"	
"4d6.5s2"	"a 5D"	"1"	3	" 9072.98"	
"4d8"	"b 3F"	"4"	9	" 9120.63"	
"4d7.(a 4F).5s"	"a 3F"	"2"	5	" 9183.66"	
"4d6.5s2"	"a 5D"	"0"	1	" 9492.37"	
"4d7.(a 4P).5s"	"a 5P"	"1"	3	" 9620.29"	
"4d7.(a 2P).5s"	"a 3P"	"2"	5	" 10623.53"	
"4d8"	"b 3F"	"3"	7	" 10654.62"	
"4d8"	"b 3F"	"2"	5	" 11447.31"	
"4d7.(a 2P).5s"	"a 3P"	"0"	1	" 11752.62"	
"4d7.(a 2P).5s"	"a 3P"	"1"	3	" 11786.05"	
"4d7.(a 2G).5s"	"a 3G"	"5"	11	" 12207.05"	
"4d7.(a 2G).5s"	"a 3G"	"4"	9	" 12816.69"	
"4d7.(a 4P).5s"	"b 3P"	"2"	5	" 13645.75"	
"4d7.(a 2G).5s"	"a 3G"	"3"	7	" 13699.07"	
"4d7.(a 4P).5s"	"b 3P"	"1"	3	" 13981.67"	
"4d7.(a 2G).5s"	"a 1G"	"4"	9	" 14700.32"	
"4d7.(a 4P).5s"	"b 3P"	"0"	1	" 14827.50"	
"4d7.(a 2D).5s"	"a 3D"	"2"	5	" 15054.07"	
"4d7.(a 2H).5s"	"a 3H"	"6"	13	" 15550.16"	
"4d7.(a 2D).5s"	"a 3D"	"3"	7	" 16190.61"	
"4d7.(a 2H).5s"	"a 3H"	"5"	11	" 16240.13"	
"4d7.(a 2D).5s"	"a 3D"	"1"	3	" 16712.58"	
"4d7.(a 2D).5s"	"a 1D"	"2"	5	" 17045.97"	
"4d7.(a 2H).5s"	"a 3H"	"4"	9	" 17096.87"	
"4d7.(a 2H).5s"	"a 1H"	"5"	11	" 20055.71"	
"4d7.(a 2P).5s"	"a 1P"	"1"	3	" 20242.01"	
"4d8"	"c 3P"	"2"	5	" 20933.75"	
"4d6.5s2"	"c 3F"	"4"	9	" 21643.09"	
"4d6.5s2"	"b 3H"	"6"	13	" 22162.06"	
"4d8"	"c 3P"	"1"	3	" 22292.64"	
"4d6.5s2"	"c 3F"	"2"	5	" 22343.14"	
"4d6.5s2"	"c 3F"	"3"	7	" 22419.46"	
"4d6.5s2"	"b 3H"	"5"	11	" 22518.88"	
"4d6.5s2"	"b 3H"	"4"	9	" 23004.77"	
"4d8"	"b 1G"	"4"	9	" 23392.60"	
"4d8"	"b 1D"	"2"	5	" 23453.47"	
"4d8"	"c 3P"	"0"	1	" 24173.68?"	
"4d6.5s2"	"d 3P?"	"2"	5	" 24927.48"	
"4d6.5s.(a 6D).5p"	"z 7D*"	"5"	11	" 25214.16"	
"4d6.5s.(a 6D).5p"	"z 7D*"	"4"	9	" 25464.49"	
"4d6.5s2"	"b 3G"	"5"	11	" 25602.60"	
"4d6.5s2"	"b 3G"	"4"	9	" 25642.69"	
"4d6.5s.(a 6D).5p"	"z 7D*"	"3"	7	" 26035.56"	
"4d6.5s2"	"b 3G"	"3"	7	" 26075.70"	
"4d7.(a 4F).5p"	"z 5D*"	"4"	9	" 26312.83"	
"4d6.5s.(a 6D).5p"	"z 7D*"	"2"	5	" 26472.74"	
"4d6.5s.(a 6D).5p"	"z 7D*"	"1"	3	" 26780.46"	
"4d7.(a 4F).5p"	"z 5F*"	"5"	11	" 26816.23"	
"4d7.(a 2F).5s?"	"d 3F"	"4"	9	" 27289.24"	
"4d7.(a 4F).5p"	"z 5D*"	"3"	7	" 27506.59"	
"4d7.(a 2F).5s?"	"d 3F"	"3"	7	" 27516.57"	
"4d6.5s2"	"d 3P?"	"1"	3	" 27560.59"	
"4d7.(a 4F).5p"	"z 5F*"	"4"	9	" 28014.79"	
"4d7.(a 4F).5p"	"z 5D*"	"2"	5	" 28465.69"	
"4d7.(a 4F).5p"	"z 3G*"	"5"	11	" 28495.10"	
"4d7.(a 4F).5p"	"z 5G*"	"6"	13	" 28571.89"	
"4d7.(a 4F).5p"	"z 5F*"	"3"	7	" 28890.47"	
"4d7.(a 4F).5p"	"z 5D*"	"1"	3	" 29118.49"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"6"	13	" 29160.46"	
"4d6.5s2"	"b 3D"	"2"	5	" 29352.41"	
"4d7.(a 4F).5p"	"z 5F*"	"2"	5	" 29427.32"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"5"	11	" 29468.04"	
"4d7.(a 4F).5p"	"z 5D*"	"0"	1	" 29569.90"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"4"	9	" 29594.56"	
"4d7.(a 4F).5p"	"z 5F*"	"1"	3	" 29693.57"	
"4d7.(a 4F).5p"	"z 3G*"	"4"	9	" 29890.91"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"3"	7	" 29891.90"	
"4d6.5s2"	"b 3D"	"3"	7	" 29979.00"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"2"	5	" 30018.34"	
"4d6.5s.(a 6D).5p"	"z 7F*"	"1"	3	" 30085.38"	
