Configuration	Term	J	g	Level (cm-1)
"3s2.3p4"	"3P"	"2"	5	" 0.000"	
"3s2.3p4"	"3P"	"1"	3	" 396.055"	
"3s2.3p4"	"3P"	"0"	1	" 573.640"	
"3s2.3p4"	"1D"	"2"	5	" 9238.609"	
"3s2.3p4"	"1S"	"0"	1	" 22179.954"	
"3s2.3p3.(4S*).4s"	"5S*"	"2"	5	" 52623.640"	
"3s2.3p3.(4S*).4s"	"3S*"	"1"	3	" 55330.811"	
"3s2.3p3.(4S*).4p"	"5P"	"1"	3	" 63446.065"	
"3s2.3p3.(4S*).4p"	"5P"	"2"	5	" 63457.142"	
"3s2.3p3.(4S*).4p"	"5P"	"3"	7	" 63475.051"	
"3s2.3p3.(4S*).4p"	"3P"	"1"	3	" 64888.964"	
"3s2.3p3.(4S*).4p"	"3P"	"0"	1	" 64891.386"	
"3s2.3p3.(4S*).4p"	"3P"	"2"	5	" 64892.582"	
"3s2.3p3.(2D*).4s"	"3D*"	"1"	3	" 67816.351"	
"3s2.3p3.(2D*).4s"	"3D*"	"2"	5	" 67825.188"	
"3s2.3p3.(2D*).4s"	"3D*"	"3"	7	" 67842.867"	
"3s2.3p3.(4S*).3d"	"5D*"	"4"	9	" 67877.635"	
"3s2.3p3.(4S*).3d"	"5D*"	"0"	1	" 67884.158"	
"3s2.3p3.(4S*).3d"	"5D*"	"1"	3	" 67885.535"	
"3s2.3p3.(4S*).3d"	"5D*"	"2"	5	" 67887.805"	
"3s2.3p3.(4S*).3d"	"5D*"	"3"	7	" 67890.016"	
"3s2.3p3.(2D*).4s"	"1D*"	"2"	5	" 69237.886"	
"3s2.3p3.(4S*).3d"	"3D*"	"1"	3	" 70164.650"	
"3s2.3p3.(4S*).3d"	"3D*"	"2"	5	" 70166.195"	
"3s2.3p3.(4S*).3d"	"3D*"	"3"	7	" 70173.968"	
"3s2.3p3.(4S*).5s"	"5S*"	"2"	5	" 70702.790"	
"3s2.3p3.(4S*).5s"	"3S*"	"1"	3	" 71351.399"	
"3s.3p5"	"3P*"	"2"	5	" 72023.495"	
"3s.3p5"	"3P*"	"1"	3	" 72382.328"	
"3s.3p5"	"3P*"	"0"	1	" 72571.630"	
"3s2.3p3.(4S*).5p"	"5P"	"1"	3	" 73911.259"	
"3s2.3p3.(4S*).5p"	"5P"	"2"	5	" 73914.928"	
"3s2.3p3.(4S*).5p"	"5P"	"3"	7	" 73920.961"	
"3s2.3p3.(4S*).5p"	"3P"	"2"	5	" 74268.547"	
"3s2.3p3.(4S*).5p"	"3P"	"1"	3	" 74269.600"	
"3s2.3p3.(4S*).5p"	"3P"	"0"	1	" 74271.651"	
"3s2.3p3.(4S*).4d"	"5D*"	"4"	9	" 74973.14"	
"3s2.3p3.(4S*).4d"	"5D*"	"3"	7	" 74974.10"	
"3s2.3p3.(4S*).4d"	"5D*"	"2"	5	" 74975.19"	
"3s2.3p3.(4S*).4d"	"5D*"	"1"	3	" 74976.06"	
"3s2.3p3.(4S*).4d"	"5D*"	"0"	1	" 74976.61"	
"3s2.3p3.(4S*).4d"	"3D*"	"1"	3	" 75951.95"	
"3s2.3p3.(4S*).4d"	"3D*"	"2"	5	" 75952.35"	
"3s2.3p3.(4S*).4d"	"3D*"	"3"	7	" 75956.53"	
"3s2.3p3.(4S*).6s"	"5S*"	"2"	5	" 76464.06"	
"3s2.3p3.(4S*).4f"	"5F"	"4"	9	" 76654.767"	
"3s2.3p3.(4S*).4f"	"5F"	"5"	11	" 76654.769"	
"3s2.3p3.(4S*).4f"	"5F"	"3"	7	" 76654.794"	
"3s2.3p3.(4S*).4f"	"5F"	"2"	5	" 76654.811"	
"3s2.3p3.(4S*).4f"	"5F"	"1"	3	" 76654.847"	
"3s2.3p3.(4S*).4f"	"3F"	"4"	9	" 76656.324"	
"3s2.3p3.(4S*).4f"	"3F"	"3"	7	" 76656.330"	
"3s2.3p3.(4S*).4f"	"3F"	"2"	5	" 76656.358"	
"3s2.3p3.(4S*).6s"	"3S*"	"1"	3	" 76720.65"	
"3s2.3p3.(2P*).4s"	"3P*"	"0"	1	" 77135.52"	
"3s2.3p3.(2P*).4s"	"3P*"	"1"	3	" 77150.14"	
"3s2.3p3.(2P*).4s"	"3P*"	"2"	5	" 77181.15"	
"3s2.3p3.(4S*).6p"	"5P"	"1"	3	" 77850.740"	
"3s2.3p3.(4S*).6p"	"5P"	"2"	5	" 77853.234"	
"3s2.3p3.(2D*).4p"	"1P"	"1"	3	" 77854.906"	
"3s2.3p3.(4S*).6p"	"5P"	"3"	7	" 77856.446"	
"3s2.3p3.(4S*).6p"	"3P"	"2"	5	" 77890.532"	
"3s2.3p3.(4S*).6p"	"3P"	"0"	1	" 77902.208"	
"3s2.3p3.(4S*).6p"	"3P"	"1"	3	" 77913.543"	
"3s2.3p3.(2D*).4p"	"3D"	"2"	5	" 78152.071"	
"3s2.3p3.(2D*).4p"	"3D"	"1"	3	" 78152.336"	
"3s2.3p3.(2D*).4p"	"3D"	"3"	7	" 78203.180"	
"3s2.3p3.(4S*).5d"	"5D*"	"4"	9	" 78270.10"	
"3s2.3p3.(4S*).5d"	"5D*"	"3"	7	" 78270.52"	
"3s2.3p3.(4S*).5d"	"5D*"	"2"	5	" 78270.99"	
"3s2.3p3.(2P*).4s"	"1P*"	"1"	3	" 78288.44"	
"3s2.3p3.(2D*).4p"	"3F"	"2"	5	" 78409.89"	
"3s2.3p3.(2D*).4p"	"3F"	"3"	7	" 78435.81"	
"3s2.3p3.(2D*).4p"	"3F"	"4"	9	" 78463.04"	
"3s2.3p3.(2D*).4p"	"1F"	"3"	7	" 78639.923"	
"3s2.3p3.(4S*).5d"	"3D*"	"2"	5	" 78691.37"	
"3s2.3p3.(4S*).5d"	"3D*"	"3"	7	" 78691.80"	
