Configuration	Term	J	g	Level (cm-1)
"1s2"	"1S"	"0"	1	" 0"	
"1s.2s"	"3S"	"1"	3	"[19602076]"	
"1s.2p"	"3P*"	"0"	1	"[19734314]"	
"1s.2p"	"3P*"	"1"	3	"[19737521]"	
"1s.2s"	"1S"	"0"	1	"[19745473]"	
"1s.2p"	"3P*"	"2"	5	"[19750573]"	
"1s.2p"	"1P*"	"1"	3	"[19846285]"	
"1s.3s"	"3S"	"1"	3	"[23193163]"	
"1s.3p"	"3P*"	"0"	1	"[23229571]"	
"1s.3p"	"3P*"	"1"	3	"[23230551]"	
"1s.3s"	"1S"	"0"	1	"[23231087]"	
"1s.3p"	"3P*"	"2"	5	"[23234429]"	
"1s.3d"	"3D"	"1"	3	"[23254611]"	
"1s.3d"	"3D"	"2"	5	"[23254645]"	
"1s.3d"	"3D"	"3"	7	"[23256165]"	
"1s.3d"	"1D"	"2"	5	"[23257195]"	
"1s.3p"	"1P*"	"1"	3	"[23260416]"	
"1s.4s"	"3S"	"1"	3	"[24431101]"	
"1s.4p"	"3P*"	"0"	1	"[24446163]"	
"1s.4s"	"1S"	"0"	1	"[24446439]"	
"1s.4p"	"3P*"	"1"	3	"[24446570]"	
"1s.4p"	"3P*"	"2"	5	"[24448199]"	
"1s.4d"	"3D"	"1"	3	"[24456527]"	
"1s.4d"	"3D"	"2"	5	"[24456527]"	
"1s.4d"	"3D"	"3"	7	"[24457176]"	
"1s.4d"	"1D"	"2"	5	"[24457576]"	
"1s.4f"	"3F*"	"2"	5	"[24457889]"	
"1s.4f"	"3F*"	"3"	7	"[24457889]"	
"1s.4f"	"3F*"	"4"	9	"[24457889]"	
"1s.4f"	"1F*"	"3"	7	"[24457889]"	
"1s.4p"	"1P*"	"1"	3	"[24458842]"	
"1s.5s"	"3S"	"1"	3	"[24999972]"	
"1s.5p"	"3P*"	"0"	1	"[25007589]"	
"1s.5s"	"1S"	"0"	1	"[25007605]"	
"1s.5p"	"3P*"	"1"	3	"[25007798]"	
"1s.5p"	"3P*"	"2"	5	"[25008632]"	
"1s.5d"	"3D"	"1"	3	"[25012870]"	
"1s.5d"	"3D"	"2"	5	"[25012870]"	
"1s.5d"	"3D"	"3"	7	"[25013202]"	
"1s.5d"	"1D"	"2"	5	"[25013407]"	
"1s.5f"	"3F*"	"2"	5	"[25013562]"	
"1s.5f"	"3F*"	"3"	7	"[25013562]"	
"1s.5f"	"3F*"	"4"	9	"[25013562]"	
"1s.5f"	"1F*"	"3"	7	"[25013562]"	
"1s.5g"	"3G"	"3"	7	"[25013723]"	
"1s.5g"	"3G"	"4"	9	"[25013723]"	
"1s.5g"	"3G"	"5"	11	"[25013723]"	
"1s.5g"	"1G"	"4"	9	"[25013723]"	
"1s.5p"	"1P*"	"1"	3	"[25014007]"	
"1s.6s"	"3S"	"1"	3	"[25307614]"	
"1s.6s"	"1S"	"0"	1	"[25312000]"	
"1s.6p"	"3P*"	"0"	1	"[25312007]"	
"1s.6p"	"3P*"	"1"	3	"[25312128]"	
"1s.6p"	"3P*"	"2"	5	"[25312610]"	
"1s.6d"	"3D"	"1"	3	"[25315047]"	
"1s.6d"	"3D"	"2"	5	"[25315047]"	
"1s.6d"	"3D"	"3"	7	"[25315239]"	
"1s.6d"	"1D"	"2"	5	"[25315357]"	
"1s.6f"	"3F*"	"2"	5	"[25315445]"	
"1s.6f"	"3F*"	"3"	7	"[25315445]"	
"1s.6f"	"3F*"	"4"	9	"[25315445]"	
"1s.6f"	"1F*"	"3"	7	"[25315445]"	
"1s.6g"	"3G"	"3"	7	"[25315534]"	
"1s.6g"	"3G"	"4"	9	"[25315534]"	
"1s.6g"	"3G"	"5"	11	"[25315534]"	
"1s.6g"	"1G"	"4"	9	"[25315534]"	
"1s.6h"	"3H*"	"4"	9	"[25315589]"	
"1s.6h"	"3H*"	"5"	11	"[25315589]"	
"1s.6h"	"3H*"	"6"	13	"[25315589]"	
"1s.6h"	"1H*"	"5"	11	"[25315589]"	
"1s.6p"	"1P*"	"1"	3	"[25315693]"	
"1s.7s"	"3S"	"1"	3	"[25492558]"	
"1s.7s"	"1S"	"0"	1	"[25495299]"	
"1s.7p"	"3P*"	"0"	1	"[25495315]"	
"1s.7p"	"3P*"	"1"	3	"[25495392]"	
"1s.7p"	"3P*"	"2"	5	"[25495695]"	
"1s.7p"	"1P*"	"1"	3	"[25497627]"	
"1s.8s"	"3S"	"1"	3	"[25612331]"	
"1s.8s"	"1S"	"0"	1	"[25614158]"	
"1s.8p"	"3P*"	"0"	1	"[25614174]"	
"1s.8p"	"3P*"	"1"	3	"[25614225]"	
"1s.8p"	"3P*"	"2"	5	"[25614428]"	
"1s.8p"	"1P*"	"1"	3	"[25615718]"	
"1s.9s"	"3S"	"1"	3	"[25694310]"	
"1s.9s"	"1S"	"0"	1	"[25695589]"	
"1s.9p"	"3P*"	"0"	1	"[25695602]"	
"1s.9p"	"3P*"	"1"	3	"[25695638]"	
"1s.9p"	"3P*"	"2"	5	"[25695781]"	
"1s.9p"	"1P*"	"1"	3	"[25696685]"	
"1s.10s"	"3S"	"1"	3	"[25752872]"	
"1s.10s"	"1S"	"0"	1	"[25753802]"	
"1s.10p"	"3P*"	"0"	1	"[25753813]"	
"1s.10p"	"3P*"	"1"	3	"[25753839]"	
"1s.10p"	"3P*"	"2"	5	"[25753943]"	
"1s.10p"	"1P*"	"1"	3	"[25754601]"	
"S XVI (1s 2S<1/2>)"	"Limit"	"---"		"(26001545.1)"	
"2s2"	"1S"	"0"	1	"[40511800]"	
"2s.2p"	"3P*"	"0"	1	"[40541800]"	
"2s.2p"	"3P*"	"1"	3	"[40548200]"	
"2s.2p"	"3P*"	"2"	5	"[40564200]"	
"2p2"	"3P"	"0"	1	"[40663600]"	
"2p2"	"3P"	"1"	3	"[40671900]"	
"2p2"	"3P"	"2"	5	"[40684300]"	
"2p2"	"1D"	"2"	5	"[40745200]"	
"2s.2p"	"1P*"	"1"	3	"[40748400]"	
"2p2"	"1S"	"0"	1	"[40939100]"	
"S XVI .2p.(2P*<1/2>)"	"Limit"	"---"		"[47130813]"	
"S XVI .2s.(2S<1/2>)"	"Limit"	"---"		"[47131660]"	
"S XVI .2p.(2P*<3/2>)"	"Limit"	"---"		"[47155008]"	
