Configuration	Term	J	g	Level (cm-1)
"3d.4s2"	"2D"	"3/2"	4	" 0.0000"	
"3d.4s2"	"2D"	"5/2"	6	" 168.3371"	
"3d2.(3F).4s"	"4F"	"3/2"	4	" 11519.9611"	
"3d2.(3F).4s"	"4F"	"5/2"	6	" 11557.6556"	
"3d2.(3F).4s"	"4F"	"7/2"	8	" 11610.2357"	
"3d2.(3F).4s"	"4F"	"9/2"	10	" 11677.3121"	
"3d2.(3F).4s"	"2F"	"5/2"	6	" 14926.061"	
"3d2.(3F).4s"	"2F"	"7/2"	8	" 15041.902"	
"3d.4s.(3D).4p"	"4F*"	"3/2"	4	" 15672.5595"	
"3d.4s.(3D).4p"	"4F*"	"5/2"	6	" 15756.5295"	
"3d.4s.(3D).4p"	"4F*"	"7/2"	8	" 15881.7082"	
"3d.4s.(3D).4p"	"4D*"	"1/2"	2	" 16009.7432"	
"3d.4s.(3D).4p"	"4D*"	"3/2"	4	" 16021.7788"	
"3d.4s.(1D).4p"	"2D*"	"5/2"	6	" 16022.7219"	
"3d.4s.(3D).4p"	"4F*"	"9/2"	10	" 16026.5528"	
"3d.4s.(1D).4p"	"2D*"	"3/2"	4	" 16096.8834"	
"3d.4s.(3D).4p"	"4D*"	"5/2"	6	" 16141.0012"	
"3d.4s.(3D).4p"	"4D*"	"7/2"	8	" 16210.8140"	
"3d2.(1D).4s"	"2D"	"5/2"	6	" 17012.753"	
"3d2.(1D).4s"	"2D"	"3/2"	4	" 17025.127"	
"3d2.(3P).4s"	"4P"	"1/2"	2	" 17226.025"	
"3d2.(3P).4s"	"4P"	"3/2"	4	" 17255.076"	
"3d2.(3P).4s"	"4P"	"5/2"	6	" 17307.069"	
"3d.4s.(3D).4p"	"4P*"	"1/2"	2	" 18504.058"	
"3d.4s.(3D).4p"	"4P*"	"3/2"	4	" 18515.665"	
"3d.4s.(3D).4p"	"4P*"	"5/2"	6	" 18571.386"	
"4s2.4p"	"2P*"	"1/2"	2	" 18711.029"	
"4s2.4p"	"2P*"	"3/2"	4	" 18855.734"	
"3d2.(1G).4s"	"2G"	"9/2"	10	" 20236.877"	
"3d2.(1G).4s"	"2G"	"7/2"	8	" 20239.650"	
"3d2.(3P).4s"	"2P"	"1/2"	2	" 20681.410"	
"3d2.(3P).4s"	"2P"	"3/2"	4	" 20719.833"	
"3d.4s.(1D).4p"	"2F*"	"5/2"	6	" 21032.732"	
"3d.4s.(1D).4p"	"2F*"	"7/2"	8	" 21085.829"	
"3d.4s.(1D).4p"	"2P*"	"1/2"	2	" 24656.712"	
"3d.4s.(1D).4p"	"2P*"	"3/2"	4	" 24656.866"	
"3d.4s.(3D).4p"	"2D*"	"3/2"	4	" 24866.172"	
"3d.4s.(3D).4p"	"2D*"	"5/2"	6	" 25014.190"	
"3d.4s.(3D).4p"	"2F*"	"5/2"	6	" 25584.627"	
"3d.4s.(3D).4p"	"2F*"	"7/2"	8	" 25724.658"	
"3d2.(1S).4s"	"2S"	"1/2"	2	" 26936.971"	
"3d2.(3F).4p"	"4G*"	"5/2"	6	" 29022.864"	
"3d2.(3F).4p"	"4G*"	"7/2"	8	" 29096.178"	
"3d2.(3F).4p"	"4G*"	"9/2"	10	" 29189.842"	
"3d2.(3F).4p"	"4G*"	"11/2"	12	" 29303.485"	
"3d.4s.(3D).4p"	"2P*"	"1/2"	2	" 30573.163"	
"3d.4s.(3D).4p"	"2P*"	"3/2"	4	" 30706.696"	
"3d2.(3F).4p"	"4F*"	"3/2"	4	" 31172.621"	
"3d2.(3F).4p"	"4F*"	"5/2"	6	" 31215.780"	
"3d2.(3F).4p"	"4F*"	"7/2"	8	" 31275.400"	
"3d2.(3F).4p"	"4F*"	"9/2"	10	" 31350.789"	
"3d2.(3F).4p"	"4D*"	"1/2"	2	" 32637.409"	
"3d2.(3F).4p"	"4D*"	"3/2"	4	" 32659.285"	
"3d2.(3F).4p"	"4D*"	"5/2"	6	" 32696.808"	
