Configuration	Term	J	g	Level (cm-1)
"3p6.3d.4s"	"3D"	"1"	3	" 0.00"	
"3p6.3d.4s"	"3D"	"2"	5	" 67.72"	
"3p6.3d.4s"	"3D"	"3"	7	" 177.76"	
"3p6.3d.4s"	"1D"	"2"	5	" 2540.95"	
"3p6.3d2"	"3F"	"2"	5	" 4802.87"	
"3p6.3d2"	"3F"	"3"	7	" 4883.57"	
"3p6.3d2"	"3F"	"4"	9	" 4987.79"	
"3p6.3d2"	"1D"	"2"	5	" 10944.56"	
"3p6.4s2"	"1S"	"0"	1	" 11736.36"	
"3p6.3d2"	"3P"	"0"	1	" 12074.10"	
"3p6.3d2"	"3P"	"1"	3	" 12101.50"	
"3p6.3d2"	"3P"	"2"	5	" 12154.42"	
"3p6.3d2"	"1G"	"4"	9	" 14261.32"	
"3p6.3d2"	"1S"	"0"	1	" 25955.2"	
"3p6.3d.4p"	"1D*"	"2"	5	" 26081.34"	
"3p6.3d.4p"	"3F*"	"2"	5	" 27443.71"	
"3p6.3d.4p"	"3F*"	"3"	7	" 27602.45"	
"3p6.3d.4p"	"3F*"	"4"	9	" 27841.35"	
"3p6.3d.4p"	"3D*"	"1"	3	" 27917.78"	
"3p6.3d.4p"	"3D*"	"2"	5	" 28021.29"	
"3p6.3d.4p"	"3D*"	"3"	7	" 28161.17"	
"3p6.3d.4p"	"3P*"	"0"	1	" 29736.27"	
"3p6.3d.4p"	"3P*"	"1"	3	" 29742.16"	
"3p6.3d.4p"	"3P*"	"2"	5	" 29823.93"	
"3p6.3d.4p"	"1P*"	"1"	3	" 30815.70"	
"3p6.3d.4p"	"1F*"	"3"	7	" 32349.98"	
"3p6.4s.4p"	"3P*"	"0"	1	" 39002.20"	
"3p6.4s.4p"	"3P*"	"1"	3	" 39115.04"	
"3p6.4s.4p"	"3P*"	"2"	5	" 39345.52"	
"3p6.4s.4p"	"1P*"	"1"	3	" 55715.36"	
"3p6.3d.5s"	"3D"	"1"	3	" 57551.88"	
"3p6.3d.5s"	"3D"	"2"	5	" 57614.40"	
"3p6.3d.5s"	"3D"	"3"	7	" 57743.92"	
"3p6.3d.5s"	"1D"	"2"	5	" 58252.09"	
"3p6.3d.4d"	"1F"	"3"	7	" 59528.42"	
"3p6.3d.4d"	"3D"	"1"	3	" 59875.08"	
"3p6.3d.4d"	"3D"	"2"	5	" 59929.46"	
"3p6.3d.4d"	"3D"	"3"	7	" 60001.91"	
"3p6.3d.4d"	"3G"	"3"	7	" 60267.16"	
"3p6.3d.4d"	"3G"	"4"	9	" 60348.46"	
"3p6.3d.4d"	"1P"	"1"	3	" 60400.41"	
