Configuration	Term	J	g	Level (cm-1)
"3s2.3p6"	"1S"	"0"	1	" 0.0"	
"3s2.3p5.3d"	"3P*"	"0"	1	" 239723.2"	
"3s2.3p5.3d"	"3P*"	"1"	3	" 240403.0"	
"3s2.3p5.3d"	"3P*"	"2"	5	" 241814.0"	
"3s2.3p5.3d"	"3F*"	"4"	9	" 250708.2"	
"3s2.3p5.3d"	"3F*"	"3"	7	" 252108.3"	
"3s2.3p5.3d"	"3F*"	"2"	5	" 253405.7"	
"3s2.3p5.3d"	"1D*"	"2"	5	" 267424.4"	
"3s2.3p5.3d"	"3D*"	"3"	7	" 268034.2"	
"3s2.3p5.3d"	"3D*"	"1"	3	" 269426.5"	
"3s2.3p5.3d"	"3D*"	"2"	5	" 269459.9"	
"3s2.3p5.3d"	"1F*"	"3"	7	" 271055.4"	
"3s2.3p5.4s"	"3P*"	"2"	5	" 333090.8"	
"3s2.3p5.4s"	"3P*"	"1"	3	" 334405.1"	
"3s2.3p5.4s"	"3P*"	"0"	1	" 337340.1"	
"3s2.3p5.4s"	"1P*"	"1"	3	" 337483.5"	
"3s2.3p5.3d"	"1P*"	"1"	3	" 345005.4"	
"3s2.3p5.4p"	"3S"	"1"	3	" 371735.2"	
"3s2.3p5.4p"	"3D"	"3"	7	" 378077.0"	
"3s2.3p5.4p"	"3D"	"2"	5	" 378418.6"	
"3s2.3p5.4p"	"3D"	"1"	3	" 380148.3"	
"3s2.3p5.4p"	"3P"	"2"	5	" 381712.0"	
"3s2.3p5.4p"	"1P"	"1"	3	" 383527.1"	
"3s2.3p5.4p"	"1D"	"2"	5	" 384661.3"	
"3s2.3p5.4p"	"3P"	"0"	1	" 384817.8"	
"3s2.3p5.4p"	"3P"	"1"	3	" 385570.0"	
"3s2.3p5.4p"	"1S"	"0"	1	" 397510.7"	
"3s.3p6.3d"	"3D"	"1"	3	" 429695.7"	
"3s.3p6.3d"	"3D"	"2"	5	" 429842.4"	
"3s.3p6.3d"	"3D"	"3"	7	" 430078.5"	
"3s2.3p5.4d"	"3P*"	"0"	1	" 440517.9"	
"3s2.3p5.4d"	"3P*"	"1"	3	" 440983.0"	
"3s2.3p5.4d"	"3P*"	"2"	5	" 441927.3"	
"3s.3p6.3d"	"1D"	"2"	5	" 442046.0"	
"3s2.3p5.4d"	"3F*"	"4"	9	" 442558.6"	
"3s2.3p5.4d"	"3F*"	"3"	7	" 443191.3"	
"3s2.3p5.4d"	"3F*"	"2"	5	" 444427.4"	
"3s2.3p5.4d"	"3D*"	"3"	7	" 445207.5"	
"3s2.3p5.4d"	"3D*"	"1"	3	" 447622.4"	
"3s2.3p5.4d"	"1D*"	"2"	5	" 448062.0"	
"3s2.3p5.4d"	"1F*"	"3"	7	" 448607.8"	
"3s2.3p5.4d"	"3D*"	"2"	5	" 448725.1"	
"3s2.3p5.4d"	"1P*"	"1"	3	" 453972.7"	
"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 459496.9"	
"3s2.3p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 460426.9"	
"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 463768.9"	
"3s2.3p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 464457.2"	
"3s2.3p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 474764.4"	
"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 476818.5"	
"3s2.3p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 477018.0"	
"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 477747.6"	
"3s2.3p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 478213.2"	
"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	3	" 478495.9"	
"3s2.3p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	11	" 478609.5"	
"3s2.3p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	5	" 478767.7"	
