Configuration	Term	J	g	Level (cm-1)
"4s2.4p4"	"3P"	"2"	5	" 0.000"	
"4s2.4p4"	"3P"	"1"	3	" 1989.497"	
"4s2.4p4"	"3P"	"0"	1	" 2534.36"	
"4s2.4p4"	"1D"	"2"	5	" 9576.149"	
"4s2.4p4"	"1S"	"0"	1	" 22446.202"	
"4s2.4p3.(4S*).5s"	"5S*"	"2"	5	" 48182.190"	
"4s2.4p3.(4S*).5s"	"3S*"	"1"	3	" 50996.931"	
"4s2.4p3.(4S*).5p"	"5P"	"1"	3	" 59242.798"	
"4s2.4p3.(4S*).5p"	"5P"	"2"	5	" 59287.818"	
"4s2.4p3.(4S*).5p"	"5P"	"3"	7	" 59391.306"	
"4s2.4p3.(4S*).5p"	"3P"	"1"	3	" 60622.302"	
"4s2.4p3.(4S*).5p"	"3P"	"2"	5	" 60677.388"	
"4s2.4p3.(2D*).5s"	"3D*"	"1"	3	" 61681.263"	
"4s2.4p3.(2D*).5s"	"3D*"	"2"	5	" 61828.493"	
"4s2.4p3.(2D*).5s"	"3D*"	"3"	7	" 62247.602"	
"4s2.4p3.(4S*).4d"	"5D*"	"4"	9	" 63369.935"	
"4s2.4p3.(4S*).4d"	"5D*"	"2"	5	" 63373.144"	
"4s2.4p3.(4S*).4d"	"5D*"	"0"	1	" 63380.874"	
"4s2.4p3.(4S*).4d"	"5D*"	"1"	3	" 63382.766"	
"4s2.4p3.(4S*).4d"	"5D*"	"3"	7	" 63387.416"	
"4s2.4p3.(2D*).5s"	"1D*"	"2"	5	" 63479.257"	
"4s2.4p3.(4S*).5p"	"3P"	"0"	1	" 63695.989"	
"4s2.4p3.(4S*).4d"	"3D*"	"2"	5	" 65277.939"	
"4s2.4p3.(4S*).4d"	"3D*"	"1"	3	" 65299.554"	
"4s2.4p3.(4S*).4d"	"3D*"	"3"	7	" 65339.738"	
"4s2.4p3.(4S*).6s"	"5S*"	"2"	5	" 65989.536"	
"4s2.4p3.(4S*).6s"	"3S*"	"1"	3	" 66623.266"	
"4s2.4p3.(4S*).6p"	"5P"	"1"	3	" 69263.236"	
"4s2.4p3.(4S*).6p"	"5P"	"2"	5	" 69277.616"	
"4s2.4p3.(4S*).6p"	"5P"	"3"	7	" 69314.405"	
"4s2.4p3.(4S*).6p"	"3P"	"1"	3	" 69599.464"	
"4s2.4p3.(4S*).6p"	"3P"	"2"	5	" 69614.114"	
"4s2.4p3.(4S*).6p"	"3P"	"0"	1	" 69629.529"	
"4s2.4p3.(4S*).5d"	"5D*"	"1"	3	" 70388.382"	
"4s2.4p3.(4S*).5d"	"5D*"	"0"	1	" 70388.40"	
"4s2.4p3.(4S*).5d"	"5D*"	"2"	5	" 70388.936"	
"4s2.4p3.(4S*).5d"	"5D*"	"4"	9	" 70390.846"	
"4s2.4p3.(4S*).5d"	"5D*"	"3"	7	" 70391.553"	
"4s2.4p3.(2P*).5s"	"3P*"	"0"	1	" 70995.0"	
"4s2.4p3.(4S*).5d"	"3D*"	"2"	5	" 71096.053"	
"4s2.4p3.(4S*).5d"	"3D*"	"1"	3	" 71106.054"	
"4s2.4p3.(4S*).5d"	"3D*"	"3"	7	" 71154.790"	
"4s2.4p3.(2P*).5s"	"3P*"	"1"	3	" 71199.533"	
"4s2.4p3.(4S*).7s"	"5S*"	"2"	5	" 71638.28"	
"4s2.4p3.(2P*).5s"	"3P*"	"2"	5	" 71659.02"	
"4s2.4p3.(4S*).4f"	"5F"	"3"	7	" 71737.206"	
"4s2.4p3.(4S*).4f"	"5F"	"4"	9	" 71737.302"	
"4s2.4p3.(4S*).4f"	"5F"	"2"	5	" 71737.465"	
"4s2.4p3.(4S*).4f"	"5F"	"1"	3	" 71737.522"	
"4s2.4p3.(4S*).4f"	"5F"	"5"	11	" 71738.070"	
"4s2.4p3.(4S*).4f"	"3F"	"3"	7	" 71739.881"	
"4s2.4p3.(4S*).4f"	"3F"	"2"	5	" 71740.692"	
"4s2.4p3.(4S*).4f"	"3F"	"4"	9	" 71740.695"	
"4s2.4p3.(2D*).5p"	"3D"	"1"	3	" 71855.988"	
"4s2.4p3.(4S*).7s"	"3S*"	"1"	3	" 71890.213"	
"4s2.4p3.(2D*).5p"	"3D"	"2"	5	" 72427.218"	
"4s2.4p3.(2P*).5s"	"1P*"	"1"	3	" 72568.56"	
"4s2.4p3.(2D*).5p"	"3F"	"2"	5	" 72618.181"	
"4s2.4p3.(2D*).5p"	"3F"	"3"	7	" 72716.522"	
"4s2.4p3.(2D*).5p"	"1P"	"1"	3	" 72866.088"	
"4s2.4p3.(2D*).5p"	"3D"	"3"	7	" 73030.824"	
"4s2.4p3.(4S*).7p"	"3P"	"0"	1	" 73041.948"	
"4s2.4p3.(4S*).7p"	"3P"	"1"	3	" 73042.922"	
"4s2.4p3.(4S*).7p"	"3P"	"2"	5	" 73052.408"	
"4s2.4p3.(4S*).7p"	"5P"	"1"	3	" 73083.111"	
"4s2.4p3.(4S*).7p"	"5P"	"2"	5	" 73094.379"	
"4s2.4p3.(4S*).7p"	"5P"	"3"	7	" 73101.107"	
"4s2.4p3.(2D*).5p"	"3F"	"4"	9	" 73253.983"	
"4s2.4p3.(2D*).5p"	"3F"	"4"	9	" 73254.10"	
"4s2.4p3.(2D*).5p"	"1F"	"3"	7	" 73263.944"	
"4s2.4p3.(4S*).6d"	"5D*"	"2"	5	" 73541.330"	
"4s2.4p3.(4S*).6d"	"5D*"	"1"	3	" 73543.586"	
"4s2.4p3.(4S*).6d"	"5D*"	"0"	1	" 73543.727"	
"4s2.4p3.(4S*).6d"	"5D*"	"3"	7	" 73547.560"	
"4s2.4p3.(4S*).6d"	"5D*"	"4"	9	" 73547.564"	
"4s2.4p3.(4S*).6d"	"3D*"	"2"	5	" 73819.878"	
"4s2.4p3.(4S*).6d"	"3D*"	"3"	7	" 73860.519"	
"4s2.4p3.(4S*).6d"	"3D*"	"1"	3	" 73863.760"	
"4s2.4p3.(2D*).5p"	"3P"	"0"	1	" 74033.963"	
"4s2.4p3.(2D*).5p"	"3P"	"1"	3	" 74083.505"	
"4s2.4p3.(2D*).5p"	"3P"	"2"	5	" 74092.025"	
""	"1*"	"2"	5	" 74161.558"	
"4s2.4p3.(4S*).8s"	"5S*"	"2"	5	" 74209.875"	
"4s2.4p3.(4S*).5f"	"5F"	"5"	11	" 74232.237"	
"4s2.4p3.(4S*).5f"	"5F"	"4"	9	" 74232.400"	
"4s2.4p3.(4S*).5f"	"5F"	"3"	7	" 74232.416"	
"4s2.4p3.(4S*).5f"	"5F"	"2"	5	" 74232.450"	
"4s2.4p3.(4S*).5f"	"5F"	"1"	3	" 74232.527"	
"4s2.4p3.(4S*).5f"	"3F"	"2"	5	" 74234.504"	
"4s2.4p3.(4S*).5f"	"3F"	"3"	7	" 74234.624"	
"4s2.4p3.(4S*).5f"	"3F"	"4"	9	" 74234.687"	
"4s2.4p3.(4S*).8s"	"3S*"	"1"	3	" 74318.113"	
"4s2.4p3.(4S*).8p"	"5P"	"1"	3	" 74948.08"	
"4s2.4p3.(4S*).8p"	"5P"	"2"	5	" 74951.85"	
"4s2.4p3.(4S*).8p"	"5P"	"3"	7	" 74960.219"	
"4s2.4p3.(4S*).8p"	"3P"	"0"	1	" 75137.89"	
"4s2.4p3.(4S*).8p"	"3P"	"1"	3	" 75142.32"	
"4s2.4p3.(4S*).8p"	"3P"	"2"	5	" 75146.71"	
