Configuration	Term	J	g	Level (cm-1)
"4f6.6s2"	"7F"	"0"	1	" 0.00"	
"4f6.6s2"	"7F"	"1"	3	" 292.58"	
"4f6.6s2"	"7F"	"2"	5	" 811.92"	
"4f6.6s2"	"7F"	"3"	7	" 1489.55"	
"4f6.6s2"	"7F"	"4"	9	" 2273.09"	
"4f6.6s2"	"7F"	"5"	11	" 3125.46"	
"4f6.6s2"	"7F"	"6"	13	" 4020.66"	
"4f6.(7F).5d (8H).6s"	"9H"	"1"	3	" 10801.10"	
"4f6.(7F).5d (8H).6s"	"9H"	"2"	5	" 11044.90"	
"4f6.(7F).5d (8H).6s"	"9H"	"3"	7	" 11406.50"	
"4f6.(7F).5d (8H).6s"	"9H"	"4"	9	" 11877.50"	
"4f6.(7F).5d (8D).6s"	"9D"	"2"	5	" 12313.11"	
"4f6.(7F).5d (8H).6s"	"9H"	"5"	11	" 12445.35"	
"4f6.(7F).5d (8D).6s"	"9D"	"3"	7	" 12846.64"	
"4f6.(7F).5d (8H).6s"	"7H"	"2"	5	" 13050.05"	
"4f6.(7F).5d (8H).6s"	"9H"	"6"	13	" 13095.75"	
"4f6.(7F).5d (8F).6s"	""	"1"	3	" 13369.35"	
"4f6.(7F).5d (8D).6s"	"9D"	"4"	9	" 13458.46"	
"4f6.(7F).5d (8H).6s"	"7H"	"3"	7	" 13542.80"	
"4f6.(7F).5d (8G).6s"	"9G"	"0"	1	" 13551.20"	
"4f6.(7F).5d (8G).6s"	"9G"	"2"	5	" 13687.75"	
"4f6.(7F).5d (8G).6s"	"9G"	"1"	3	" 13732.53"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"0"	1	" 13796.36"	
"4f6.(7F).5d (8H).6s"	"9H"	"7"	15	" 13814.90"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"1"	3	" 13999.50"	
"4f6.(7F).5d (8F).6s"	"9F"	"1"	3	" 14026.45"	
"4f6.(7F).5d (8G).6s"	"9G"	"3"	7	" 14056.70"	
"4f6.(7F).5d (8H).6s"	"7H"	"4"	9	" 14154.30"	
"4f6.(7F).5d (8D).6s"	"9D"	"5"	11	" 14202.85"	
"4f6.(7F).5d (8F).6s"	"9F"	"2"	5	" 14365.50"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"2"	5	" 14380.50"	
"4f6.(7F).5d (6P).6s"	"7P"	"2"	5	" 14550.50"	
"4f6.(7F).5d (8G).6s"	"9G"	"4"	9	" 14563.98"	
"4f6.(7F).5d (8H).6s"	"9H"	"8"	17	" 14591.70"	
"4f6.(7F).5d (8P).6s"	"9P"	"3"	7	" 14612.44"	
"4f6.(7F).5d (8D).6s"	"7D"	"2"	5	" 14783.51"	
"4f6.(7F).5d (8H).6s"	"7H"	"5"	11	" 14856.20"	
"4f6.(7F).6s.6p.(3P*)"	"9F*"	"1"	3	" 14863.85"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"3"	7	" 14915.83"	
"4f6.(7F).5d (8F).6s"	"9F"	"3"	7	" 14920.45"	
"4f6.(7F).6s.6p.(3P*)"	"*"	"2"	5	" 15039.59"	
"4f6.(7F).5d (8D).6s"	"9D"	"6"	13	" 15082.94"	
"4f6.(7F).5d (8H).6s"	"9H"	"9"	19	" 15418.65"	
"4f6.(7F).6s.6p.(3P*)"	"9D*"	"3"	7	" 15507.35"	
"4f6.(7F).5d (8D).6s"	"7D"	"3"	7	" 15524.56"	
"4f6.(7F).6s.6p.(3P*)"	"9D*"	"2"	5	" 15567.32"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"4"	9	" 15579.12"	
"4f6.(7F).6s.6p.(3P*)"	"5D*"	"0"	1	" 15586.30"	
"4f6.(7F).5d (8H).6s"	"7H"	"6"	13	" 15617.45"	
"4f6.(7F).5d (8G).6s"	"7G"	"1"	3	" 15639.80"	
"4f6.(7F).6s.6p.(3P*)"	"7G*"	"1"	3	" 15650.55"	
"4f6.(7F).5d (8F).6s"	"7F"	"0"	1	" 15793.68"	
"4f6.(7F).5d (6P).6s"	""	"3"	7	" 15834.60"	
"4f6.6s2"	"5D3"	"1"	3	" 15914.55"	
"4f6.(7F).5d (8G).6s"	"7G"	"2"	5	" 15955.24"	
"4f6.(7F).6s.6p.(3P*)"	"5D*"	"1"	3	" 16112.33"	
"4f6.(7F).6s.6p.(3P*)"	"7G*"	"2"	5	" 16116.42"	
"4f6.(7F).6s.6p.(3P*)"	"9D*"	"4"	9	" 16131.53"	
"4f6.(7F).6s.6p.(3P*)"	"9F*"	"3"	7	" 16211.12"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"5"	11	" 16344.77"	
"4f6.(7F).5d (8D).6s"	"7D"	"4"	9	" 16354.60"	
"4f6.(7F).5d (8H).6s"	"7H"	"7"	15	" 16392.93"	
"4f6.(7F).6s.6p.(3P*)"	"*"	"2"	5	" 16681.74"	
"4f6.(7F).6s.6p.(3P*)"	"7D*"	"1"	3	" 16690.76"	
"4f6.(7F).6s.6p.(3P*)"	"7G*"	"3"	7	" 16748.30"	
"4f6.(7F).6s.6p.(3P*)"	"9D*"	"5"	11	" 16859.31"	
"4f6.(7F).6s.6p.(3P*)"	"9F*"	"4"	9	" 16890.59"	
"4f6.(7F).6s.6p.(3P*)"	"7F*"	"2"	5	" 17190.20"	
"4f6.(7F).6s.6p.(3P*)"	"9G*"	"6"	13	" 17193.73"	
"4f6.(7F).6s.6p.(3P*)"	"*"	"3"	7	" 17243.55"	
"4f6.(7F).5d (8H).6s"	"7H"	"8"	17	" 17270.96"	
"4f6.(7F).6s.6p.(3P*)"	"5G*"	"2"	5	" 17462.37"	
"4f6.(7F).6s.6p.(3P*)"	"7G*"	"4"	9	" 17504.63"	
"4f6.(7F).6s.6p.(3P*)"	"9F*"	"5"	11	" 17587.46"	
"4f6.(7F).6s.6p.(3P*)"	"9D*"	"6"	13	" 17654.54"	
"4f6.(7F).6s.6p.(3P*)"	"*"	"1"	3	" 17769.71"	
"4f6.(7F).6s.6p.(3P*)"	"7F*"	"0"	1	" 17810.85"	
"4f6.(7F).6s.6p.(3P*)"	"7F*"	"3"	7	" 17830.80"	
"4f6.6s2"	"5D3"	"2"	5	" 17864.29"	
"4f6.(7F).6s.6p.(3P*)"	"*"	"4"	9	" 17959.27"	
"4f5.(6H*).5d.6s2"	"7H*"	"2"	5	" 18075.67"	
