Configuration	Term	J	g	Level (cm-1)
"5s2.5p2"	"3P"	"0"	1	" 0.000"	
"5s2.5p2"	"3P"	"1"	3	" 1691.806"	
"5s2.5p2"	"3P"	"2"	5	" 3427.673"	
"5s2.5p2"	"1D"	"2"	5	" 8612.955"	
"5s2.5p2"	"1S"	"0"	1	" 17162.499"	
"5s2.5p.6s"	"3P*"	"0"	1	" 34640.758"	
"5s2.5p.6s"	"3P*"	"1"	3	" 34914.282"	
"5s2.5p.6s"	"3P*"	"2"	5	" 38628.876"	
"5s2.5p.6s"	"1P*"	"1"	3	" 39257.053"	
"5s.5p3"	"5S*"	"2"	5	" 39625.506"	
"5s2.5p.6p"	"3D"	"1"	3	" 42342.216"	
"5s2.5p.6p"	"3P"	"1"	3	" 43368.634"	
"5s2.5p.6p"	"3D"	"2"	5	" 43430.135"	
"5s2.5p.5d"	"3F*"	"2"	5	" 43682.737"	
"5s2.5p.6p"	"3P"	"0"	1	" 43799.085"	
"5s2.5p.5d"	"3D*"	"2"	5	" 44144.368"	
"5s2.5p.5d"	"3D*"	"1"	3	" 44508.677"	
"5s2.5p.5d"	"3F*"	"3"	7	" 44576.006"	
"5s2.5p.6p"	"1P"	"1"	3	" 46603.517"	
"5s2.5p.6p"	"3D"	"3"	7	" 47006.830"	
"5s2.5p.5d"	"1D*"	"2"	5	" 47145.684"	
"5s2.5p.6p"	"3P"	"2"	5	" 47235.221"	
"5s2.5p.5d"	"3D*"	"3"	7	" 47487.696"	
"5s2.5p.6p"	"3S"	"1"	3	" 47805.840"	
"5s2.5p.5d"	"3F*"	"4"	9	" 48107.27"	
"5s2.5p.6p"	"1D"	"2"	5	" 48189.791"	
"5s2.5p.7s"	"3P*"	"0"	1	" 48216.356"	
"5s2.5p.7s"	"3P*"	"1"	3	" 48222.159"	
"5s2.5p.5d"	"3P*"	"2"	5	" 48669.409"	
"5s2.5p.5d"	"3P*"	"1"	3	" 48981.934"	
"5s2.5p.6p "	"1S"	"0"	1	" 49406.162"	
"5s2.5p.5d"	"3P*"	"0"	1	" 49487.127"	
"5s2.5p.5d"	"1F*"	"3"	7	" 49893.823"	
