Configuration	Term	J	g	Level (cm-1)
"5s2"	"1S"	"0"	1	" 0.000"	
"5s.5p"	"3P*"	"0"	1	" 14317.507"	
"5s.5p"	"3P*"	"1"	3	" 14504.334"	
"5s.5p"	"3P*"	"2"	5	" 14898.545"	
"5s.4d"	"3D"	"1"	3	" 18159.040"	
"5s.4d"	"3D"	"2"	5	" 18218.784"	
"5s.4d"	"3D"	"3"	7	" 18319.261"	
"5s.4d"	"1D"	"2"	5	" 20149.685"	
"5s.5p"	"1P*"	"1"	3	" 21698.452"	
"5s.6s"	"3S"	"1"	3	" 29038.773"	
"5s.6s"	"1S"	"0"	1	" 30591.825"	
"4d.5p"	"3F*"	"2"	5	" 33266.851"	
"4d.5p"	"3F*"	"3"	7	" 33589.709"	
"4d.5p"	"1D*"	"2"	5	" 33826.899"	
"5s.6p"	"3P*"	"0"	1	" 33853.490"	
"5s.6p"	"3P*"	"1"	3	" 33868.317"	
"4d.5p"	"3F*"	"4"	9	" 33919.315"	
"5s.6p"	"3P*"	"2"	5	" 33973.065"	
"5s.6p"	"1P*"	"1"	3	" 34098.404"	
"5s.5d"	"1D"	"2"	5	" 34727.447"	
"5s.5d"	"3D"	"1"	3	" 35006.908"	
"5s.5d"	"3D"	"2"	5	" 35021.989"	
"5s.5d"	"3D"	"3"	7	" 35045.019"	
"5p2"	"3P"	"0"	1	" 35193.442"	
"5p2"	"3P"	"1"	3	" 35400.105"	
"5p2"	"3P"	"2"	5	" 35674.637"	
"4d.5p"	"3D*"	"1"	3	" 36264.151"	
"4d.5p"	"3D*"	"2"	5	" 36381.746"	
"4d.5p"	"3D*"	"3"	7	" 36559.492"	
"4d2"	"1D"	"2"	5	" 36960.842"	
"5p2"	"1S"	"0"	1	" 37160.234"	
"4d.5p"	"3P*"	"0"	1	" 37292.074"	
"4d.5p"	"3P*"	"1"	3	" 37302.731"	
"4d.5p"	"3P*"	"2"	5	" 37336.591"	
"5s.7s"	"3S"	"1"	3	" 37424.675"	
"4d.5p"	"1F*"	"3"	7	" 38007.742"	
"5s.7s"	"1S"	"0"	1	" 38444.013"	
"5s.4f"	"3F*"	"2"	5	" 38750.420"	
"5s.4f"	"3F*"	"3"	7	" 38752.410"	
"5s.4f"	"3F*"	"4"	9	" 38755.175"	
"5s.7p"	"1P*"	"1"	3	" 38906.858"	
"5s.7p"	"3P*"	"0"	1	" 39411.669"	
"5s.7p"	"3P*"	"1"	3	" 39426.442"	
"5s.7p"	"3P*"	"2"	5	" 39457.383"	
"5s.4f"	"1F*"	"3"	7	" 39539.013"	
"5s.6d"	"3D"	"1"	3	" 39685.830"	
"5s.6d"	"3D"	"2"	5	" 39690.802"	
"5s.6d"	"3D"	"3"	7	" 39703.109"	
"5s.6d"	"1D"	"2"	5	" 39733.067"	
"5s.8s"	"3S"	"1"	3	" 40761.372"	
"5s.8s"	"1S"	"0"	1	" 41052.324"	
"4d.5p"	"1P*"	"1"	3	" 41172.054"	
"5s.5f"	"3F*"	"2"	5	" 41364.602"	
"5s.5f"	"3F*"	"3"	7	" 41365.482"	
"5s.5f"	"3F*"	"4"	9	" 41366.67"	
"5s.5f"	"1F*"	"3"	7	" 41519.04"	
"5s.8p"	"3P*"	"0"	1	" 41712.05"	
"5s.8p"	"3P*"	"1"	3	" 41719.71"	
"5s.8p"	"3P*"	"2"	5	" 41735.98"	
"5s.7d"	"1D"	"2"	5	" 41831.448"	
"5s.7d"	"3D"	"1"	3	" 41864.354"	
"5s.7d"	"3D"	"2"	5	" 41869.270"	
"5s.7d"	"3D"	"3"	7	" 41874.859"	
"5s.9s"	"3S"	"1"	3	" 42451.16"	
"5s.8p"	"1P*"	"1"	3	" 42462.136"	
"5s.9s"	"1S"	"0"	1	" 42596.572"	
"5s.6f"	"3F*"	"2"	5	" 42777.023"	
"5s.6f"	"3F*"	"3"	7	" 42777.547"	
"5s.6f"	"3F*"	"4"	9	" 42778.121"	
"5s.6f"	"1F*"	"3"	7	" 42839.589"	
"5s.9p"	"3P*"	"0"	1	" 42985.86"	
"5s.9p"	"3P*"	"1"	3	" 42990.26"	
"5s.9p"	"3P*"	"2"	5	" 42999.79"	
"5s.8d"	"1D"	"2"	5	" 43021.058"	
"5s.8d"	"3D"	"2"	5	" 43070.268"	
"5s.8d"	"3D"	"3"	7	" 43074.728"	
"5s.9p"	"1P*"	"1"	3	" 43328.04"	
"5s.10s"	"3S"	"1"	3	" 43427.44"	
"5s.10s"	"1S"	"0"	1	" 43512.1658"	
"5s.7f"	"3F*"	"2"	5	" 43623.896"	
"5s.7f"	"3F*"	"3"	7	" 43624.205"	
"5s.7f"	"3F*"	"4"	9	" 43624.479"	
"5s.7f"	"1F*"	"3"	7	" 43656.219"	
"5s.9d"	"1D"	"2"	5	" 43755.755"	
"5s.10p"	"3P*"	"0"	1	" 43758.65"	
"5s.10p"	"3P*"	"1"	3	" 43761.47"	
"5s.10p"	"3P*"	"2"	5	" 43767.58"	
"5s.9d"	"3D"	"2"	5	" 43804.890"	
"5s.10p"	"1P*"	"1"	3	" 43938.201"	
"5s.11s"	"3S"	"1"	3	" 44043.35"	
"5s.11s"	"1S"	"0"	1	" 44097.1224"	
"5s.8f"	"3F*"	"2"	5	" 44170.80"	
"5s.8f"	"3F*"	"3"	7	" 44170.99"	
"5s.8f"	"3F*"	"4"	9	" 44171.32"	
"5s.8f"	"1F*"	"3"	7	" 44189.889"	
"5s.10d"	"1D"	"2"	5	" 44239.4549"	
"5s.11p"	"3P*"	"0"	1	" 44262.70"	
"5s.11p"	"3P*"	"1"	3	" 44264.52"	
"5s.11p"	"3P*"	"2"	5	" 44268.72"	
"5s.10d"	"3D"	"2"	5	" 44286.91"	
"5s.11p"	"1P*"	"1"	3	" 44366.42"	
"5s.12s"	"3S"	"1"	3	" 44456.25"	
"5s.12s"	"1S"	"0"	1	" 44492.8348"	
"4d2"	"3P"	"0"	1	" 44525.838"	
"5s.9f"	"3F*"	"2"	5	" 44544.27"	
"5s.9f"	"3F*"	"3"	7	" 44544.44"	
"5s.9f"	"3F*"	"4"	9	" 44544.63"	
"5s.9f"	"1F*"	"3"	7	" 44556.48"	
"5s.11d"	"1D"	"2"	5	" 44578.6890"	
"4d2"	"3P"	"1"	3	" 44595.920"	
"5s.12p"	"3P*"	"0"	1	" 44609.51"	
"5s.12p"	"3P*"	"1"	3	" 44610.85"	
"5s.12p"	"3P*"	"2"	5	" 44613.78"	
"5s.11d"	"3D"	"2"	5	" 44619.84"	
"5s.12p"	"1P*"	"1"	3	" 44675.737"	
"4d2"	"3P"	"2"	5	" 44729.627"	
"5s.13s"	"3S"	"1"	3	" 44747.65"	
"5s.13s"	"1S"	"0"	1	" 44773.6707"	
"5s.10f"	"3F*"	"2"	5	" 44810.53"	
"5s.10f"	"3F*"	"3"	7	" 44810.56"	
"5s.10f"	"3F*"	"4"	9	" 44810.72"	
"5s.10f"	"1F*"	"3"	7	" 44818.77"	
"5s.12d"	"1D"	"2"	5	" 44829.6648"	
"5s.12d"	"3D"	"1"	3	" 44854.02"	
"5s.13p"	"3P*"	"0"	1	" 44858.33"	
"5s.13p"	"3P*"	"1"	3	" 44859.32"	
"5s.12d"	"3D"	"2"	5	" 44860.06"	
"5s.13p"	"3P*"	"2"	5	" 44861.46"	
"5s.12d"	"3D"	"3"	7	" 44865.22"	
"5s.13p"	"1P*"	"1"	3	" 44903.50"	
"5s.14s"	"3S"	"1"	3	" 44960.22"	
"5s.14s"	"1S"	"0"	1	" 44979.4540"	
"5s.11f"	"3F*"	"2"	5	" 45006.93"	
"5s.11f"	"3F*"	"3"	7	" 45006.98"	
"5s.11f"	"3F*"	"4"	9	" 45007.11"	
"5s.13d"	"1D"	"2"	5	" 45012.0249"	
"5s.11f"	"1F*"	"3"	7	" 45012.82"	
"5s.13d"	"3D"	"1"	3	" 45028.55"	
"5s.13d"	"3D"	"2"	5	" 45036.95"	
"5s.14p"	"3P*"	"0"	1	" 45043.18"	
"5s.13d"	"3D"	"3"	7	" 45043.79"	
"5s.14p"	"3P*"	"1"	3	" 45043.89"	
"5s.14p"	"3P*"	"2"	5	" 45045.54"	
"5s.14p"	"1P*"	"1"	3	" 45075.29"	
"5s.15s"	"3S"	"1"	3	" 45120.41"	
"5s.15s"	"1S"	"0"	1	" 45134.9242"	
"5s.14d"	"1D"	"2"	5	" 45153.2785"	
"5s.12f"	"3F*"	"2"	5	" 45155.92"	
"5s.12f"	"3F*"	"3"	7	" 45156.01"	
"5s.12f"	"3F*"	"4"	9	" 45156.08"	
"5s.14d"	"3D"	"1"	3	" 45159.60"	
"5s.12f"	"1F*"	"3"	7	" 45160.29"	
"5s.14d"	"3D"	"2"	5	" 45171.49"	
"5s.14d"	"3D"	"3"	7	" 45180.44"	
"5s.15p"	"3P*"	"0"	1	" 45183.93"	
"5s.15p"	"3P*"	"1"	3	" 45184.54"	
"5s.15p"	"3P*"	"2"	5	" 45185.79"	
"5s.15p"	"1P*"	"1"	3	" 45207.83"	
"5s.16s"	"3S"	"1"	3	" 45243.88"	
"5s.16s"	"1S"	"0"	1	" 45255.2295"	
"5s.15d"	"3D"	"1"	3	" 45260.84"	
"5s.15d"	"1D"	"2"	5	" 45263.6196"	
"5s.13f"	"3F*"	"3"	7	" 45271.69"	
"5s.13f"	"3F*"	"2"	5	" 45271.72"	
"5s.13f"	"3F*"	"4"	9	" 45271.78"	
"5s.13f"	"1F*"	"3"	7	" 45274.97"	
"5s.15d"	"3D"	"2"	5	" 45276.65"	
"5s.15d"	"3D"	"3"	7	" 45286.53"	
"5s.16p"	"3P*"	"1"	3	" 45294.22"	
"5s.16p"	"3P*"	"2"	5	" 45295.21"	
"5s.16p"	"1P*"	"1"	3	" 45311.99"	
"5s.17s"	"3S"	"1"	3	" 45341.28"	
"5s.16d"	"3D"	"1"	3	" 45341.36"	
"5s.17s"	"1S"	"0"	1	" 45350.2296"	
"5s.16d"	"3D"	"2"	5	" 45350.35"	
"5s.16d"	"1D"	"2"	5	" 45362.1272"	
"5s.14f"	"3F*"	"2"	5	" 45363.22"	
"5s.14f"	"3F*"	"4"	9	" 45363.35"	
"5s.14f"	"3F*"	"3"	7	" 45363.43"	
"5s.14f"	"1F*"	"3"	7	" 45365.90"	
"5s.16d"	"3D"	"3"	7	" 45370.76"	
"5s.17p"	"3P*"	"1"	3	" 45381.46"	
