Configuration	Term	J	g	Level (cm-1)
"4s2.4p5"	"2P*"	"3/2"	4	" 0.0"	
"4s2.4p5"	"2P*"	"1/2"	2	" 9727.9"	
"4s.4p6"	"2S"	"1/2"	2	" 150504.1"	
"4s2.4p4.(3P).4d"	"4D"	"7/2"	8	" 187160.33"	
"4s2.4p4.(3P).4d"	"4D"	"5/2"	6	" 187200.74"	
"4s2.4p4.(3P).4d"	"4D"	"3/2"	4	" 188024.11"	
"4s2.4p4.(3P).4d"	"4D"	"1/2"	2	" 189119.64"	
"4s2.4p4.(3P).4d"	"4F"	"9/2"	10	" 197060.03"	
"4s2.4p4.(3P).4d"	"4F"	"7/2"	8	" 200340.03"	
"4s2.4p4.(1D).4d"	"2P"	"1/2"	2	" 200529.25"	
"4s2.4p4.(3P).4d"	"4F"	"5/2"	6	" 203344.42"	
"4s2.4p4.(3P).4d"	"4F"	"3/2"	4	" 204179.71"	
"4s2.4p4.(3P).4d"	"4P"	"1/2"	2	" 204743.50"	
"4s2.4p4.(3P).4d"	"4P"	"3/2"	4	" 204808.95"	
"4s2.4p4.(1D).4d"	"2D"	"3/2"	4	" 206524.12"	
"4s2.4p4.(3P).4d"	"2F"	"7/2"	8	" 207478.23"	
"4s2.4p4.(3P).4d"	"4P"	"5/2"	6	" 208937.80"	
"4s2.4p4.(1D).4d"	"2P"	"3/2"	4	" 209211.07"	
"4s2.4p4.(1D).4d"	"2D"	"5/2"	6	" 211973.07"	
"4s2.4p4.(3P).4d"	"2F"	"5/2"	6	" 214946.01"	
"4s2.4p4.(1D).4d"	"2G"	"9/2"	10	" 215187.68"	
"4s2.4p4.(1D).4d"	"2G"	"7/2"	8	" 215188.35"	
"4s2.4p4.(1D).4d"	"2F"	"5/2"	6	" 225871.18"	
"4s2.4p4.(1D).4d"	"2F"	"7/2"	8	" 228097.73"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	6	" 228654.17"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	4	" 232210.43"	
"4s2.4p4.(3P<0>).5s"	"2[0]"	"1/2"	2	" 236924.66"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	4	" 238217.98"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	2	" 242092.84"	
"4s2.4p4.(1S).4d"	"2D"	"3/2"	4	" 242171.57"	
"4s2.4p4.(1S).4d"	"2D"	"5/2"	6	" 245734.92"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"5/2"	6	" 250046.76"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"3/2"	4	" 250503.65"	
"4s2.4p4.(3P).4d"	"2P"	"3/2"	4	" 252385.97"	
"4s2.4p4.(3P).4d"	"2P"	"1/2"	2	" 253231.79"	
"4s2.4p4.(3P).4d"	"2D"	"5/2"	6	" 254820.96"	
"4s2.4p4.(1D).4d"	"2S"	"1/2"	2	" 257344.99"	
"4s2.4p4.(3P).4d"	"2D"	"3/2"	4	" 264181.57"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"3/2"	4	" 267529.26"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"5/2"	6	" 267537.32"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"1/2"	2	" 270350.30"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"7/2"	8	" 271249.46"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	6	" 271328.56"	
"4s2.4p4.(1S<0>).5s"	"2[0]"	"1/2"	2	" 274687.97"	
"4s2.4p4.(3P<1>).5p"	"2[0]*"	"1/2"	2	" 276054.66"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"3/2"	4	" 276159.16"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"1/2"	2	" 277913.84"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"	4	" 278078.00"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"5/2"	6	" 279165.72"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"3/2"	4	" 281543.86"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"3/2"	4	" 282345.52"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	2	" 282440.51"	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"5/2"	6	" 288655.13"	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"7/2"	8	" 290311.89"	
"4s2.4p4.(1D<2>).5p"	"2[1]*"	"3/2"	4	" 292454.67"	
"4s2.4p4.(1D<2>).5p"	"2[2]*"	"3/2"	4	" 294867.62"	
"4s2.4p4.(1D<2>).5p"	"2[2]*"	"5/2"	6	" 295118.74"	
"4s2.4p4.(1D<2>).5p"	"2[1]*"	"1/2"	2	" 297705.09"	
"4s2.4p4.(1S<0>).5p"	"2[1]*"	"1/2"	2	" 314666.82"	
"4s2.4p4.(1S<0>).5p"	"2[1]*"	"3/2"	4	" 315791.69"	
"4s2.4p4.(3P<2>).5d"	"2[3]"	"7/2"	8	" 327166.57"	
"4s2.4p4.(3P<2>).5d"	"2[2]"	"5/2"	6	" 327296.31"	
"4s2.4p4.(3P<2>).5d"	"2[2]"	"3/2"	4	" 327865.89"	
"4s2.4p4.(3P).4f"	"4F*"	"9/2"	10	" 328551.41"	
"4s2.4p4.(3P<2>).5d"	"2[1]"	"1/2"	2	" 328733.88"	
"4s2.4p4.(3P).4f"	"4F*"	"7/2"	8	" 328908.67"	
"4s2.4p4.(3P<2>).5d"	"2[4]"	"9/2"	10	" 329068.54"	
"4s2.4p4.(3P).4f"	"4F*"	"5/2"	6	" 329681.06"	
"4s2.4p4.(3P<2>).5d"	"2[4]"	"7/2"	8	" 329973.93"	
"4s2.4p4.(3P).4f"	"4F*"	"3/2"	4	" 330811.44"	
"4s2.4p4.(3P<2>).5d"	"2[0]"	"1/2"	2	" 331574.88"	
"4s2.4p4.(3P<2>).5d"	"2[1]"	"3/2"	4	" 333030.58"	
"4s2.4p4.(3P<2>).5d"	"2[3]"	"5/2"	6	" 333195.98"	
"4s2.4p4.(3P<2>).6s"	"2[2]"	"5/2"	6	" 334143.89"	
"4s.4d.(3D).4p5.(2P*)"	"4P*"	"1/2"	2	" 334267.61"	
"4s2.4p4.(3P).4f"	"4G*"	"11/2"	12	" 335379.10"	
"4s.4d.(3D).4p5.(2P*)"	"4P*"	"3/2"	4	" 335389.12"	
"4s2.4p4.(3P).4f"	"4D*"	"1/2"	2	" 335431.13"	
"4s2.4p4.(3P<2>).6s"	"2[2]"	"3/2"	4	" 335436.88"	
"4s2.4p4.(3P).4f"	"2F*"	"5/2"	6	" 335706.85"	
"4s2.4p4.(3P).4f"	"2G*"	"9/2"	10	" 335779.95"	
"4s2.4p4.(3P).4f"	"2F*"	"7/2"	8	" 335780.35"	
"4s2.4p4.(3P<1>).5d"	"2[1]"	"1/2"	2	" 336333.74"	
"4s2.4p4.(3P).4f"	"4D*"	"3/2"	4	" 336723.73"	
"4s2.4p4.(3P<1>).5d"	"2[3]"	"7/2"	8	" 336898.26"	
"4s2.4p4.(3P<0>).5d"	"2[2]"	"3/2"	4	" 337047.44"	
"4s2.4p4.(3P<0>).5d"	"2[2]"	"5/2"	6	" 337151.32"	
"4s2.4p4.(3P<1>).5d"	"2[1]"	"3/2"	4	" 337963.83"	
"4s.4d.(3D).4p5.(2P*)"	"4P*"	"5/2"	6	" 338194.34"	
