Configuration	Term	J	g	Level (cm-1)
"4s2.4p4"	"3P"	"2"	5	" 0.00"	
"4s2.4p4"	"3P"	"1"	3	" 8307.88"	
"4s2.4p4"	"3P"	"0"	1	" 8718.47"	
"4s2.4p4"	"1D"	"2"	5	" 20310.51"	
"4s2.4p4"	"1S"	"0"	1	" 44050.41"	
"4s.4p5"	"3P*"	"2"	5	" 154032.29"	
"4s.4p5"	"3P*"	"1"	3	" 160017.52"	
"4s.4p5"	"3P*"	"0"	1	" 164015.68"	
"4s.4p5"	"1P*"	"1"	3	" 193318.87"	
"4s2.4p3.(4S*).4d"	"5D*"	"0"	1	" 202128.66"	
"4s2.4p3.(4S*).4d"	"5D*"	"1"	3	" 202265.18"	
"4s2.4p3.(4S*).4d"	"5D*"	"2"	5	" 202321.43"	
"4s2.4p3.(4S*).4d"	"5D*"	"3"	7	" 202398.48"	
"4s2.4p3.(4S*).4d"	"5D*"	"4"	9	" 202912.96"	
"4s2.4p3.(2D*).4d"	"3D*"	"2"	5	" 213783.82"	
"4s2.4p3.(2D*).4d"	"3D*"	"3"	7	" 216104.17"	
"4s2.4p3.(2D*).4d"	"3D*"	"1"	3	" 216969.19"	
"4s2.4p3.(2D*).4d"	"3F*"	"2"	5	" 220549.72"	
"4s2.4p3.(2D*).4d"	"1S*"	"0"	1	" 221778.44"	
"4s2.4p3.(2D*).4d"	"3F*"	"3"	7	" 222368.34"	
"4s2.4p3.(2D*).4d"	"3F*"	"4"	9	" 224844.36"	
"4s2.4p3.(2D*).4d"	"3G*"	"3"	7	" 229949.55"	
"4s2.4p3.(2D*).4d"	"3G*"	"4"	9	" 230974.17"	
"4s2.4p3.(2D*).4d"	"3G*"	"5"	11	" 232585.9"	
"4s2.4p3.(2D*).4d"	"1G*"	"4"	9	" 234782.57"	
"4s2.4p3.(2P*).4d"	"1D*"	"2"	5	" 241479.47"	
"4s2.4p3.(2P*).4d"	"3D*"	"1"	3	" 243576.50"	
"4s2.4p3.(2P*).4d"	"3P*"	"0"	1	" 246801.43"	
"4s2.4p3.(2P*).4d"	"3P*"	"1"	3	" 248011.88"	
"4s2.4p3.(2P*).4d"	"3D*"	"2"	5	" 248383.31"	
"4s2.4p3.(2P*).4d"	"3F*"	"3"	7	" 249673.18"	
"4s2.4p3.(2P*).4d"	"3F*"	"2"	5	" 250656.55"	
"4s2.4p3.(2P*).4d"	"3F*"	"4"	9	" 251233.8"	
"4s2.4p3.(2P*).4d"	"3D*"	"3"	7	" 253340.43"	
"4s2.4p3.(2P*).4d"	"3P*"	"2"	5	" 255118.53"	
"4s2.4p3.(2D*).4d"	"3S*"	"1"	3	" 265178.82"	
"4s2.4p3.(2P*).4d"	"1F*"	"3"	7	" 266239.42"	
"4s2.4p3.(4S*).5s"	"5S*"	"2"	5	" 266325.33"	
"4s2.4p3.(2D*).4d"	"3P*"	"2"	5	" 267351.03"	
"4s2.4p3.(2D*).4d"	"3P*"	"1"	3	" 269614.82"	
"4s2.4p3.(4S*).4d"	"3D*"	"3"	7	" 271500.19"	
"4s2.4p3.(4S*).5s"	"3S*"	"1"	3	" 274951.74"	
"4s2.4p3.(2D*).4d"	"3P*"	"0"	1	" 275425.41"	
"4s2.4p3.(2D*).4d"	"1P*"	"1"	3	" 275488.13"	
"4s2.4p3.(4S*).4d"	"3D*"	"2"	5	" 276821.46"	
"4s2.4p3.(4S*).4d"	"3D*"	"1"	3	" 280067.09"	
"4s2.4p3.(2D*).4d"	"1D*"	"2"	5	" 285450.04"	
"4s2.4p3.(2D*).5s"	"3D*"	"1"	3	" 288831.62"	
"4s2.4p3.(2D*).5s"	"3D*"	"2"	5	" 289116.66"	
