Configuration	Term	J	g	Level (cm-1)
"5d3.6s2"	"a 4F"	"3/2"	4	" 0.00"	
"5d3.6s2"	"a 4F"	"5/2"	6	" 2010.10"	
"5d3.6s2"	"a 4F"	"7/2"	8	" 3963.92"	
"5d3.6s2"	"a 4F"	"9/2"	10	" 5621.04"	
"5d3.6s2"	"a 4P"	"1/2"	2	" 6049.42"	
"5d3.6s2"	"a 4P"	"3/2"	4	" 6068.91"	
"5d3.6s2"	"a 4P"	"5/2"	6	" 9253.43"	
"5d3.6s2"	"a 2G"	"7/2"	8	" 9705.38"	
"5d4.(5D).6s"	"a 6D"	"1/2"	2	" 9758.97"	
"5d4.(5D).6s"	"a 6D"	"3/2"	4	" 9975.81"	
"5d3.6s2"	"a 2G"	"9/2"	10	" 10690.32"	
"5d3.6s2"	"a 2P"	"3/2"	4	" 10950.22"	
"5d4.(5D).6s"	"a 6D"	"5/2"	6	" 11243.63"	
"5d3.6s2"	"a 2P"	"1/2"	2	" 11792.13"	
"5d5"	"a 6S"	"5/2"	6	" 11796.14"	
"5d4.(5D).6s"	"a 6D"	"7/2"	8	" 12234.76"	
"5d3.6s2"	"a 2D"	"5/2"	6	" 12865.97"	
"5d4.(5D).6s"	"a 6D"	"9/2"	10	" 13351.45"	
""	"148"	"5/2"	6	" 14875.70?"	
"5d3.6s2"	"a 2H"	"11/2"	12	" 15114.14"	
"5d3.6s2"	"a 2H"	"9/2"	10	" 15391.01"	
"5d3.6s2"	"a 2D"	"3/2"	4	" 15903.77"	
"5d3.6s2"	"a 2F"	"5/2"	6	" 17224.47"	
"5d3.6s2"	"a 2F"	"7/2"	8	" 17383.12"	
"5d3.6s.(5F).6p"	"z 6G*"	"3/2"	4	" 17384.65"	
""	"179*"	"5/2"	6	" 17993.74"	
"5d2.6s2.(3F).6p"	"z 4D*"	"1/2"	2	" 18504.72"	
"5d3.6s.(5F).6p"	"z 6G*"	"5/2"	6	" 19178.45"	
"5d2.6s2.(3F).6p"	"z 4D*"	"3/2"	4	" 19657.78"	
"5d2.6s2.(3P).6p"	"z 2S*"	"1/2"	2	" 20340.39"	
"5d3.6s.(5F).6p"	"z 6G*"	"7/2"	8	" 20560.26"	
"5d4.(3H).6s"	"a 4H"	"7/2"	8	" 20646.54"	
"5d2.6s2.(3P).6p"	"z 2D*"	"3/2"	4	" 20772.32"	
""	"210"	"5/2"	6	" 21091.53"	
"5d4.(3H).6s"	"a 4H"	"9/2"	10	" 21153.33"	
"5d2.6s2.(3F).6p"	"z 4D*"	"5/2"	6	" 21167.61"	
