Configuration	Term	J	g	Level (cm-1)
"4f9.6s2"	"6H*"	"15/2"	16	" 0.000"	
"4f8.(7F).5d.6s2"	"8G"	"13/2"	14	" 285.500"	
"4f8.(7F).5d.6s2"	"8G"	"15/2"	16	" 462.080"	
"4f8.(7F).5d.6s2"	"8G"	"11/2"	12	" 509.845"	
"4f8.(7F).5d.6s2"	""	"9/2"	10	" 1371.045"	
"4f8.(7F).5d.6s2"	"8D"	"11/2"	12	" 2310.090"	
"4f8.(7F).5d.6s2"	"8G"	"7/2"	8	" 2419.480"	
"4f9.6s2"	"6H*"	"13/2"	14	" 2771.675"	
"4f8.(7F).5d.6s2"	"8G"	"9/2"	10	" 2840.170"	
"4f8.(7F).5d.6s2"	"8G"	"5/2"	6	" 3174.575"	
"4f8.(7F).5d.6s2"	"8G"	"3/2"	4	" 3705.820"	
"4f8.(7F).5d.6s2"	"8F"	"13/2"	14	" 3719.705"	
"4f8.(7F).5d.6s2"	"8D"	"7/2"	8	" 3819.850"	
"4f8.(7F).5d.6s2"	"8G"	"1/2"	2	" 4018.210"	
"4f8.(7F).5d.6s2"	"8H"	"17/2"	18	" 4646.830"	
"4f9.6s2"	"6H*"	"11/2"	12	" 4670.455"	
"4f8.(7F).5d.6s2"	"8D"	"5/2"	6	" 4695.505"	
"4f8.(7F).5d.6s2"	"8F"	"11/2"	12	" 5353.370"	
"4f8.(7F).5d.6s2"	"8H"	"15/2"	16	" 5425.060"	
"4f8.(7F).5d.6s2"	"8D"	"3/2"	4	" 5483.980"	
"4f8.(7F).5d.6s2"	"8F"	"9/2"	10	" 5829.860"	
"4f9.6s2"	"6H*"	"9/2"	10	" 6174.925"	
"4f8.(7F).5d.6s2"	"8F"	"1/2"	2	" 6259.090"	
"4f8.(7F).5d.6s2"	"8H"	"13/2"	14	" 6351.750"	
"4f8.(7F).5d.6s2"	"8F"	"7/2"	8	" 6488.280"	
"4f8.(7F).5d.6s2"	"6F"	"11/2"	12	" 6674.155"	
"4f8.(7F).5d.6s2"	"8F"	"5/2"	6	" 6801.190"	
"4f8.(7F).5d.6s2"	"8F"	"3/2"	4	" 6849.720"	
"4f8.(7F).5d.6s2"	"8H"	"11/2"	12	" 6988.820"	
"4f8.(7F).5d.6s2"	"6G"	"13/2"	14	" 7059.900"	
"4f8.(7F).5d.6s2"	"8H"	"9/2"	10	" 7441.030"	
"4f8.(7F).5d.6s2"	"6H"	"15/2"	16	" 7767.015"	
"4f8.(7F).5d.6s2"	"6F"	"9/2"	10	" 7824.190"	
"4f8.(7F).5d.6s2"	"8H"	"7/2"	8	" 7839.850"	
"4f8.(7F).5d.6s2"	"8P"	"9/2"	10	" 8097.875"	
"4f8.(7F).5d.6s2"	"8H"	"5/2"	6	" 8130.680"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"15/2"	16	" 8190.465"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"13/2"	14	" 8277.040"	
"4f8.(7F).5d.6s2"	"8H"	"3/2"	4	" 8336.310"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"17/2"	18	" 8506.710"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"11/2"	12	" 8646.210"	
"4f8.(7F).5d.6s2"	"6G"	"11/2"	12	" 8932.120"	
"4f8.(7F).5d.6s2"	"6F"	"7/2"	8	" 8994.660"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"9/2"	10	" 9145.230"	
"4f8.(7F).5d.6s2"	"6H"	"13/2"	14	" 9763.020"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"7/2"	8	" 9867.650"	
"4f8.(7F).5d2.(3F) (9D).6s?"	"10D?"	"9/2"	10	" 9897.730"	
"4f8.(7F).5d.6s2"	"6G"	"9/2"	10	" 9986.73"	
"4f8.(7F).5d.6s2"	"6F"	"5/2"	6	" 10030.350"	
"4f8.(7F).5d.6s2"	"8P"	"7/2"	8	" 10324.740"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"5/2"	6	" 10456.670"	
"4f8.(7F).5d.6s2"	"6D"	"9/2"	10	" 10680.17"	
"4f8.(7F).5d2.(3F) (9G).6s"	"10G"	"3/2"	4	" 10920.180"	
"4f8.(7F).5d.6s2"	"6H"	"11/2"	12	" 10997.850"	
"4f8.(7F).5d.6s2"	"6G"	"7/2"	8	" 11107.07"	
"4f8.(7F).5d2.(3F) (9F).6s?"	"10F?"	"11/2"	12	" 11260.41"	
"4f8.(7F).5d2.(3F) (9H).6s?"	"10H?"	"19/2"	20	" 11331.14"	
"4f8.(7F).5d2.(3F) (9F).6s?"	"10F?"	"13/2"	14	" 11425.94"	
"4f8.(7F).5d2.(3F) (9F).6s?"	"10F?"	"15/2"	16	" 11580.68"	
"4f8.(7F).5d2.(3F) (9H).6s?"	"10H?"	"17/2"	18	" 11879.20"	
"4f8.(7F).5d.6s2"	"6H"	"9/2"	10	" 11956.255"	
""	""	"9/2"	10	" 12228.28"	
""	""	"7/2"	8	" 12250.99"	
"4f8.(7F).5d2.(3F) (9I).6s"	"10I"	"21/2"	22	" 12283.30"	
"4f8.(7F).5d.6s2?"	"6D?"	"5/2"	6	" 12296.45?"	
"4f8.(7F).5d2.6s?"	"8G?"	"11/2"	12	" 12453.14"	
"4f8.(7F).5d2.6s?"	"8G?"	"13/2"	14	" 12475.74"	
"4f8.(7F).5d2.(3F) (9H).6s?"	"10H?"	"15/2"	16	" 12628.67"	
"4f8.(7F).5d.6s2?"	""	"7/2"	8	" 12645.32"	
"4f8.(7F).5d.6s2"	"6H"	"7/2"	8	" 12714.050?"	
"4f8.(7F).5d2.6s?"	"8G?"	"9/2"	10	" 12776.31"	
""	""	"13/2"	14	" 12906.60"	
"4f8.(7F).5d2.6s?"	"8G?"	"15/2"	16	" 12932.66"	
""	""	"11/2"	12	" 13071.30"	
""	""	"13/2"	14	" 13116.48"	
"4f8.(7F).5d2.6s?"	"8G?"	"7/2"	8	" 13277.23"	
"4f8.(7F).5d2.(3F) (9I).6s?"	"10I?"	"19/2"	20	" 13398.40"	
"4f8.(7F<6>).6s2.6p<1/2>"	"(6,1/2)*"	"11/2"	12	" 13616.27"	
"4f8.(7F<6>).6s2.6p<1/2>"	"(6,1/2)*"	"13/2"	14	" 13622.69"	
""	""	"11/2"	12	" 13666.46"	
""	""	"7/2"	8	" 13729.12"	
""	""	"9/2"	10	" 13751.41"	
"4f8.5d2.6s?"	""	"17/2"	18	" 14016.91"	
"4f8.5d2.6s?"	""	"15/2"	16	" 14569.67?"	
"4f8.5d2.6s?"	""	"17/2"	18	" 14718.11"	
"4f9.(6H*<15/2>).6s.6p.(3P*<0>)?"	"(15/2,0)?"	"15/2"	16	" 14888.11"	
"4f8.(7F).5d.6s.6p?"	"10H*?"	"13/2"	14	" 14998.90"	
"4f9.(6H*).5d.6s?"	"*"	"15/2"	16	" 15098.95"	
"4f8.(7F).5d.6s.6p?"	"*"	"11/2"	12	" 15189.23"	
"4f8.5d2.6s?"	"8H?"	"17/2"	18	" 15189.26"	
"4f8.(7F).5d.6s.6p?"	"10H*?"	"15/2"	16	" 15201.02"	
"4f8.(7F<5>).6s2.6p<1/2>?"	"(5,1/2)*?"	"9/2"	10	" 15339.73"	
""	""	"15/2"	16	" 15387.79"	
"4f8.(7F).5d.6s.6p?"	"10H*?"	"17/2"	18	" 15798.64"	
"4f8.(7F).5d.6s.6p?"	"*"	"9/2"	10	" 15825.17"	
"4f8.(7F<5>).6s2.6p<1/2>?"	"(5,1/2)*?"	"11/2"	12	" 15953.66"	
""	"*"	"13/2"	14	" 16043.56"	
"4f8.(7F).5d.6s.6p?"	"*"	"15/2"	16	" 16051.64"	
"4f8.(7F<6>).6s2.6p<3/2>?"	"(6,3/2)*?"	"13/2"	14	" 16286.23"	
""	""	"15/2"	16	" 16343.30"	
"4f9.6s.6p?"	""	"15/2"	16	" 16431.13"	
""	"*"	"7/2"	8	" 16453.50"	
""	"*"	"11/2"	12	" 16543.94"	
"4f8.(7F<6>).6s2.6p<3/2>?"	"(6,3/2)*?"	"15/2"	16	" 16719.01"	
""	"*"	"7/2"	8	" 16722.56"	
"4f8.5d.6s.6p?"	"*"	"13/2"	14	" 17052.22"	
""	"*"	"11/2"	12	" 17118.72"	
""	"*"	"9/2"	10	" 17162.53"	
"4f9.(6H*<15/2>).6s.6p.(3P*<2>)?"	"(15/2,2)?"	"17/2"	18	" 17249.59"	
""	"*"	"5/2"	6	" 17293.33"	
""	"*"	"13/2"	14	" 17341.92"	
""	"*"	"11/2"	12	" 17350.98"	
"4f8.(7F).5d.6s.6p?"	"10H*?"	"19/2"	20	" 17401.22"	
"4f8.5d.6s.6p?"	"*"	"15/2"	16	" 17409.62"	
