Configuration	Term	J	g	Level (cm-1)
"6d2.7s2"	"3F"	"2"	5	" 0.000000"	
"6d2.7s2"	"3P"	"0"	1	" 2558.056752"	
"6d2.7s2"	"3F"	"3"	7	" 2869.259165"	
"6d2.7s2"	""	"2"	5	" 3687.987189"	
"6d2.7s2"	"3P"	"1"	3	" 3865.473772"	
"6d2.7s2"	"3F"	"4"	9	" 4961.658832"	
"6d3.(4F).7s"	"5F"	"1"	3	" 5563.141519"	
"6d3.(4F).7s"	"5F"	"2"	5	" 6362.395980"	
"6d2.7s2"	""	"2"	5	" 7280.123222"	
"6d3.(4F).7s"	"5F"	"3"	7	" 7502.287636"	
"5f.6d.7s2"	"3H*"	"4"	9	" 7795.275291"	
"6d2.7s2"	"1G"	"4"	9	" 8111.004545"	
"5f.6d.7s2"	"3F*"	"2"	5	" 8243.602091"	
"6d3.(4F).7s"	"5F"	"4"	9	" 8800.249723"	
"6d3.(4F).7s"	"5F"	"5"	11	" 9804.806547"	
"5f.6d.7s2"	"1G*"	"4"	9	" 10414.13700"	
"5f.6d.7s2"	"3G*"	"3"	7	" 10526.544406"	
"6d.7s2.7p"	"3F*"	"2"	5	" 10783.15535"	
"5f.6d.7s2"	"3H*"	"5"	11	" 11197.031257"	
"5f.6d.7s2"	"3F*"	"3"	7	" 11241.73043"	
"6d3.(4P).7s"	"5P"	"1"	3	" 11601.03035"	
"6d3.(4P).7s"	"5P"	"2"	5	" 11802.93238"	
"6d.7s2.7p"	"3D*"	"1"	3	" 11877.839132"	
"5f.6d.7s2"	"1D*"	"2"	5	" 12114.36618"	
"6d3.(4P).7s"	"5P"	"3"	7	" 12847.96912"	
"6d3.(2G).7s"	"3G"	"3"	7	" 13088.56115"	
"5f.6d.7s2"	"3G*"	"4"	9	" 13175.113345"	
"6d3.(2G).7s"	"3G"	"4"	9	" 13297.43316"	
"6d3.(4F).7s"	"3F"	"2"	5	" 13847.77037"	
"6d.7s2.7p"	"3F*"	"3"	7	" 13945.307389"	
"6d3.(2D2).7s"	""	"1"	3	" 13962.51989"	
"6d.7s2.7p"	"3D*"	"2"	5	" 14032.085336"	
"6d3.(2G).7s"	""	"5"	11	" 14204.26476"	
"5f.6d.7s2"	"3F*"	"4"	9	" 14206.91694"	
"6d3.(2P).7s"	""	"0"	1	" 14226.82045"	
"5f.6d.7s2"	"3P*"	"1"	3	" 14243.993748"	
"5f.6d.7s2"	"3P*"	"0"	1	" 14247.30742"	
"6d2.7s.7p"	"5G*"	"2"	5	" 14465.221873"	
"5f.6d.7s2"	"3H*"	"6"	13	" 14481.86965"	
