Configuration	Term	J	g	Level (cm-1)
"6d.7s2"	"2D"	"3/2"	4	" 0.00000"	
"6d2.(3F).7s"	"4F"	"5/2"	6	" 1521.89632"	
"6d2.(3F).7s"	"4F"	"3/2"	4	" 1859.93843"	
"6d.(2D).7s2"	""	"5/2"	6	" 4113.35932"	
"6d2.(3F).7s"	"4F"	"7/2"	8	" 4146.57708"	
"5f.7s2"	"2F*"	"5/2"	6	" 4490.26167"	
"5f.6d.(3H*).7s"	"4H*"	"7/2"	8	" 6168.35582"	
"6d2.(3F).7s"	"4F"	"9/2"	10	" 6213.49036"	
"6d2.(3P).7s"	"4P"	"1/2"	2	" 6244.29489"	
"5f.6d.(3F*).7s"	"4F*"	"3/2"	4	" 6691.38730"	
"5f.6d.(3H*).7s"	"*"	"9/2"	10	" 6700.18627"	
"6d3"	""	"3/2"	4	" 7001.42117"	
"5f.6d.(3F*).7s"	"4F*"	"5/2"	6	" 7331.48541"	
"6d2.(3P).7s"	""	"1/2"	2	" 7828.56081"	
"6d2.(3P).7s"	"4P"	"3/2"	4	" 8018.19281"	
"5f.7s2"	"2F*"	"7/2"	8	" 8378.85915"	
"6d3"	""	"3/2"	4	" 8460.35308"	
"6d2.(3F).7s"	"2F"	"5/2"	6	" 8605.84210"	
"6d2.(3P).7s"	"4P"	"5/2"	6	" 9061.10354"	
"5f.6d.(1G*).7s"	"2G*"	"7/2"	8	" 9202.26506"	
"5f.6d.(1G*).7s"	"*"	"9/2"	10	" 9238.02035"	
"6d3"	"4F"	"5/2"	6	" 9400.96493"	
"5f.6d.(3G*).7s"	"4G*"	"5/2"	6	" 9585.40432"	
"6d2.(1G).7s"	"2G"	"7/2"	8	" 9711.96192"	
"5f.6d.(3F*).7s"	"4F*"	"7/2"	8	" 9720.29776"	
"5f.6d.(3H*).7s"	"4H*"	"11/2"	12	" 10189.06681"	
"6d2.(1G).7s"	""	"9/2"	10	" 10379.12308"	
"5f.6d.(3H*).7s"	"*"	"9/2"	10	" 10572.04139"	
"5f.6d.(3F*).7s"	"*"	"5/2"	6	" 10673.13832"	
"6d3"	""	"7/2"	8	" 10855.32366"	
"5f.6d.(3G*).7s"	"4G*"	"7/2"	8	" 11116.58451"	
