Configuration	Term	J	g	Level (cm-1)
"3d2.4s2"	"a 3F"	"2"	5	" 0.000"	
"3d2.4s2"	"a 3F"	"3"	7	" 170.1328"	
"3d2.4s2"	"a 3F"	"4"	9	" 386.874"	
"3d3.(4F).4s"	"a 5F"	"1"	3	" 6556.833"	
"3d3.(4F).4s"	"a 5F"	"2"	5	" 6598.765"	
"3d3.(4F).4s"	"a 5F"	"3"	7	" 6661.006"	
"3d3.(4F).4s"	"a 5F"	"4"	9	" 6742.756"	
"3d3.(4F).4s"	"a 5F"	"5"	11	" 6842.962"	
"3d2.4s2"	"a 1D"	"2"	5	" 7255.355"	
"3d2.4s2"	"a 3P"	"0"	1	" 8436.618"	
"3d2.4s2"	"a 3P"	"1"	3	" 8492.422"	
"3d2.4s2"	"a 3P"	"2"	5	" 8602.3441"	
"3d3.(4F).4s"	"b 3F"	"2"	5	" 11531.761"	
"3d3.(4F).4s"	"b 3F"	"3"	7	" 11639.8109"	
"3d3.(4F).4s"	"b 3F"	"4"	9	" 11776.812"	
"3d2.4s2"	"a 1G"	"4"	9	" 12118.393"	
"3d3.(4P).4s"	"a 5P"	"1"	3	" 13981.773"	
"3d3.(4P).4s"	"a 5P"	"2"	5	" 14028.436"	
"3d3.(4P).4s"	"a 5P"	"3"	7	" 14105.634"	
"3d3.(2G).4s"	"a 3G"	"3"	7	" 15108.111"	
"3d3.(2G).4s"	"a 3G"	"4"	9	" 15156.802"	
"3d3.(2G).4s"	"a 3G"	"5"	11	" 15220.393"	
"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"2"	5	" 15877.081"	
"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"3"	7	" 15975.631"	
"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"4"	9	" 16106.076"	
"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"5"	11	" 16267.480"	
"3d2.(3F).4s.4p.(3P*)"	"z 5G*"	"6"	13	" 16458.671"	
"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"1"	3	" 16817.160"	
"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"2"	5	" 16875.124"	
"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"3"	7	" 16961.442"	
"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"4"	9	" 17075.258"	
"3d2.(3F).4s.4p.(3P*)"	"z 5F*"	"5"	11	" 17215.390"	
"3d3.(2D2).4s"	"a 3D"	"1"	3	" 17369.529"	
"3d3.(2D2).4s"	"a 3D"	"2"	5	" 17423.856"	
"3d3.(2D2).4s"	"a 3D"	"3"	7	" 17540.188"	
"3d3.(2P).4s"	"b 3P"	"0"	1	" 17995.487"	
"3d3.(2H).4s"	"a 3H"	"4"	9	" 18037.213"	
"3d3.(2P).4s"	"b 3P"	"1"	3	" 18061.387"	
"3d3.(2H).4s"	"a 3H"	"5"	11	" 18141.265"	
"3d3.(2P).4s"	"b 3P"	"2"	5	" 18145.286"	
"3d3.(2H).4s"	"a 3H"	"6"	13	" 18192.570"	
"3d3.(2G).4s"	"b 1G"	"4"	9	" 18287.554"	
"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"0"	1	" 18462.722"	
"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"1"	3	" 18482.774"	
"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"2"	5	" 18525.059"	
"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"3"	7	" 18593.947"	
"3d2.(3F).4s.4p.(3P*)"	"z 5D*"	"4"	9	" 18695.134"	
"3d3.(4P).4s"	"c 3P"	"0"	1	" 18818.099"	
"3d3.(4P).4s"	"c 3P"	"1"	3	" 18825.782"	
"3d3.(4P).4s"	"c 3P"	"2"	5	" 18911.394"	
"3d2.(3F).4s.4p.(3P*)"	"z 3F*"	"2"	5	" 19322.984"	
"3d2.(3F).4s.4p.(3P*)"	"z 3F*"	"3"	7	" 19421.580"	
"3d2.(3F).4s.4p.(3P*)"	"z 3F*"	"4"	9	" 19573.974"	
"3d2.(3F).4s.4p.(3P*)"	"z 3D*"	"1"	3	" 19937.855"	
"3d2.(3F).4s.4p.(3P*)"	"z 3D*"	"2"	5	" 20006.039"	
"3d3.(2P).4s"	"a 1P"	"1"	3	" 20062.886"	
"3d2.(3F).4s.4p.(3P*)"	"z 3D*"	"3"	7	" 20126.062"	
"3d3.(2D2).4s"	"b 1D"	"2"	5	" 20209.447"	
"3d3.(2H).4s"	"a 1H"	"5"	11	" 20795.603"	
"3d2.(3F).4s.4p.(3P*)"	"z 3G*"	"3"	7	" 21469.488"	
"3d2.(3F).4s.4p.(3P*)"	"z 3G*"	"4"	9	" 21588.495"	
"3d2.(3F).4s.4p.(3P*)"	"z 3G*"	"5"	11	" 21739.707"	
"3d2.(3F).4s.4p.(3P*)"	"z 1D*"	"2"	5	" 22081.189"	
"3d2.(3F).4s.4p.(3P*)"	"z 1F*"	"3"	7	" 22404.739"	
"3d2.(3F).4s.4p.(3P*)"	"z 1G*"	"4"	9	" 24694.892"	
"3d2.(3P).4s.4p.(3P*)"	"z 3S*"	"1"	3	" 24921.117"	
"3d3.(2F).4s"	"3F"	"4"	9	" 25037.405"	
"3d3.(2F).4s"	"3F"	"3"	7	" 25068.842"	
"3d3.(2F).4s"	"3F"	"2"	5	" 25092.958"	
"3d2.(3P).4s.4p.(3P*)"	"z 5S*"	"2"	5	" 25102.875"	
"3d2.(3F).4s.4p.(1P*)"	"y 3F*"	"2"	5	" 25107.411"	
"3d2.(3F).4s.4p.(1P*)"	"y 3F*"	"3"	7	" 25227.222"	
"3d3.(4F).4p"	"y 3D*"	"1"	3	" 25317.814"	
"3d2.(3F).4s.4p.(1P*)"	"y 3F*"	"4"	9	" 25388.331"	
"3d3.(4F).4p"	"y 3D*"	"2"	5	" 25438.908"	
"3d2.(1D).4s.4p.(3P*)"	"3P*"	"2"	5	" 25493.733"	
"3d2.(1D).4s.4p.(3P*)"	"3P*"	"1"	3	" 25537.286"	
"3d2.(1D).4s.4p.(3P*)"	"3P*"	"0"	1	" 25574.908"	
"3d2.(3P).4s.4p.(3P*)"	"5D*"	"0"	1	" 25612.388"	
"3d2.(3P).4s.4p.(3P*)"	"5D*"	"1"	3	" 25635.725"	
"3d3.(4F).4p"	"y 3D*"	"3"	7	" 25643.701"	
"3d2.(3P).4s.4p.(3P*)"	"5D*"	"2"	5	" 25699.987"	
"3d2.(3P).4s.4p.(3P*)"	"5D*"	"3"	7	" 25797.595"	
"3d2.(3P).4s.4p.(3P*)"	"5D*"	"4"	9	" 25926.771"	
"3d3.(4F).4p"	"y 5G*"	"2"	5	" 26494.330"	
"3d3.(4F).4p"	"y 5G*"	"3"	7	" 26564.400"	
"3d3.(4F).4p"	"y 5G*"	"4"	9	" 26657.416"	
"3d3.(4F).4p"	"y 5G*"	"5"	11	" 26772.968"	
"3d2.(1D).4s.4p.(3P*)"	"x 3F*"	"2"	5	" 26803.420"	
"3d2.(1D).4s.4p.(3P*)"	"x 3F*"	"3"	7	" 26892.936"	
"3d3.(4F).4p"	"y 5G*"	"6"	13	" 26910.709"	
"3d2.(1D).4s.4p.(3P*)"	"x 3F*"	"4"	9	" 27025.659"	
"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"1"	3	" 27355.061"	
"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"2"	5	" 27418.029"	
"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"3"	7	" 27480.066"	
"3d3.(2F).4s"	"1F"	"3"	7	" 27498.172"	
"3d2.(3F).4s.4p.(1P*)"	"y 3G*"	"3"	7	" 27498.982"	
"3d2.(3F).4s.4p.(1P*)"	"y 3G*"	"4"	9	" 27614.679"	
"3d2.(3P).4s.4p.(3P*)"	"z 5P*"	"1"	3	" 27665.401"	
"3d2.(3P).4s.4p.(3P*)"	"z 5P*"	"2"	5	" 27740.238"	
"3d2.(3F).4s.4p.(1P*)"	"y 3G*"	"5"	11	" 27750.135"	
"3d2.(3P).4s.4p.(3P*)"	"z 5P*"	"3"	7	" 27887.803"	
"3d2.(1D).4s.4p.(1P*)"	"y 1D*"	"2"	5	" 27907.013"	
"3d3.(4F).4p"	"y 5F*"	"1"	3	" 28596.313"	
"3d3.(4F).4p"	"y 5F*"	"2"	5	" 28638.841"	
"3d3.(4F).4p"	"y 5F*"	"3"	7	" 28702.778"	
"3d4"	"a 5D"	"0"	1	" 28772.736"	
"3d3.(4F).4p"	"y 5F*"	"4"	9	" 28788.380"	
"3d4"	"a 5D"	"1"	3	" 28791.519"	
"3d4"	"a 5D"	"2"	5	" 28828.429"	
"3d4"	"a 5D"	"3"	7	" 28882.368"	
"3d3.(4F).4p"	"y 5F*"	"5"	11	" 28896.059"	
"3d4"	"a 5D"	"4"	9	" 28951.972"	
"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"1"	3	" 29661.250"	
"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"2"	5	" 29768.675"	
"3d3.(4F).4p"	"x 5D*"	"0"	1	" 29829.112"	
"3d3.(4F).4p"	"x 5D*"	"1"	3	" 29855.255"	
"3d3.(4F).4p"	"x 5D*"	"2"	5	" 29907.286"	
"3d2.(3F).4s.4p.(1P*)"	"w 3D*"	"3"	7	" 29912.286"	
"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"3"	7	" 29914.737"	
"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"4"	9	" 29971.086"	
"3d3.(4F).4p"	"x 5D*"	"3"	7	" 29986.199"	
"3d2.(1G).4s.4p.(3P*)"	"x 3G*"	"5"	11	" 30039.170"	
"3d3.(4F).4p"	"x 5D*"	"4"	9	" 30060.340"	
"3d2.(3P).4s.4p.(3P*)"	"v 3D*"	"1"	3	" 31184.010"	
"3d2.(3P).4s.4p.(3P*)"	"v 3D*"	"2"	5	" 31190.669"	
"3d2.(3P).4s.4p.(3P*)"	"v 3D*"	"3"	7	" 31206.007"	
"3d3.(4F).4p"	"w 3G*"	"3"	7	" 31373.807"	
"3d3.(4F).4p"	"w 3G*"	"4"	9	" 31489.476"	
"3d3.(4F).4p"	"w 3G*"	"5"	11	" 31628.688"	
