Configuration	Term	J	g	Level (cm-1)
"3p6.3d2"	"3F"	"2"	5	" 0.0"	
"3p6.3d2"	"3F"	"3"	7	" 184.9"	
"3p6.3d2"	"3F"	"4"	9	" 420.4"	
"3p6.3d2"	"1D"	"2"	5	" 8473.5"	
"3p6.3d2"	"3P"	"0"	1	" 10538.4"	
"3p6.3d2"	"3P"	"1"	3	" 10603.6"	
"3p6.3d2"	"3P"	"2"	5	" 10721.2"	
"3p6.3d2"	"1G"	"4"	9	" 14397.6"	
"3p6.3d2"	"1S"	"0"	1	" 32475.5"	
"3p6.3d.4s"	"3D"	"1"	3	" 38064.35"	
"3p6.3d.4s"	"3D"	"2"	5	" 38198.95"	
"3p6.3d.4s"	"3D"	"3"	7	" 38425.99"	
"3p6.3d.4s"	"1D"	"2"	5	" 41704.27"	
"3p6.3d.4p"	"1D*"	"2"	5	" 75198.21"	
"3p6.3d.4p"	"3D*"	"1"	3	" 77000.23"	
"3p6.3d.4p"	"3D*"	"2"	5	" 77167.43"	
"3p6.3d.4p"	"3F*"	"2"	5	" 77421.86"	
"3p6.3d.4p"	"3D*"	"3"	7	" 77424.45"	
"3p6.3d.4p"	"3F*"	"3"	7	" 77746.44"	
"3p6.3d.4p"	"3F*"	"4"	9	" 78158.61"	
"3p6.3d.4p"	"3P*"	"1"	3	" 80939.19"	
"3p6.3d.4p"	"3P*"	"0"	1	" 80944.87"	
"3p6.3d.4p"	"3P*"	"2"	5	" 81024.47"	
"3p6.3d.4p"	"1F*"	"3"	7	" 83116.93"	
"3p6.3d.4p"	"1P*"	"1"	3	" 83796.86"	
"3p6.4s2"	"1S"	"0"	1	" 102665.15"	
"3p6.3d.4d"	"1F"	"3"	7	" 127790.57"	
"3p6.3d.4d"	"3D"	"1"	3	" 128433.40"	
"3p6.3d.4d"	"3D"	"2"	5	" 128546.38"	
"3p6.3d.4d"	"3D"	"3"	7	" 128689.67"	
"3p6.3d.4d"	"3G"	"3"	7	" 129093.28"	
"3p6.3d.4d"	"3G"	"4"	9	" 129252.74"	
"3p6.3d.4d"	"1P"	"1"	3	" 129253.41"	
"3p6.3d.4d"	"3G"	"5"	11	" 129469.37"	
"3p6.3d.4d"	"3S"	"1"	3	" 130739.82"	
"3p6.3d.4d"	"3F"	"2"	5	" 133065.24"	
"3p6.3d.4d"	"3F"	"3"	7	" 133207.10"	
"3p6.3d.4d"	"3F"	"4"	9	" 133371.07"	
"3p6.3d.5s"	"3D"	"1"	3	" 133898.50"	
"3p6.3d.5s"	"3D"	"2"	5	" 133999.79"	
"3p6.3d.5s"	"3D"	"3"	7	" 134275.12"	
