Configuration	Term	J	g	Level (cm-1)
"4f13.(2F*<7/2>).6s<1/2>"	"(7/2,1/2)*"	"4"	9	" 0.00"	
"4f13.(2F*<7/2>).6s<1/2>"	"(7/2,1/2)*"	"3"	7	" 236.95"	
"4f13.(2F*<5/2>).6s<1/2>"	"(5/2,1/2)*"	"2"	5	" 8769.68"	
"4f13.(2F*<5/2>).6s<1/2>"	"(5/2,1/2)*"	"3"	7	" 8957.47"	
"4f12.(3H).6s2"	"3H"	"6"	13	" 12457.29"	
"4f12.(3H<6>).5d.6s.(3D<1>)"	"(6,1)"	"5"	11	" 16567.47"	
"4f13.(2F*<7/2>).5d<3/2>"	"(7/2,3/2)*"	"2"	5	" 17624.65"	
"4f12.(3F).6s2"	"3F"	"4"	9	" 17974.30"	
"4f12.(3H<6>).5d.6s.(3D<2>)"	"(6,2)"	"4"	9	" 18291.37"	
"4f12.(3H<6>).5d.6s.(3D<2>)"	"(6,2)"	"6"	13	" 19526.82"	
"4f12.(3H<6>).5d.6s.(3D<1>)"	"(6,1)"	"7"	15	" 19619.08"	
"4f12.(3H<6>).5d.6s.(3D<2>)"	"(6,2)"	"8"	17	" 19682.97"	
"4f13.(2F*<7/2>).5d<3/2>"	"(7/2,3/2)*"	"5"	11	" 20228.75"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"9"	19	" 20465.82"	
"4f12.(3H).6s2"	"3H"	"5"	11	" 20619.05"	
"4f12.5d.6s"	""	"5"	11	" 21021.98"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"6"	13	" 21133.68"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"3"	7	" 21608.26"	
"4f13.(2F*<7/2>).5d<3/2>"	"(7/2,3/2)*"	"3"	7	" 21713.74"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"2"	5	" 21978.77"	
"4f12.(3H<6>).5d.6s.(3D<2>)"	"(6,2)"	"7"	15	" 22052.39"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"1"	3	" 22141.96"	
"4f12.5d.6s"	""	"4"	9	" 22308.82"	
"4f12.(3H<6>).5d.6s.(3D<1>)"	"(6,1)"	"6"	13	" 22355.43"	
"4f13.(2F*<7/2>).5d<3/2>"	"(7/2,3/2)*"	"4"	9	" 22457.51"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"8"	17	" 23024.29"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"4"	9	" 23524.09"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"5"	11	" 23768.84"	
"4f12.5d.6s"	""	"4"	9	" 23803.28"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"6"	13	" 23904.43"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"3"	7	" 23934.73"	
"4f12.(3H<6>).5d.6s.(3D<3>)"	"(6,3)"	"7"	15	" 23961.60"	
"4f12.(3H<6>).5d.6s.(1D<2>)"	"(6,2)"	"8"	17	" 24059.08"	
"4f13.(2F*<7/2>).5d<5/2>"	"(7/2,5/2)*"	"5"	11	" 24273.20"	
"4f12.(3H).6s2"	"3H"	"4"	9	" 24932.00"	
"4f12.(3H<6>).5d.6s.(1D<2>)"	"(6,2)"	"5"	11	" 25014.75"	
""	""	"2"	5	" 25219.51"	
"4f12.(3F<4>).5d.6s.(3D<1>)"	"(4,1)"	"3"	7	" 25257.52"	
"4f12.(3F<4>).5d.6s.(3D<2>)"	"(4,2)"	"2"	5	" 25498.77"	
"4f12.(3F<4>).5d.6s.(3D<1>)"	"(4,1)"	"4"	9	" 25696.21"	
"4f13.6p"	""	"3"	7	" 25980.02"	
"4f12.(3F<4>).5d.6s.(3D<1>)"	"(4,1)"	"5"	11	" 26188.47"	
"4f12.(3H<6>).5d.6s.(1D<2>)"	"(6,2)"	"7"	15	" 26256.26"	
"4f12.(3H<6>).5d.6s.(1D<2>)"	"(6,2)"	"6"	13	" 26478.28"	
"4f12.5d.6s"	""	"4"	9	" 26574.66"	
"4f12.(3F).6s2"	"3F"	"3"	7	" 26578.77"	
"4f12.(3F<4>).5d.6s.(3D<2>)"	"(4,2)"	"6"	13	" 26709.43"	
"4f12.(3F<4>).5d.6s.(3D<2>)"	"(4,2)"	"3"	7	" 26837.58"	
"4f12.(3F<4>).5d.6s.(3D<2>)"	"(4,2)"	"5"	11	" 26867.70"	
"4f12.5d.6s"	""	"4"	9	" 27009.39"	
"4f12.5d.6s"	""	"4"	9	" 27254.42"	
"4f12.5d.6s"	""	"2"	5	" 27294.79"	
"4f12.(3H<5>).5d.6s.(3D<1>)"	"(5,1)"	"6"	13	" 27598.57"	
"4f12.5d.6s"	""	"3"	7	" 27702.42"	
"4f12.(3H<5>).5d.6s.(3D<2>)"	"(5,2)"	"7"	15	" 28095.31"	
"4f12.(3F<4>).5d.6s.(3D<3>)"	"(4,3)"	"6"	13	" 28096.17"	
"4f12.5d.6s"	""	"3"	7	" 28267.88"	
"4f12.(3F<4>).5d.6s.(3D<3>)"	"(4,3)"	"5"	11	" 28276.32"	
"4f13.(2F*<5/2>).5d<3/2>"	"(5/2,3/2)*"	"4"	9	" 28874.14"	
"4f12.5d.6s"	""	"5"	11	" 28875.12"	
"4f12.(3F<4>).5d.6s.(3D<3>)"	"(4,3)"	"7"	15	" 28974.93"	
"4f12.5d.6s"	""	"4"	9	" 29183.39"	
"4f13.6p"	""	"2"	5	" 29285.72"	
"4f12.5d.6s"	""	"3"	7	" 29424.98"	
"4f12.(3H<5>).5d.6s.(3D<3>)"	"(5,3)"	"8"	17	" 29671.40"	
"4f12.5d.6s"	""	"2"	5	" 29967.17"	
"4f12.(3H<5>).5d.6s.(3D<1>)"	"(5,1)"	"5"	11	" 30197.45"	
"4f12.(3H<5>).5d.6s.(3D<2>)"	"(5,2)"	"6"	13	" 30361.06"	
"4f12.5d.6s"	""	"4"	9	" 30377.16"	
"4f12.5d.6s"	""	"4"	9	" 30508.76"	
"4f12.5d.6s"	""	"5"	11	" 30627.58"	
"4f12.5d.6s"	""	"3"	7	" 30684.43"	
"4f12.5d2"	""	"4"	9	" 30840.77"	
"4f12.(3H<4>).5d.6s.(3D<1>)"	"(4,1)"	"3"	7	" 31036.61"	
"4f12.5d.6s"	""	"2"	5	" 31090.09"	
"4f12.5d.6s"	""	"4"	9	" 31135.73"	
