Configuration	Term	J	g	Level (cm-1)
"4f13"	"2F*"	"7/2"	8	" 0.00"	
"4f13"	"2F*"	"5/2"	6	" 8774.02"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"9/2"	10	" 22897.47"	
"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"13/2"	14	" 25302.65"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"15/2"	16	" 25878.84"	
"4f12.(3H<6>).6s<1/2>"	"(6,1/2)"	"11/2"	12	" 25920.78"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"11/2"	12	" 26252.40"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"7/2"	8	" 27547.25"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"17/2"	18	" 27557.98"	
"4f12.(3H<6>).5d<3/2>"	"(6,3/2)"	"13/2"	14	" 28720.87"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"11/2"	12	" 30532.34"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"9/2"	10	" 30535.69"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"15/2"	16	" 30664.98"	
"4f12.(3F<4>).6s<1/2>"	"(4,1/2)"	"9/2"	10	" 31037.52"	
"4f12.(3H<6>).5d<5/2>"	"(6,5/2)"	"13/2"	14	" 31323.46"	
"4f12.(3F<4>).6s<1/2>"	"(4,1/2)"	"7/2"	8	" 31368.59"	
"4f12.(3F<4>).5d<3/2>"	"(4,3/2)"	"5/2"	6	" 31570.50"	
"4f12.(3F<4>).5d<3/2>"	"(4,3/2)"	"7/2"	8	" 32262.88"	
"4f12.(3F<4>).5d<3/2>"	"(4,3/2)"	"9/2"	10	" 32797.68"	
"4f12.(3F<4>).5d<3/2>"	"(4,3/2)"	"11/2"	12	" 33236.12"	
"4f12.(3H<5>).5d<5/2>"	"(5,5/2)"	"5/2"	6	" 33605.40"	
"4f12.(3H<5>).5d<3/2>"	"(5,3/2)"	"7/2"	8	" 33630.68"	
"4f12.(3H<5>).6s<1/2>"	"(5,1/2)"	"11/2"	12	" 33802.80"	
"4f12.(3H<5>).6s<1/2>"	"(5,1/2)"	"9/2"	10	" 33831.91"	
"4f12.(3H<5>).5d<3/2>"	"(5,3/2)"	"13/2"	14	" 34124.20"	
"4f12.(3F<4>).5d<5/2>"	"(4,5/2)"	"11/2"	12	" 34826.83"	
"4f12.(3F<4>).5d<5/2>"	"(4,5/2)"	"9/2"	10	" 35751.15"	
"4f12.(3F<4>).5d<5/2>"	""	"13/2"	14	" 36369.12"	
"4f12.(3F<4>).5d<3/2>"	""	"5/2"	6	" 36391.74"	
"4f12.(3H<5>).5d<5/2>"	"(5,5/2)"	"7/2"	8	" 36405.98"	
"4f12.(3H<5>).5d<5/2>"	"(5,5/2)"	"15/2"	16	" 36466.44"	
"4f12.(3H<5>).5d<3/2>"	"(5,3/2)"	"11/2"	12	" 36810.12"	
"4f12.(3H<5>).5d<3/2>"	"(5,3/2)"	"9/2"	10	" 37028.88"	
"4f12.(3H<5>).5d<5/2>"	""	"7/2"	8	" 37367.92"	
"4f12.(3H<4>).6s<1/2>"	""	"9/2"	10	" 38003.36"	
"4f12.(3H<4>).6s<1/2>"	"(4,1/2)"	"7/2"	8	" 38055.53"	
"4f12.(3F<4>).5d<5/2>"	""	"3/2"	4	" 38175.36"	
"4f12.(3H<5>).5d<5/2>"	"(5,5/2)"	"9/2"	10	" 38610.32"	
"4f12.(3H<4>).5d<3/2>"	"(4,3/2)"	"11/2"	12	" 39142.50"	
"4f12.(3H<5>).5d<5/2>"	""	"5/2"	6	" 39278.57"	
"4f12.(3H<5>).5d<5/2>"	"(5,5/2)"	"13/2"	14	" 39496.32"	
