Configuration	Term	J	g	Level (cm-1)
"3d3.4s2"	"a 4F"	"3/2"	4	" 0.000"	
"3d3.4s2"	"a 4F"	"5/2"	6	" 137.383"	
"3d3.4s2"	"a 4F"	"7/2"	8	" 323.432"	
"3d3.4s2"	"a 4F"	"9/2"	10	" 552.955"	
"3d4.(5D).4s"	"a 6D"	"1/2"	2	" 2112.282"	
"3d4.(5D).4s"	"a 6D"	"3/2"	4	" 2153.221"	
"3d4.(5D).4s"	"a 6D"	"5/2"	6	" 2220.156"	
"3d4.(5D).4s"	"a 6D"	"7/2"	8	" 2311.369"	
"3d4.(5D).4s"	"a 6D"	"9/2"	10	" 2424.809"	
"3d4.(5D).4s"	"a 4D"	"1/2"	2	" 8413.009"	
"3d4.(5D).4s"	"a 4D"	"3/2"	4	" 8476.234"	
"3d4.(5D).4s"	"a 4D"	"5/2"	6	" 8578.542"	
"3d4.(5D).4s"	"a 4D"	"7/2"	8	" 8715.747"	
"3d3.4s2"	"a 4P"	"1/2"	2	" 9544.635"	
"3d3.4s2"	"a 4P"	"3/2"	4	" 9637.039"	
"3d3.4s2"	"a 4P"	"5/2"	6	" 9824.626"	
"3d3.4s2"	"a 2G"	"7/2"	8	" 10892.520"	
"3d3.4s2"	"a 2G"	"9/2"	10	" 11100.596"	
"3d3.4s2"	"a 2P"	"3/2"	4	" 13801.551"	
"3d3.4s2"	"a 2P"	"1/2"	2	" 13810.910"	
"3d3.4s2"	"2D2"	"3/2"	4	" 14514.756"	
"3d3.4s2"	"2D2"	"5/2"	6	" 14548.816"	
"3d4.(3H).4s"	"a 4H"	"7/2"	8	" 14909.958"	
"3d4.(3H).4s"	"a 4H"	"9/2"	10	" 14949.359"	
"3d4.(3H).4s"	"a 4H"	"11/2"	12	" 15000.937"	
"3d4.(3H).4s"	"a 4H"	"13/2"	14	" 15062.959"	
"3d4.(3P2).4s"	"b 4P"	"1/2"	2	" 15078.387"	
"3d3.4s2"	"a 2H"	"9/2"	10	" 15103.784"	
"3d3.4s2"	"a 2H"	"11/2"	12	" 15264.832"	
"3d4.(3P2).4s"	"b 4P"	"3/2"	4	" 15270.582"	
"3d4.(3P2).4s"	"b 4P"	"5/2"	6	" 15572.035"	
"3d4.(3F2).4s"	"b 4F"	"3/2"	4	" 15664.801"	
"3d4.(3F2).4s"	"b 4F"	"5/2"	6	" 15688.862"	
"3d4.(3F2).4s"	"b 4F"	"7/2"	8	" 15724.229"	
"3d4.(3F2).4s"	"b 4F"	"9/2"	10	" 15770.789"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"3/2"	4	" 16361.489"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"5/2"	6	" 16449.875"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"7/2"	8	" 16572.638"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"9/2"	10	" 16728.803"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"11/2"	12	" 16917.210"	
"3d4.(3G).4s"	"a 4G"	"5/2"	6	" 17054.924"	
"3d4.(3G).4s"	"a 4G"	"7/2"	8	" 17116.947"	
"3d3.(4F).4s.4p.(3P*)"	"z 6G*"	"13/2"	14	" 17136.538"	
"3d4.(3G).4s"	"a 4G"	"9/2"	10	" 17182.073"	
"3d4.(3G).4s"	"a 4G"	"11/2"	12	" 17242.070"	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"1/2"	2	" 18085.952"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"1/2"	2	" 18120.104"	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"3/2"	4	" 18126.250"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"3/2"	4	" 18174.074"	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"5/2"	6	" 18198.091"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"5/2"	6	" 18258.855"	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"7/2"	8	" 18302.280"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"7/2"	8	" 18372.462"	
"3d3.(4F).4s.4p.(3P*)"	"z 6D*"	"9/2"	10	" 18438.044"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"9/2"	10	" 18513.403"	
"3d3.(4F).4s.4p.(3P*)"	"z 6F*"	"11/2"	12	" 18680.070"	
"3d4.(3P2).4s"	"b 2P"	"1/2"	2	" 18805.048"	
"3d4.(3H).4s"	"b 2H"	"9/2"	10	" 19023.531"	
"3d4.(3F2).4s"	"a 2F"	"5/2"	6	" 19026.326"	
"3d4.(3F2).4s"	"a 2F"	"7/2"	8	" 19078.112"	
"3d4.(3H).4s"	"b 2H"	"11/2"	12	" 19145.148"	
