Configuration	Term	J	g	Level (cm-1)
"5d4.6s2"	"5D"	"0"	1	" 0.00"	
"5d4.6s2"	"5D"	"1"	3	" 1670.29"	
"5d5.(6S).6s"	"7S"	"3"	7	" 2951.29"	
"5d4.6s2"	"5D"	"2"	5	" 3325.53"	
"5d4.6s2"	"5D"	"3"	7	" 4830.00"	
"5d4.6s2"	"5D"	"4"	9	" 6219.33"	
"5d4.6s2"	"3P2"	"0"	1	" 9528.06"	
"5d4.6s2"	"3H"	"4"	9	" 12161.96"	
"5d4.6s2"	"3P2"	"1"	3	" 13307.10"	
"5d4.6s2"	"3G"	"3"	7	" 13348.56"	
"5d4.6s2"	"3F2"	"2"	5	" 13777.71"	
"5d4.6s2"	"3D"	"2"	5	" 14976.18"	
"5d4.6s2"	"3H"	"5"	11	" 15069.93"	
"5d4.6s2"	"3D"	"3"	7	" 15460.01"	
"5d4.6s2"	"3G"	"4"	9	" 16431.31"	
"5d4.6s2"	"3H"	"6"	13	" 17008.50"	
"5d4.6s2"	"3F2"	"4"	9	" 17107.01"	
"5d4.6s2"	"3F2"	"3"	7	" 17701.18"	
"5d4.6s2"	"3D"	"1"	3	" 18082.83"	
"5d5.(4G).6s"	"5G"	"2"	5	" 18116.84"	
"5d5.(6S).6s"	"5S"	"2"	5	" 18280.48"	
"5d5.(4G).6s"	"5G"	"3"	7	" 18974.51"	
"5d4.6s2"	"3P2"	"2"	5	" 19253.56"	
"5d5.(4G).6s"	"5G"	"4"	9	" 19256.24"	
"5d4.6s.(6D).6p"	"7F*"	"0"	1	" 19389.43"	
"5d5.(4G).6s"	"5G"	"5"	11	" 19535.01"	
"5d5.(4G).6s"	"5G"	"6"	13	" 19648.54"	
"5d4.6s2"	"3G"	"5"	11	" 19826.04"	
"5d5.(4P).6s"	"5P"	"3"	7	" 19827.68"	
"5d4.6s.(6D).6p"	"7F*"	"1"	3	" 20064.30"	
"5d4.6s2"	"1S2"	"0"	1	" 20174.20"	
"5d5.(4P).6s"	"5P"	"1"	3	" 20427.84"	
"5d5.(4P).6s"	"5P"	"2"	5	" 20983.02"	
"5d4.6s.(6D).6p"	"7F*"	"2"	5	" 21448.76"	
"5d4.6s.(6D).6p"	"7D*"	"1"	3	" 21453.90"	
"5d5.(4D).6s"	"5D"	"4"	9	" 22476.68"	
"5d5.(4D).6s"	"5D"	"0"	1	" 22773.78"	
"5d4.6s2"	"1G2"	"4"	9	" 22852.80"	
"5d4.6s.(6D).6p"	"7F*"	"3"	7	" 23047.31"	
"5d5.(4D).6s"	"5D"	"1"	3	" 23455.02"	
"5d4.6s2"	"1I"	"6"	13	" 23484.78"	
