Configuration	Term	J	g	Level (cm-1)
"5d4.(5D).6s"	"6D"	"1/2"	2	" 0.000"	
"5d4.(5D).6s"	"6D"	"3/2"	4	" 1518.829"	
"5d4.(5D).6s"	"6D"	"5/2"	6	" 3172.473"	
"5d4.(5D).6s"	"6D"	"7/2"	8	" 4716.278"	
"5d4.(5D).6s"	"6D"	"9/2"	10	" 6147.085"	
"5d5"	"6S"	"5/2"	6	" 7420.261"	
"5d3.6s2"	"4F"	"3/2"	4	" 8711.274"	
""	""	"1/2"	2	" 8832.728"	
""	""	"3/2"	4	" 10592.485"	
"5d3.6s2"	"4F"	"5/2"	6	" 11301.024"	
"5d4.(5D).6s"	"4D"	"1/2"	2	" 13173.337"	
"5d3.6s2"	"4F"	"7/2"	8	" 13411.939"	
""	""	"5/2"	6	" 13434.070"	
"5d4.(5D).6s"	"4D"	"3/2"	4	" 14634.336"	
""	""	"9/2"	10	" 14857.160"	
""	""	"5/2"	6	" 14967.745"	
"5d4.(3H).6s"	"4H"	"7/2"	8	" 15146.977"	
""	""	"5/2"	6	" 16234.715"	
"5d4.(3H).6s"	"4H"	"9/2"	10	" 16553.087"	
""	""	"7/2"	8	" 16589.603"	
"5d4.(3H).6s"	"4H"	"11/2"	12	" 17436.932"	
""	""	"7/2"	8	" 18000.627"	
""	""	"3/2"	4	" 18990.929"	
""	""	"9/2"	10	" 19070.550"	
""	""	"5/2"	6	" 19276.431"	
""	""	"1/2"	2	" 19403.991"	
"5d4.(3H).6s"	"4H"	"13/2"	14	" 19442.466"	
""	""	"5/2"	6	" 19637.309"	
""	""	"7/2"	8	" 20039.682"	
"5d4.(3F2).6s"	"4F"	"3/2"	4	" 20455.888"	
""	""	"11/2"	12	" 20534.191"	
""	""	"9/2"	10	" 20780.358"	
"5d4.(3F2).6s"	"4F"	"5/2"	6	" 22139.861"	
""	""	"7/2"	8	" 22194.031"	
"5d4.(3D).6s"	"4D"	"3/2"	4	" 22502.951"	
""	""	"1/2"	2	" 22535.610"	
""	""	"7/2"	8	" 23046.724"	
""	""	"9/2"	10	" 23234.778"	
"5d4.(3D).6s"	"4D"	"5/2"	6	" 23450.418"	
""	""	"7/2"	8	" 23803.702"	
""	""	"11/2"	12	" 23955.349"	
""	""	"7/2"	8	" 24804.612"	
""	""	"3/2"	4	" 24991.591"	
"5d4.(3D).6s"	"4D"	"1/2"	2	" 25045.238"	
""	""	"3/2"	4	" 25169.877"	
""	""	"9/2"	10	" 25209.233"	
""	""	"5/2"	6	" 25672.099"	
"5d5"	"4G"	"9/2"	10	" 26158.581"	
""	""	"5/2"	6	" 26226.897"	
"5d5"	"4P"	"1/2"	2	" 26526.710"	
"5d4.(1I).6s"	"2I"	"11/2"	12	" 26929.008"	
""	""	"7/2"	8	" 27273.753"	
"5d4.(3P1).6s"	"4P"	"5/2"	6	" 28118.836"	
"5d4.(1I).6s"	"2I"	"13/2"	14	" 28187.578"	
""	""	"11/2"	12	" 28377.585"	
""	""	"3/2"	4	" 28490.920"	
""	""	"7/2"	8	" 28631.688"	
""	""	"9/2"	10	" 29341.426"	
""	""	"3/2"	4	" 30223.744"	
""	""	"5/2"	6	" 30618.045"	
""	""	"9/2"	10	" 30632.927"	
"5d5"	"2I"	"11/2"	12	" 31100.286"	
"5d5"	"2I"	"13/2"	14	" 31347.087"	
""	""	"7/2"	8	" 31446.928"	
""	""	"5/2"	6	" 31538.785"	
""	""	"3/2"	4	" 32486.525"	
""	""	"3/2"	4	" 32950.226"	
""	""	"7/2"	8	" 32950.460"	
""	""	"11/2"	12	" 33910.548"	
"5d5"	"4F"	"9/2"	10	" 34090.867"	
""	""	"5/2"	6	" 34447.663"	
""	""	"7/2"	8	" 35315.585"	
""	""	"9/2"	10	" 35826.644"	
""	""	"5/2"	6	" 35925.336"	
""	""	"1/2"	2	" 36165.356"	
""	""	"7/2"	8	" 37312.218"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"3/2"	4	" 37971.528"	
""	""	"1/2"	2	" 38576.313"	
"5d4.(5D).6p"	"6F*"	"3/2"	4	" 39129.460"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"5/2"	6	" 39936.842"	
""	""	"9/2"	10	" 41583.988"	
"5d4.(5D).6p"	"6F*"	"5/2"	6	" 42049.478"	
""	""	"3/2"	4	" 42298.223"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"	8	" 42390.287"	
""	""	"5/2"	6	" 44354.784"	
"5d3.(4F).6s.(5F).6p"	"6F*"	"1/2"	2	" 44455.212"	
""	""	"9/2"	10	" 44758.095"	
"5d4.(5D).6p"	"6F*"	"7/2"	8	" 44877.209"	
""	""	"3/2"	4	" 44911.659"	
"5d4.(5D).6p"	"6F*"	"1/2"	2	" 45457.066"	
""	""	"3/2"	4	" 45553.652"	
""	""	"7/2"	8	" 46175.395"	
""	""	"5/2"	6	" 46355.404"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"9/2"	10	" 46493.356"	
""	""	"1/2"	2	" 46625.281"	
""	""	"3/2"	4	" 47179.941"	
""	""	"5/2"	6	" 47413.270"	
"5d4.(5D).6p"	"6P*"	"3/2"	4	" 47588.647"	
""	""	"5/2"	6	" 48284.498"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"11/2"	12	" 48332.758"	
""	""	"7/2"	8	" 48830.701"	
"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	4	" 48982.939"	
""	""	"7/2"	8	" 49124.508"	
""	""	"1/2"	2	" 49154.484"	
""	""	"9/2"	10	" 49181.034"	
""	""	"5/2"	6	" 49242.042"	
"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	6	" 50292.354"	
""	""	"3/2"	4	" 50430.999"	
"5d4.(5D).6p"	"6F*"	"9/2"	10	" 50863.106"	
"5d3.(4F).6s.(5F).6p"	"6F*"	"7/2"	8	" 51045.292"	
""	""	"3/2"	4	" 51254.429"	
""	""	"5/2"	6	" 51438.064"	
""	""	"11/2"	12	" 51495.054"	
""	""	"1/2"	2	" 51536.621"	
""	""	"7/2"	8	" 51862.999"	
""	""	"5/2"	6	" 52087.110"	
""	""	"7/2"	8	" 52275.291"	
"5d4.(5D).6p"	"4D*"	"1/2"	2	" 52355.250"	
""	""	"9/2"	10	" 52567.276"	
""	""	"1/2"	2	" 52593.766"	
""	""	"3/2"	4	" 52803.012"	
""	""	"7/2"	8	" 52901.794"	
""	""	"5/2"	6	" 53113.533"	
""	""	"3/2"	4	" 53329.762"	
""	""	"7/2"	8	" 53338.075"	
""	""	"9/2"	10	" 53370.011"	
""	""	"3/2"	4	" 53423.050"	
""	""	"1/2"	2	" 53440.213"	
"5d3.(4F).6s.(5F).6p"	"6G*"	"13/2"	14	" 53641.254"	
""	""	"5/2"	6	" 54026.309"	
""	""	"9/2"	10	" 54056.594"	
""	""	"3/2"	4	" 54137.225"	
"5d4.(5D).6p"	"6F*"	"11/2"	12	" 54229.082"	
""	""	"5/2"	6	" 54375.859"	
""	""	"1/2"	2	" 54485.701"	
""	""	"7/2"	8	" 54498.608"	
""	""	"5/2"	6	" 54704.585"	
""	""	"11/2"	12	" 54958.573"	
""	""	"7/2"	8	" 55022.932"	
""	""	"5/2"	6	" 55162.390"	
""	""	"9/2"	10	" 55392.446"	
"5d3.(4P).6s.(5P).6p"	"6P*"	"3/2"	4	" 55488.134"	
""	""	"3/2"	4	" 56084.326"	
""	""	"11/2"	12	" 56376.569"	
""	""	"9/2"	10	" 56413.649"	
"5d4.(3H).6p"	"4H*"	"13/2"	14	" 56439.643"	
"5d3.(4P).6s.(5P).6p"	"6P*"	"5/2"	6	" 56544.508"	
""	""	"7/2"	8	" 56612.836"	
""	""	"7/2"	8	" 56768.602"	
""	""	"5/2"	6	" 56874.983"	
""	""	"3/2"	4	" 56932.345"	
""	""	"9/2"	10	" 57089.482"	
""	""	"5/2"	6	" 57252.138"	
""	""	"7/2"	8	" 57729.994"	
""	""	"5/2"	6	" 57856.759"	
""	""	"9/2"	10	" 57986.939"	
""	""	"3/2"	4	" 58007.690"	
""	""	"1/2"	2	" 58308.799"	
""	""	"5/2"	6	" 58337.096"	
""	""	"7/2"	8	" 58537.630"	
""	""	"9/2"	10	" 58687.965"	
""	""	"7/2"	8	" 58709.614"	
""	""	"3/2"	4	" 58748.042"	
""	""	"11/2"	12	" 58891.742"	
""	""	"7/2"	8	" 59276.854"	
""	""	"3/2"	4	" 59370.490"	
""	""	"9/2"	10	" 59399.339"	
""	""	"5/2"	6	" 59443.051"	
""	""	"3/2"	4	" 59816.385"	
""	""	"7/2"	8	" 59869.150"	
""	""	"7/2"	8	" 59933.692"	
""	""	"5/2"	6	" 59992.379"	
""	""	"11/2"	12	" 60219.015"	
""	""	"7/2"	8	" 60256.547"	
""	""	"9/2"	10	" 60278.726"	
""	""	"7/2"	8	" 60424.237"	
""	""	"5/2"	6	" 60474.732"	
""	""	"5/2"	6	" 60656.540"	
""	""	"3/2"	4	" 60665.356"	
""	""	"5/2"	6	" 60901.023"	
""	""	"9/2"	10	" 61055.849"	
""	""	"3/2"	4	" 61117.662"	
""	""	"11/2"	12	" 61240.813"	
""	""	"7/2"	8	" 61326.281"	
""	""	"9/2"	10	" 61360.578"	
""	""	"7/2"	8	" 61550.649"	
""	""	"5/2"	6	" 61566.854"	
""	""	"11/2"	12	" 61589.457"	
""	""	"13/2"	14	" 61602.268"	
""	""	"1/2"	2	" 62131.107"	
""	""	"9/2"	10	" 62330.855"	
""	""	"5/2"	6	" 62333.247"	
""	""	"9/2"	10	" 62437.086"	
""	""	"3/2"	4	" 62454.559"	
""	""	"7/2"	8	" 62561.090"	
""	""	"13/2"	14	" 62714.675"	
"5d3.(4P).6s.(5P).6p"	"6D*"	"9/2"	10	" 62716.159"	
""	""	"3/2"	4	" 62724.690"	
""	""	"11/2"	12	" 62966.514"	
""	""	"5/2"	6	" 62989.639"	
""	""	"13/2"	14	" 63087.934"	
""	""	"3/2"	4	" 63134.773"	
""	""	"7/2"	8	" 63266.459"	
""	""	"7/2"	8	" 63788.242"	
"5d4.(3H).6p"	"4I*"	"15/2"	16	" 63875.361"	
""	""	"5/2"	6	" 63880.265"	
""	""	"5/2"	6	" 64030.511"	
""	""	"9/2"	10	" 64207.585"	
""	""	"3/2"	4	" 64255.162"	
""	""	"5/2"	6	" 64310.114"	
""	""	"7/2"	8	" 64356.750"	
""	""	"9/2"	10	" 64516.226"	
""	""	"3/2"	4	" 64804.173"	
""	""	"7/2"	8	" 64896.325"	
""	""	"11/2"	12	" 64969.172"	
""	""	"5/2"	6	" 64990.383"	
""	""	"9/2"	10	" 65003.292"	
""	""	"3/2"	4	" 65299.715"	
""	""	"11/2"	12	" 65326.546"	
""	""	"7/2"	8	" 65455.496"	
"5d3.(4P).6s.(5P).6p"	"6S*"	"5/2"	6	" 65481.012"	
""	""	"7/2"	8	" 65643.968"	
""	""	"11/2"	12	" 65684.866"	
""	""	"7/2"	8	" 66026.803"	
""	""	"5/2"	6	" 66144.496"	
""	""	"9/2"	10	" 66271.003"	
""	""	"11/2"	12	" 66703.457"	
""	""	"9/2"	10	" 66816.290"	
""	""	"7/2"	8	" 66898.059"	
""	""	"9/2"	10	" 67028.654"	
""	""	"5/2"	6	" 67173.555"	
""	""	"9/2"	10	" 67847.271"	
""	""	"11/2"	12	" 68012.627"	
"5d4.(1I).6p"	"2K*"	"13/2"	14	" 68079.006"	
""	""	"7/2"	8	" 68362.322"	
""	""	"5/2"	6	" 68443.785"	
""	""	"3/2"	4	" 68499.486"	
""	""	"7/2"	8	" 68619.990"	
""	""	"9/2"	10	" 68734.663"	
"5d3.(2H).6s.(3H).6p"	"4I*"	"13/2"	14	" 69035.063"	
""	""	"5/2"	6	" 69060.711"	
""	""	"9/2"	10	" 69105.775"	
""	""	"5/2"	6	" 69481.712"	
""	""	"7/2"	8	" 69580.334"	
""	""	"11/2"	12	" 69587.792"	
"5d3.(2H).6s.(3H).6p"	"4H*"	"13/2"	14	" 70000.529"	
""	""	"7/2"	8	" 70211.800"	
""	""	"7/2"	8	" 70674.184"	
"5d3.(2H).6s.(3H).6p"	"4I*"	"15/2"	16	" 70845.790"	
""	""	"9/2"	10	" 70902.470"	
""	""	"11/2"	12	" 71164.174"	
"5d4.(1I).6p"	"2I*"	"13/2"	14	" 71220.067"	
""	""	"9/2"	10	" 71245.032"	
""	""	"9/2"	10	" 71785.392"	
""	""	"11/2"	12	" 72180.632"	
""	""	"9/2"	10	" 72401.581"	
""	""	"9/2"	10	" 72557.895"	
""	""	"7/2"	8	" 72597.303"	
"5d4.(1I).6p"	"2K*"	"15/2"	16	" 72821.142"	
""	""	"11/2"	12	" 73266.317"	
""	""	"7/2"	8	" 73427.537"	
""	""	"9/2"	10	" 73705.965"	
""	""	"9/2"	10	" 74446.931"	
"W III (5d4 5D<0>)"	"Limit"	"---"		"[132000]"	
