Configuration	Term	J	g	Level (cm-1)
"5d3"	"4F"	"3/2"	4	" 0.00"	
"5d3"	"4F"	"5/2"	6	" 3537.49"	
"5d3"	"4F"	"7/2"	8	" 6744.63"	
"5d3"	"4F"	"9/2"	10	" 9256.39"	
"5d3"	"4P"	"3/2"	4	" 10220.65"	
"5d3"	"4P"	"1/2"	2	" 11772.92"	
"5d3"	"2G"	"7/2"	8	" 15260.92"	
"5d3"	"2H"	"9/2"	10	" 16204.85"	
"5d3"	"4P"	"5/2"	6	" 17189.88"	
"5d3"	"2P"	"1/2"	2	" 18364.76"	
"5d3"	"2D2"	"3/2"	4	" 18519.01"	
"5d3"	"2H"	"11/2"	12	" 22223.06"	
"5d3"	"2D2"	"5/2"	6	" 22766.37"	
"5d3"	"2G"	"9/2"	10	" 24096.03"	
"5d3"	"2P"	"3/2"	4	" 25167.81"	
"5d3"	"2F"	"5/2"	6	" 27937.63"	
"5d3"	"2F"	"7/2"	8	" 28412.13"	
"5d2.(3F).6s"	"4F"	"3/2"	4	" 32692.40"	
"5d2.(3F).6s"	"4F"	"5/2"	6	" 35093.78"	
"5d2.(3F).6s"	"4F"	"7/2"	8	" 39029.73"	
"5d2.(3F).6s"	"4F"	"9/2"	10	" 43224.40"	
"5d3"	"2D1"	"5/2"	6	" 43286.60"	
"5d3"	"2D1"	"3/2"	4	" 43741.52"	
"5d2.(3P).6s"	"4P"	"1/2"	2	" 45516.94"	
"5d2.(3P).6s"	"4P"	"5/2"	6	" 46087.55"	
"5d2.(3P).6s"	"4P"	"3/2"	4	" 47679.55"	
"5d2.(3F).6s"	"2F"	"5/2"	6	" 49337.04"	
"5d2.(1D).6s"	"2D"	"3/2"	4	" 51860.40"	
"5d2.(3F).6s"	"2F"	"7/2"	8	" 52828.24"	
"5d2.(1D).6s"	"2D"	"5/2"	6	" 56415.54"	
"5d2.(1G).6s"	"2G"	"9/2"	10	" 57050.05"	
"5d2.(1G).6s"	"2G"	"7/2"	8	" 58372.54"	
"5d2.(3P).6s"	"2P"	"1/2"	2	" 59628.18"	
"5d2.(3P).6s"	"2P"	"3/2"	4	" 64680.96"	
"5d2.(1S).6s"	"2S"	"1/2"	2	" 77607.89"	
"5d2.(3F).6p"	"4G*"	"5/2"	6	" 85289.99"	
