Configuration	Term	J	g	Level (cm-1)
"5p5"	"2P*"	"3/2"	4	" 0.00"	
"5p5"	"2P*"	"1/2"	2	" 10537.01"	
"5s.5p6"	"2S"	"1/2"	2	" 90873.83"	
"5p4.(3P<2>).6s"	"2[2]"	"5/2"	6	" 93068.44"	
"5p4.(3P<2>).6s"	"2[2]"	"3/2"	4	" 95064.38"	
"5p4.(3P<2>).5d"	"2[2]"	"5/2"	6	" 95396.74"	
"5p4.(3P<2>).5d"	"2[3]"	"7/2"	8	" 95437.67"	
"5p4.(3P<2>).5d"	"2[2]"	"3/2"	4	" 96033.48"	
"5p4.(3P<2>).5d"	"2[1]"	"1/2"	2	" 96858.18"	
"5p4.(3P<2>).5d"	"2[4]"	"9/2"	10	" 99404.99"	
"5p4.(3P<0>).6s"	"2[0]"	"1/2"	2	" 101157.48"	
"5p4.(3P<2>).5d"	"2[4]"	"7/2"	8	" 101535.67"	
"5p4.(3P<1>).6s"	"2[1]"	"3/2"	4	" 102799.07"	
"5p4.(3P<1>).5d"	"2[1]"	"1/2"	2	" 104250.06"	
"5p4.(3P<2>).5d"	"2[1]"	"3/2"	4	" 105313.33"	
"5p4.(3P<2>).5d"	"2[0]"	"1/2"	2	" 105947.55"	
"5p4.(3P<2>).5d"	"2[3]"	"5/2"	6	" 106475.21"	
"5p4.(3P<1>).6s"	"2[1]"	"1/2"	2	" 106906.12"	
"5p4.(3P<0>).5d"	"2[2]"	"3/2"	4	" 107381.74"	
"5p4.(3P<1>).5d"	"2[1]"	"3/2"	4	" 107904.50"	
"5p4.(3P<0>).5d"	"2[2]"	"5/2"	6	" 108007.28"	
"5p4.(3P<1>).5d"	"2[3]"	"7/2"	8	" 108423.07"	
"5p4.(1D<2>).6s"	"2[2]"	"5/2"	6	" 109563.14"	
"5p4.(3P<1>).5d"	"2[2]"	"3/2"	4	" 111326.96"	
"5p4.(3P<2>).6p"	"2[2]*"	"3/2"	4	" 111792.17"	
"5p4.(3P<2>).6p"	"2[2]*"	"5/2"	6	" 111958.89"	
"5p4.(3P<1>).5d"	"2[2]"	"5/2"	6	" 112703.64"	
"5p4.(1D<2>).6s"	"2[2]"	"3/2"	4	" 112924.84"	
"5p4.(3P<2>).6p"	"2[3]*"	"5/2"	6	" 113512.36"	
"5p4.(3P<2>).6p"	"2[1]*"	"1/2"	2	" 113672.89"	
"5p4.(3P<2>).6p"	"2[3]*"	"7/2"	8	" 113705.40"	
"5p4.(3P<1>).5d"	"2[3]"	"5/2"	6	" 114751.08"	
"5p4.(1D<2>).5d"	"2[4]"	"9/2"	10	" 114905.15"	
"5p4.(1D<2>).5d"	"2[4]"	"7/2"	8	" 114913.98"	
"5p4.(3P<2>).6p"	"2[1]*"	"3/2"	4	" 116783.09"	
"5p4.(1D<2>).5d"	"2[3]"	"5/2"	6	" 119085.49"	
"5p4.(3P<0>).6p"	"2[1]*"	"1/2"	2	" 120414.87"	
"5p4.(1D<2>).5d"	"2[3]"	"7/2"	8	" 120853.16"	
"5p4.(3P<1>).6p"	"2[0]*"	"1/2"	2	" 121179.80"	
"5p4.(3P<0>).6p"	"2[1]*"	"3/2"	4	" 121628.82"	
"5p4.(3P<1>).6p"	"2[2]*"	"5/2"	6	" 123112.54"	
"5p4.(3P<1>).6p"	"2[2]*"	"3/2"	4	" 123254.60"	
"5p4.(1D<2>).5d"	"2[1]"	"3/2"	4	" 124070.06"	
"5p4.(3P<1>).6p"	"2[1]*"	"3/2"	4	" 124289.45"	
"5p4.(1D<2>).5d"	"2[2]"	"5/2"	6	" 124301.96"	
"5p4.(3P<1>).6p"	"2[1]*"	"1/2"	2	" 124571.09"	
"5p4.(1D<2>).5d"	"2[1]"	"1/2"	2	" 127010.80"	
"5p4.(1D<2>).5d"	"2[2]"	"3/2"	4	" 127527.30"	
"5p4.(1D<2>).6p"	"2[3]*"	"5/2"	6	" 128867.20"	
"5p4.(1S<0>).6s"	"2[0]"	"1/2"	2	" 129248.39"	
"5p4.(1D<2>).6p"	"2[1]*"	"3/2"	4	" 129667.35"	
"5p4.(1D<2>).6p"	"2[3]*"	"7/2"	8	" 130063.96"	
"5p4.(1D<2>).6p"	"2[2]*"	"3/2"	4	" 131923.79"	
"5p4.(1D<2>).6p"	"2[2]*"	"5/2"	6	" 132207.76"	
"5p4.(3P<2>).7s"	"2[2]"	"5/2"	6	" 132518.82"	
"5p4.(1D<2>).6p"	"2[1]*"	"1/2"	2	" 132741.15"	
"5p4.(3P<2>).7s"	"2[2]"	"3/2"	4	" 133189.42"	
"5p4.(1D<2>).5d"	"2[0]"	"1/2"	2	" 135060.97"	
"5p4.(3P<2>).6d"	"2[3]"	"7/2"	8	" 135507.32"	
"5p4.(3P<2>).6d"	"2[2]"	"5/2"	6	" 135547.13"	
"5p4.(3P<2>).6d"	"2[2]"	"3/2"	4	" 135708.32"	
"5p4.(3P<2>).6d"	"2[4]"	"9/2"	10	" 136109.65"	
