Configuration	Term	J	g	Level (cm-1)
"5s2.5p4"	"3P"	"2"	5	" 0.00"	
"5s2.5p4"	"3P"	"0"	1	" 8130.08"	
"5s2.5p4"	"3P"	"1"	3	" 9794.36"	
"5s2.5p4"	"1D"	"2"	5	" 17098.73"	
"5s2.5p4"	"1S"	"0"	1	" 36102.94"	
"5s.5p5"	"3P*"	"2"	5	" 98262.47"	
"5s.5p5"	"3P*"	"1"	3	" 103568.20"	
"5s.5p5"	"3P*"	"0"	1	" 108333.76"	
"5s2.5p3.(4S*).5d"	"5D*"	"3"	7	" 111605.41"	
"5s2.5p3.(4S*).5d"	"5D*"	"2"	5	" 111856.38"	
"5s2.5p3.(4S*).5d"	"5D*"	"4"	9	" 112271.78"	
"5s2.5p3.(4S*).5d"	"5D*"	"1"	3	" 112449.90"	
"5s2.5p3.(4S*).5d"	"5D*"	"0"	1	" 112693.95"	
"5s2.5p3.(4S*).5d"	"3D*"	"2"	5	" 117240.08"	
"5s2.5p3.(2D*).5d"	"1P*"	"1"	3	" 119026.03"	
"5s2.5p3.(4S*).5d"	"3D*"	"3"	7	" 121229.58"	
"5s2.5p3.(4S*).6s"	"5S*"	"2"	5	" 121475.94"	
"5s2.5p3.(4S*).5d"	"3D*"	"1"	3	" 121922.75"	
"5s2.5p3.(2D*).5d"	"3F*"	"2"	5	" 124691.33"	
"5s2.5p3.(4S*).6s"	"3S*"	"1"	3	" 125617.06"	
"5s2.5p3.(2D*).5d"	"3F*"	"3"	7	" 126119.77"	
"5s2.5p3.(2D*).5d"	"3G*"	"4"	9	" 127782.14"	
"5s2.5p3.(2D*).5d"	"3G*"	"3"	7	" 128349.15"	
"5s2.5p3.(2D*).5d"	"3F*"	"4"	9	" 130173.73"	
"5s2.5p3.(2D*).5d"	"3G*"	"5"	11	" 132159.94"	
"5s2.5p3.(2D*).5d"	"1G*"	"4"	9	" 132711.78"	
"5s2.5p3.(2D*).5d"	"3D*"	"1"	3	" 133234.01"	
"5s2.5p3.(2D*).6s"	"3D*"	"2"	5	" 134667.42"	
"5s2.5p3.(2P*).5d"	"1D*"	"2"	5	" 136367.48"	
"5s2.5p3.(2D*).6s"	"3D*"	"1"	3	" 138145.49"	
"5s2.5p3.(2D*).6s"	"3D*"	"3"	7	" 138658.20"	
"5s2.5p3.(2P*).5d"	"3P*"	"0"	1	" 140437.79"	
"5s2.5p3.(2P*).5d"	"3P*"	"1"	3	" 140730.93"	
"5s2.5p3.(2D*).5d"	"3D*"	"2"	5	" 142064.27"	
"5s2.5p3.(2D*).6s"	"1D*"	"2"	5	" 143048.20"	
"5s2.5p3.(2D*).5d"	"3D*"	"3"	7	" 143156.24"	
"5s2.5p3.(2P*).5d"	"3F*"	"2"	5	" 145300.13"	
"5s2.5p3.(2P*).5d"	"3F*"	"3"	7	" 145340.91"	
"5s2.5p3.(4S*).6p"	"5P"	"1"	3	" 146781.48"	
"5s2.5p3.(4S*).6p"	"5P"	"2"	5	" 146962.42"	
"5s2.5p3.(2D*).5d"	"3S*"	"1"	3	" 147797.41"	
"5s2.5p3.(2D*).5d"	"3P*"	"2"	5	" 148370.13"	
"5s2.5p3.(2D*).5d"	"1F*"	"3"	7	" 148412.84"	
"5s2.5p3.(2P*).5d"	"3F*"	"4"	9	" 148535.52"	
"5s2.5p3.(4S*).6p"	"5P"	"3"	7	" 149061.57"	
"5s2.5p3.(4S*).6p"	"3P"	"1"	3	" 150301.10"	
"5s2.5p3.(2P*).5d"	"3P*"	"2"	5	" 150404.24"	
"5s2.5p3.(2P*).6s"	"3P*"	"0"	1	" 150505.31"	
"5s2.5p3.(2P*).6s"	"3P*"	"1"	3	" 151482.43"	
"5s2.5p3.(4S*).6p"	"3P"	"2"	5	" 152057.72"	
"5s2.5p3.(4S*).6p"	"3P"	"0"	1	" 152808.17"	
"5s2.5p3.(2P*).5d"	"3D*"	"2"	5	" 153893.20"	
"5s2.5p3.(2D*).5d"	"3P*"	"1"	3	" 154639.37"	
"5s2.5p3.(2P*).5d"	"3D*"	"1"	3	" 155400.90"	
"5s2.5p3.(2P*).5d"	"3D*"	"3"	7	" 156392.68"	
"5s2.5p3.(2P*).6s"	"3P*"	"2"	5	" 158928.10"	
"5s2.5p3.(2D*).6p"	"3D"	"1"	3	" 158996.98"	
"5s2.5p3.(2P*).6s"	"1P*"	"1"	3	" 159388.18"	
"5s2.5p3.(2D*).6p"	"3F"	"2"	5	" 160691.30"	
"5s2.5p3.(2D*).5d"	"3P*"	"0"	1	" 160733.77"	
"5s2.5p3.(2D*).5d"	"1D*"	"2"	5	" 161809.98"	
"5s2.5p3.(2D*).6p"	"3D"	"2"	5	" 162259.97"	
"5s2.5p3.(2D*).6p"	"3F"	"3"	7	" 162594.81"	
"5s2.5p3.(2P*).5d"	"1F*"	"3"	7	" 162957.50"	
"5s.5p5"	"1P*"	"1"	3	" 163527.40"	
"5s2.5p3.(2D*).6p"	"1F"	"3"	7	" 164438.64"	
"5s2.5p3.(2D*).6p"	"1P"	"1"	3	" 164511.65"	
"5s2.5p3.(2D*).6p"	"3P"	"0"	1	" 165941.69"	
"5s2.5p3.(4S*).4f"	"5F"	"4"	9	" 166355.27"	
"5s2.5p3.(4S*).4f"	"5F"	"3"	7	" 166374.06"	
"5s2.5p3.(2D*).6p"	"3F"	"4"	9	" 166554.82"	
"5s2.5p3.(2D*).6p"	"3D"	"3"	7	" 166699.11"	
"5s2.5p3.(4S*).4f"	"5F"	"5"	11	" 166743.80"	
"5s2.5p3.(4S*).4f"	"5F"	"2"	5	" 166880.09"	
"5s2.5p3.(2D*).6p"	"3P"	"2"	5	" 167066.32"	
"5s2.5p3.(4S*).4f"	"5F"	"1"	3	" 167173.54"	
"5s2.5p3.(2D*).6p"	"3P"	"1"	3	" 168086.00"	
"5s2.5p3.(4S*).4f"	"3F"	"3"	7	" 170250.15"	
"5s2.5p3.(2D*).6p"	"1D"	"2"	5	" 171989.82"	
"5s2.5p3.(4S*).4f"	"3F"	"2"	5	" 173734.12"	
"5s2.5p3.(4S*).4f"	"3F"	"4"	9	" 173946.53"	
"5s2.5p3.(2P*).5d"	"1P*"	"1"	3	" 175052.36"	
"5s2.5p3.(2P*).6p"	"3D"	"1"	3	" 175231.15"	
"5s2.5p3.(2P*).6p"	"3D"	"2"	5	" 177955.93"	
