Configuration	Term	J	g	Level (cm-1)
"5s2.5p3"	"4S*"	"3/2"	4	" 0.0"	
"5s2.5p3"	"2D*"	"3/2"	4	" 13267.0"	
"5s2.5p3"	"2D*"	"5/2"	6	" 17510.7"	
"5s2.5p3"	"2P*"	"1/2"	2	" 28036.4"	
"5s2.5p3"	"2P*"	"3/2"	4	" 35649.6"	
"5s.5p4"	"4P"	"5/2"	6	" 99663.8"	
"5s.5p4"	"4P"	"3/2"	4	" 106923.2"	
"5s.5p4"	"4P"	"1/2"	2	" 109254.4"	
"5s.5p4"	"2D"	"3/2"	4	" 121928.9"	
"5s.5p4"	"2D"	"5/2"	6	" 125474.7"	
"5s2.5p2.(3P).5d"	"2P"	"3/2"	4	" 133027.4"	
"5s2.5p2.(3P).5d"	"4F"	"3/2"	4	" 134980.6"	
"5s2.5p2.(3P).5d"	"4F"	"5/2"	6	" 136495.9"	
"5s2.5p2.(3P).5d"	"2P"	"1/2"	2	" 136796.3"	
"5s2.5p2.(3P).5d"	"4F"	"7/2"	8	" 141624.8"	
"5s2.5p2.(1D).5d"	"2F"	"5/2"	6	" 141824.4"	
"5s2.5p2.(1D).5d"	"2F"	"7/2"	8	" 145011.2"	
"5s2.5p2.(3P).5d"	"4D"	"1/2"	2	" 145105.7"	
"5s2.5p2.(3P).5d"	"4F"	"9/2"	10	" 145991.1"	
"5s2.5p2.(3P).5d"	"4D"	"3/2"	4	" 146206.5"	
"5s2.5p2.(3P).5d"	"4D"	"5/2"	6	" 148685.0"	
"5s.5p4"	"2S"	"1/2"	2	" 150737.3"	
"5s2.5p2.(3P).5d"	"4D"	"7/2"	8	" 155863.9"	
"5s2.5p2.(3P).6s"	"4P"	"1/2"	2	" 157205.0"	
"5s2.5p2.(3P).5d"	"4P"	"5/2"	6	" 159642.8"	
"5s2.5p2.(1D).5d"	"2G"	"7/2"	8	" 160665.1"	
"5s2.5p2.(3P).5d"	"4P"	"3/2"	4	" 161434.7"	
"5s2.5p2.(3P).5d"	"4P"	"1/2"	2	" 162866.5"	
"5s2.5p2.(1D).5d"	"2G"	"9/2"	10	" 163463.1"	
"5s2.5p2.(3P).5d"	"2D"	"3/2"	4	" 163596.7"	
"5s2.5p2.(3P).6s"	"4P"	"3/2"	4	" 165280.0"	
"5s.5p4"	"2P"	"3/2"	4	" 165995.3"	
