Configuration	Term	J	g	Level (cm-1)
"4d9"	"2D"	"5/2"	6	" 0"	
"4d9"	"2D"	"3/2"	4	" 16725."	
"4d8.5p"	"629040*"	"7/2"	8	" 629040."	
"4p5.4d10"	"629234*"	"3/2"	4	" 629234."	
"4d8.5p"	"644130*"	"3/2"	4	" 644130."	
"4d8.5p"	"646494*"	"5/2"	6	" 646494."	
"4d8.5p"	"646880*"	"7/2"	8	" 646880."	
"4d8.5p"	"654245*"	"3/2"	4	" 654245."	
"4d8.5p"	"656520*"	"1/2"	2	" 656520."	
"4d8.5p"	"657645*"	"5/2"	6	" 657645."	
"4d8.5p"	"658993*"	"7/2"	8	" 658993."	
"4d8.5p"	"662160*"	"3/2"	4	" 662160."	
"4d8.5p"	"664256*"	"5/2"	6	" 664256."	
"4d8.5p"	"668525*"	"5/2"	6	" 668525."	
"4d8.5p"	"669531*"	"7/2"	8	" 669531."	
"4d8.5p"	"671045*"	"5/2"	6	" 671045."	
"4d8.5p"	"672762*"	"7/2"	8	" 672762.?"	
"4d8.5p"	"674159*"	"3/2"	4	" 674159."	
"4d8.5p"	"675652*"	"5/2"	6	" 675652."	
"4d8.5p"	"675878*"	"7/2"	8	" 675878."	
"4d8.4f"	"676893*"	"7/2"	8	" 676893."	
"4d8.5p"	"677421*"	"3/2"	4	" 677421."	
"4d8.5p"	"677704*"	"1/2"	2	" 677704."	
"4d8.4f"	"678351*"	"5/2"	6	" 678351."	
"4d8.5p"	"681425*"	"1/2"	2	" 681425."	
"4d8.4f"	"682437*"	"3/2"	4	" 682437."	
"4d8.5p"	"682838*"	"5/2"	6	" 682838."	
"4d8.5p"	"682998*"	"3/2"	4	" 682998."	
"4d8.5p"	"684240*"	"7/2"	8	" 684240."	
"4d8.4f"	"684807*"	"1/2"	2	" 684807."	
"4d8.4f"	"686273*"	"5/2"	6	" 686273."	
"4d8.4f"	"687770*"	"7/2"	8	" 687770."	
"4d8.5p"	"688121*"	"3/2"	4	" 688121."	
"4d8.4f"	"689190*"	"3/2"	4	" 689190."	
"4d8.5p"	"690757*"	"5/2"	6	" 690757."	
"4d8.5p"	"691306*"	"3/2"	4	" 691306."	
"4d8.5p"	"694056*"	"5/2"	6	" 694056."	
"4d8.5p"	"695239*"	"1/2"	2	" 695239."	
"4d8.5p"	"696975*"	"3/2"	4	" 696975."	
"4d8.4f"	"697440*"	"3/2"	4	" 697440."	
"4d8.4f"	"698751*"	"5/2"	6	" 698751."	
"4d8.4f"	"701155*"	"5/2"	6	" 701155."	
"4d8.5p"	"701735*"	"5/2"	6	" 701735."	
"4d8.4f"	"702652*"	"1/2"	2	" 702652."	
"4d8.5p"	"703997*"	"7/2"	8	" 703997."	
"4d8.5p"	"705669*"	"1/2"	2	" 705669."	
"4d8.4f"	"708748*"	"7/2"	8	" 708748."	
"4d8.4f"	"711392*"	"5/2"	6	" 711392."	
"4d8.4f"	"713643*"	"5/2"	6	" 713643."	
"4d8.4f"	"721870*"	"5/2"	6	" 721870."	
"4d8.5p"	"723216*"	"1/2"	2	" 723216."	
"4d8.4f"	"725785*"	"1/2"	2	" 725785."	
"4d8.4f"	"737104*"	"1/2"	2	" 737104."	
"4d8.5p"	"745212*"	"3/2"	4	" 745212."	
"4d8.4f"	"749681*"	"3/2"	4	" 749681."	
"4d8.4f"	"753489*"	"1/2"	2	" 753489."	
"4d8.4f"	"864592*"	"5/2"	6	" 864592."	
"4d8.4f"	"870470*"	"7/2"	8	" 870470."	
"4d8.4f"	"874794*"	"3/2"	4	" 874794."	
"4d8.4f"	"881539*"	"3/2"	4	" 881539."	
"4d8.4f"	"887203*"	"5/2"	6	" 887203."	
"4p5.4d10"	"924721*"	"1/2"	2	" 924721."	
"Xe XI (4d8 3F<4>)"	"Limit"	"---"		"(1629000)"	
