Configuration	Term	J	g	Level (cm-1)
"4p6"	"1S"	"0"	1	" 0.0"	
"4p5.4d"	"3P*"	"0"	1	" 209651.1"	
"4p5.4d"	"3P*"	"1"	3	" 211370.1"	
"4p5.4d"	"3P*"	"2"	5	" 214839.0"	
"4p5.4d"	"3F*"	"4"	9	" 217958.1"	
"4p5.4d"	"3F*"	"3"	7	" 220226.6"	
"4p5.4d"	"3F*"	"2"	5	" 223255.83"	
"4p5.4d"	"3D*"	"3"	7	" 230433.8"	
"4p5.4d"	"1D*"	"2"	5	" 234173.67"	
"4p5.4d"	"3D*"	"1"	3	" 235279.41"	
"4p5.4d"	"3D*"	"2"	5	" 237407.06"	
"4p5.4d"	"1F*"	"3"	7	" 239283.94"	
"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	5	" 256209.51"	
"4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	3	" 258516.28"	
"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	1	" 268400.20"	
"4p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	3	" 269963.30"	
"4p5.4d"	"1P*"	"1"	3	" 281010.52"	
"4p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	3	" 294302.89"	
"4p5.(2P*<3/2>).5p"	"2[5/2]"	"2"	5	" 298651.07"	
"4p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	7	" 299748.02"	
"4p5.(2P*<3/2>).5p"	"2[3/2]"	"1"	3	" 301671.98"	
"4p5.(2P*<3/2>).5p"	"2[3/2]"	"2"	5	" 303242.55"	
"4p5.(2P*<3/2>).5p"	"2[1/2]"	"0"	1	" 308034.72"	
"4p5.(2P*<1/2>).5p"	"2[3/2]"	"1"	3	" 310721.72"	
"4p5.(2P*<1/2>).5p"	"2[3/2]"	"2"	5	" 313585.95"	
"4p5.(2P*<1/2>).5p"	"2[1/2]"	"1"	3	" 313861.20"	
"4p5.(2P*<1/2>).5p"	"2[1/2]"	"0"	1	" 319303.78"	
"4p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	1	" 358171.17"	
