Configuration	Term	J	g	Level (cm-1)
"4s2.4p5"	"2P*"	"3/2"	4	" 0.0"	
"4s2.4p5"	"2P*"	"1/2"	2	" 12460.1"	
"4s.4p6"	"2S"	"1/2"	2	" 170945.6"	
"4s2.4p4.(3P).4d"	"4D"	"5/2"	6	" 218417.1"	
"4s2.4p4.(3P).4d"	"4D"	"7/2"	8	" 218556.8"	
"4s2.4p4.(3P).4d"	"4D"	"3/2"	4	" 219373.8"	
"4s2.4p4.(3P).4d"	"4D"	"1/2"	2	" 220794.7"	
"4s2.4p4.(3P).4d"	"4F"	"9/2"	10	" 229786.6"	
"4s2.4p4.(3P).4d"	"4F"	"7/2"	8	" 233703.8"	
"4s2.4p4.(1D).4d"	"2P"	"1/2"	2	" 233712.4"	
"4s2.4p4.(3P).4d"	"4F"	"5/2"	6	" 237677.7"	
"4s2.4p4.(3P).4d"	"4F"	"3/2"	4	" 238215.1"	
"4s2.4p4.(3P).4d"	"4P"	"1/2"	2	" 238898.3"	
"4s2.4p4.(3P).4d"	"4P"	"3/2"	4	" 239132.8"	
"4s2.4p4.(1D).4d"	"2D"	"3/2"	4	" 240949.3"	
"4s2.4p4.(3P).4d"	"2F"	"7/2"	8	" 242336.3"	
"4s2.4p4.(3P).4d"	"4P"	"5/2"	6	" 244311.6"	
"4s2.4p4.(1D).4d"	"2P"	"3/2"	4	" 244613.2"	
"4s2.4p4.(1D).4d"	"2D"	"5/2"	6	" 247861.2"	
"4s2.4p4.(1D).4d"	"2G"	"7/2"	8	" 250882.7"	
"4s2.4p4.(1D).4d"	"2G"	"9/2"	10	" 251052.4"	
"4s2.4p4.(3P).4d"	"2F"	"5/2"	6	" 251403.9"	
"4s2.4p4.(1D).4d"	"2F"	"5/2"	6	" 263184.0"	
"4s2.4p4.(1D).4d"	"2F"	"7/2"	8	" 266196.8"	
"4s2.4p4.(1S).4d"	"2D"	"3/2"	4	" 281244.5"	
"4s2.4p4.(1S).4d"	"2D"	"5/2"	6	" 286001.7"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	6	" 294102.42"	
"4s2.4p4.(1D).4d"	"2S"	"1/2"	2	" 294965.68"	
"4s2.4p4.(3P).4d"	"2P"	"3/2"	4	" 297071.14"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	4	" 298378.79"	
"4s2.4p4.(3P).4d"	"2D"	"5/2"	6	" 300224.19"	
"4s2.4p4.(3P).4d"	"2P"	"1/2"	2	" 302664.42"	
"4s2.4p4.(3P<0>).5s"	"2[0]"	"1/2"	2	" 304564.94"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	4	" 306215.37"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	2	" 310857.80"	
"4s2.4p4.(3P).4d"	"2D"	"3/2"	4	" 312044.02"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"5/2"	6	" 319132.57"	
"4s2.4p4.(1D<2>).5s"	"2[2]"	"3/2"	4	" 319603.81"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"3/2"	4	" 341856.85"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"5/2"	6	" 342193.59"	
"4s2.4p4.(3P<2>).5p"	"2[1]*"	"1/2"	2	" 345442.71"	
"4s2.4p4.(1S<0>).5s"	"2[0]"	"1/2"	2	" 345802.3"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	6	" 346658.00"	
"4s2.4p4.(3P<2>).5p"	"2[3]*"	"7/2"	8	" 346841.13"	
"4s2.4p4.(3P<1>).5p"	"2[0]*"	"1/2"	2	" 352605.14"	
"4s2.4p4.(3P<2>).5p"	"2[2]*"	"3/2"	4	" 352980.10"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"1/2"	2	" 354751.98"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"	4	" 355073.09"	
"4s2.4p4.(3P<1>).5p"	"2[2]*"	"5/2"	6	" 357042.76"	
"4s2.4p4.(3P<0>).5p"	"2[1]*"	"3/2"	4	" 359326.26"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	2	" 360635.14"	
"4s2.4p4.(3P<1>).5p"	"2[1]*"	"3/2"	4	" 360853.08"	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"5/2"	6	" 366490.78"	
"4s2.4p4.(1D<2>).5p"	"2[3]*"	"7/2"	8	" 368917.16"	
"4s2.4p4.(1D<2>).5p"	"2[1]*"	"3/2"	4	" 371491.26"	
"4s2.4p4.(1D<2>).5p"	"2[2]*"	"3/2"	4	" 374277.21"	
"4s2.4p4.(1D<2>).5p"	"2[2]*"	"5/2"	6	" 374641.58"	
"4s2.4p4.(1D<2>).5p"	"2[1]*"	"1/2"	2	" 378488.47"	
"4s2.4p4.(1S<0>).5p"	"2[1]*"	"1/2"	2	" 395993.3"	
"4s2.4p4.(1S<0>).5p"	"2[1]*"	"3/2"	4	" 397637.50"	
"4s2.4p4.(3P<2>).5d"	"2[3]"	"7/2"	8	" 418265.3"	
"4s2.4p4.(3P<2>).5d"	"2[2]"	"5/2"	6	" 418310.2"	
"4s2.4p4.(3P<2>).5d"	"2[2]"	"3/2"	4	" 418914.39"	
