Configuration	Term	J	g	Level (cm-1)
"4f14.6s"	"2S"	"1/2"	2	" 0.00"	
"4f13.(2F*).6s2"	"2F*"	"7/2"	8	" 21418.75"	
"4f14.5d"	"2D"	"3/2"	4	" 22960.80"	
"4f14.5d"	"2D"	"5/2"	6	" 24332.69"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"5/2"	6	" 26759.02"	
"4f14.6p"	"2P*"	"1/2"	2	" 27061.82"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"3/2"	4	" 28757.98"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"9/2"	10	" 30224.33"	
"4f14.6p"	"2P*"	"3/2"	4	" 30392.23"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"11/2"	12	" 30562.79"	
"4f13.(2F*).6s2"	"2F*"	"5/2"	6	" 31568.08"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[11/2]*"	"13/2"	14	" 31631.59"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"7/2"	8	" 31979.90"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"5/2"	6	" 32371.10"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[5/2]*"	"3/2"	4	" 32981.59"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"9/2"	10	" 33052.29"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"7/2"	8	" 33494.68"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[3/2]*"	"1/2"	2	" 33653.86"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"5/2"	6	" 34389.76"	
"4f13.(2F*<7/2>).5d.6s.(1D)"	"1[3/2]*"	"3/2"	4	" 34575.37"	
"4f13.(2F*<7/2>).5d.6s.(1D)"	"1[11/2]*"	"11/2"	12	" 34784.95"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"9/2"	10	" 35019.13"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[7/2]*"	"7/2"	8	" 35059.00"	
"4f13.(2F*<7/2>).5d.6s.(3D)"	"3[9/2]*"	"11/2"	12	" 35831.68"	
"4f13.(2F*<7/2>).5d.6s.(1D)"	"1[5/2]*"	"5/2"	6	" 37077.59"	
"4f13.(2F*<7/2>).5d.6s.(1D)"	"1[7/2]*"	"7/2"	8	" 37516.59"	
"4f13.(2F*<7/2>).5d.6s.(1D)"	"1[9/2]*"	"9/2"	10	" 38342.02"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[1/2]*"	"1/2"	2	" 39378.89"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[9/2]*"	"7/2"	8	" 40035.82"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[9/2]*"	"9/2"	10	" 40917.91"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[3/2]*"	"5/2"	6	" 41678.73"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[3/2]*"	"3/2"	4	" 41688.45"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[9/2]*"	"11/2"	12	" 42915.13"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[3/2]*"	"1/2"	2	" 43007.79"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"3/2"	4	" 43075.09"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"5/2"	6	" 43956.41"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[5/2]*"	"7/2"	8	" 44438.03"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"5/2"	6	" 44497.51"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"*"	"3/2"	4	" 44940.61"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[5/2]*"	"5/2"	6	" 45012.79"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"7/2"	8	" 45273.02"	
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[9/2]*"	"9/2"	10	" 45335.03"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"7/2"	8	" 45429.82"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"3/2"	4	" 45737.29"	
"4f13.(2F*<5/2>).5d.6s.(3D)"	"3[7/2]*"	"9/2"	10	" 46169.78"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[7/2]*"	"9/2"	10	" 46354.55"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"11/2"	12	" 46547.72"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[3/2]*"	"1/2"	2	" 46902.71"	
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[3/2]*"	"3/2"	4	" 47005.46"	
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[1/2]*"	"1/2"	2	" 47228.96"	
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[5/2]*"	"5/2"	6	" 47329.44"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"9/2"	10	" 47663.52"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"13/2"	14	" 47680.40"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"7/2"	8	" 47758.54"	
"4f13.(2F*<7/2>).6s.6p.(3P*<0>)"	"(7/2,0)"	"7/2"	8	" 47912.31"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[1/2]*"	"3/2"	4	" 48024.70"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"5/2"	6	" 48272.77"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"11/2"	12	" 48503.82"	
"4f13.(2F*<5/2>).5d.6s.(1D)"	"1[7/2]*"	"7/2"	8	" 48556.57"	
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"7/2"	8	" 48900.41"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[13/2]*"	"15/2"	16	" 48923.30"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"7/2"	8	" 49008.93"	
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"9/2"	10	" 49301.16"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[1/2]*"	"1/2"	2	" 49419.13"	
"4f13.(2F*<7/2>).6s.6p.(3P*<1>)"	"(7/2,1)"	"5/2"	6	" 49498.04"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[11/2]*"	"13/2"	14	" 49727.19"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"9/2"	10	" 49916.50"	
"4f13.(2F*<7/2>).5d2.(3F)"	"3[9/2]*"	"11/2"	12	" 50468.05"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"3/2"	4	" 50832.65"	
"4f13.(2F*<7/2>).5d2.(3F)"	"*"	"5/2"	6	" 51248.86"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[1/2]*"	"1/2"	2	" 52067.87"	
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"11/2"	12	" 52517.35"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"9/2"	10	" 52880.75"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"7/2"	8	" 52921.62"	
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"3/2"	4	" 52938.01"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[3/2]*"	"3/2"	4	" 52987.76"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[7/2]*"	"5/2"	6	" 53120.58"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[15/2]*"	"15/2"	16	" 53322.89"	
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"5/2"	6	" 53404.96"	
"4f13.(2F*<7/2>).5d2.(1D)"	"1[7/2]*"	"7/2"	8	" 53644.89"	
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"7/2"	8	" 53715.26"	
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"5/2"	6	" 53716.38"	
"4f13.(2F*<7/2>).6s.6p.(3P*<2>)"	"(7/2,2)"	"9/2"	10	" 53720.71"	
"4f13.(2F*<7/2>).5d2.(1D)"	"1[11/2]*"	"11/2"	12	" 54192.51"	
"4f14.7s"	"2S"	"1/2"	2	" 54304.30"	
"4f13.(2F*<7/2>).5d2.(1D)"	"1[9/2]*"	"9/2"	10	" 54640.82"	
"4f13.(2F*<7/2>).5d2.(1D)"	"1[3/2]*"	"3/2"	4	" 55221.46"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"7/2"	8	" 55462.68"	
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"3/2"	4	" 55702.07"	
"4f13.(2F*<7/2>).5d2.(3P)"	"*"	"5/2"	6	" 56056.91"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"9/2"	10	" 56088.39"	
"4f13.(2F*<7/2>).5d.6p.(1P*<1>)"	""	"5/2"	6	" 56375.91"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"9/2"	10	" 56480.77"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"7/2"	8	" 56500.64"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[9/2]*"	"11/2"	12	" 56621.15"	
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"3/2"	4	" 56840.04"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[1/2]*"	"1/2"	2	" 56977.71"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[7/2]*"	"7/2"	8	" 57103.02"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[9/2]*"	"7/2"	8	" 57534.45"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[13/2]*"	"13/2"	14	" 57561.62"	
"4f13.(2F*<7/2>).6s.6p.(1P*<1>)"	"(7/2,1)"	"9/2"	10	" 57765.32"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"5/2"	6	" 57798.51"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"11/2"	12	" 58051.51"	
"4f13.(2F*<7/2>).5d2.(3P)"	"3[5/2]*"	"3/2"	4	" 58162.75"	
"4f13.(2F*<5/2>).6s.6p.(3P*<0>)"	"(5/2,0)"	"5/2"	6	" 58283.91"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[9/2]*"	"9/2"	10	" 58484.54"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[7/2]*"	"5/2"	6	" 58661.13"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[3/2]*"	"1/2"	2	" 58672.53"	
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"5/2"	6	" 58823.58"	
"4f13.(2F*<7/2>).5d.6p.(3F*<2>)"	"(7/2,2)"	"11/2"	12	" 58961.37"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[9/2]*"	"9/2"	10	" 59046.89"	
"4f13.(2F*<7/2>).6s.6p.(1P*<1>)"	""	"7/2"	8	" 59090.13"	
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"5/2"	6	" 59259.24"	
"4f13.(2F*<5/2>).5d2.(3F)"	"*"	"5/2"	6	" 59439.08"	
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"7/2"	8	" 59618.90"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[7/2]*"	"7/2"	8	" 59624.66"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[11/2]*"	"13/2"	14	" 59632.21?"	
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"3/2"	4	" 59710.65"	
"4f13.(2F*<7/2>).5d2.(1G)"	"1[11/2]*"	"11/2"	12	" 59753.84"	
"4f13.(2F*<5/2>).5d2.(3F)"	"3[1/2]*"	"3/2"	4	" 59777.07"	
