Configuration	Term	J	g	Level (cm-1)
"3d10"	"1S"	"0"	1	" 0"	
"3d9.4s"	"3D"	"3"	7	" 78096.3"	
"3d9.4s"	"3D"	"2"	5	" 79273.6"	
"3d9.4s"	"3D"	"1"	3	" 80850.2"	
"3d9.4s"	"1D"	"2"	5	" 83500.3"	
"3d9.4p"	"3P*"	"2"	5	" 137866.4"	
"3d9.4p"	"3P*"	"1"	3	" 140071.0"	
"3d9.4p"	"3F*"	"3"	7	" 140654.8"	
"3d9.4p"	"3F*"	"4"	9	" 141327.0"	
"3d9.4p"	"3P*"	"0"	1	" 141392.5"	
"3d9.4p"	"3F*"	"2"	5	" 142483.3"	
"3d9.4p"	"1F*"	"3"	7	" 144501.2"	
"3d9.4p"	"1D*"	"2"	5	" 145243.9"	
"3d9.4p"	"3D*"	"3"	7	" 145966.6"	
"3d9.4p"	"1P*"	"1"	3	" 147498.6"	
"3d9.4p"	"3D*"	"1"	3	" 147571.2"	
"3d9.4p"	"3D*"	"2"	5	" 147921.5"	
"3d8.4s2"	"3F"	"4"	9	" 190341.3"	
"3d8.4s2"	"3F"	"3"	7	" 192763.7"	
"3d8.4s2"	"3F"	"2"	5	" 194303.3"	
"3d8.4s2"	"1D"	"2"	5	" 208041.3"	
"3d8.4s2"	"3P"	"2"	5	" 211725.5"	
"3d8.4s2"	"3P"	"1"	3	" 211920.7"	
"3d8.4s2"	"3P"	"0"	1	" 212340.3"	
"3d9.4d"	"3S"	"1"	3	" 214357.0"	
"3d9.(2D<5/2>).5s"	"(5/2,1/2)"	"3"	7	" 214878.0"	
"3d9.(2D<5/2>).5s"	"(5/2,1/2)"	"2"	5	" 215340.5"	
"3d9.4d"	"3G"	"4"	9	" 216464.5"	
"3d9.4d"	"3G"	"5"	11	" 216607.4"	
"3d9.4d"	"3P"	"1"	3	" 216895.3"	
"3d9.4d"	"3P"	"2"	5	" 217073.8"	
"3d9.4d"	"3D"	"3"	7	" 217655.8"	
"3d9.(2D<3/2>).5s"	"(3/2,1/2)"	"1"	3	" 217663.7"	
"3d9.(2D<3/2>).5s"	"(3/2,1/2)"	"2"	5	" 217846.8"	
"3d9.4d"	"3F"	"3"	7	" 218040.5"	
"3d9.4d"	"3F"	"4"	9	" 218041.5"	
"3d9.4d"	"3P"	"0"	1	" 218428.0"	
"3d9.4d"	"3D"	"2"	5	" 218540.3"	
"3d9.4d"	"1P"	"1"	3	" 218909.4"	
"3d9.4d"	"1G"	"4"	9	" 219360.0"	
"3d9.4d"	"3G"	"3"	7	" 219684.9"	
"3d9.4d"	"3D"	"1"	3	" 220006.6"	
"3d9.4d"	"1D"	"2"	5	" 220668.3"	
"3d8.4s2"	"1G"	"4"	9	" 221052.2"	
"3d9.4d"	"1F"	"3"	7	" 221143.7"	
"3d9.4d"	"3F"	"2"	5	" 221343.6"	
"3d9.4d"	"1S"	"0"	1	" 230606.0"	
"3d8.4s2"	"1S"	"0"	1	" 233204.4"	
"3d9.5p"	"3P*"	"2"	5	" 233610.4"	
"3d9.5p"	"3F*"	"3"	7	" 234384.0"	
"3d9.5p"	"3F*"	"4"	9	" 234576.0"	
"3d9.5p"	"3P*"	"1"	3	" 234866.9"	
"3d9.5p"	"3D*"	"2"	5	" 235452.5"	
"3d9.5p"	"3D*"	"3"	7	" 235623.9"	
"3d9.5p"	"3P*"	"0"	1	" 236560.0"	
"3d9.5p"	"3F*"	"2"	5	" 237047.8"	
"3d9.5p"	"1P*"	"1"	3	" 237506.8"	
"3d9.5p"	"1F*"	"3"	7	" 237642.7"	
"3d9.5p"	"3D*"	"1"	3	" 238205.5"	
"3d8.4s.(4F).4p"	"5D*"	"4"	9	" 240911"	
"3d8.4s.(4F).4p"	"5D*"	"3"	7	" 242741"	
"3d8.4s.(4F).4p"	"5D*"	"2"	5	" 244248"	
"3d8.4s.(4F).4p"	"5G*"	"4"	9	" 245136"	
"3d8.4s.(4F).4p"	"5D*"	"1"	3	" 245303"	
"3d8.4s.(4F).4p"	"5G*"	"3"	7	" 245991"	
"3d8.4s.(4F).4p"	"5G*"	"2"	5	" 246697"	
"3d8.4s.(4F).4p"	"5F*"	"4"	9	" 248149"	
"3d8.4s.(4F).4p"	"5F*"	"3"	7	" 249010"	
"3d8.4s.(4F).4p"	"5F*"	"2"	5	" 249576"	
"3d8.4s.(4F).4p"	"5F*"	"1"	3	" 249859"	
"3d8.4s.(2F).4p"	"3G*"	"4"	9	" 250318"	
"3d8.4s.(2F).4p"	"3D*"	"3"	7	" 251396"	
"3d8.4s.(2F).4p"	"3G*"	"3"	7	" 252017"	
"3d8.4s.(2F).4p"	"3D*"	"2"	5	" 252405"	
"3d8.4s.(2F).4p"	"3F*"	"4"	9	" 253537"	
"3d8.4s.(2F).4p"	"3D*"	"1"	3	" 253690"	
"3d8.4s.(2F).4p"	"3F*"	"3"	7	" 254121"	
"3d8.4s.(2F).4p"	"3F*"	"2"	5	" 255299"	
"3d9.4f"	"3P*"	"0"	1	" 257491.1"	
"3d9.4f"	"3P*"	"1"	3	" 257566.1"	
"3d9.4f"	"*"	"2"	5	" 257678.7"	
"3d8.4s.(2F).4p"	"1F*"	"3"	7	" 257705"	
"3d9.4f"	"1H*"	"5"	11	" 257796.0"	
"3d9.4f"	"3H*"	"6"	13	" 257799.0"	
"3d9.4f"	"3D*"	"1"	3	" 257908.2"	
"3d9.4f"	"*"	"2"	5	" 257962.5"	
"3d9.4f"	"3F*"	"3"	7	" 258075.7"	
"3d8.4s.(2F).4p"	"1D*"	"2"	5	" 258086"	
"3d9.4f"	"3G*"	"5"	11	" 258171.2"	
"3d9.4f"	"3F*"	"4"	9	" 258178.3"	
"3d9.4f"	"1G*"	"4"	9	" 258239.6"	
"3d9.4f"	"1F*"	"3"	7	" 258277.7"	
"3d9.4f"	"3P*"	"2"	5	" 260418.1"	
"3d9.4f"	"1P*"	"1"	3	" 260584.1"	
"3d9.4f"	"3H*"	"5"	11	" 260613.1"	
"3d9.4f"	"3H*"	"4"	9	" 260623.1"	
"3d8.4s.(4P).4p"	"5P*"	"2"	5	" 260710"	
"3d9.4f"	"*"	"3"	7	" 260783"	
"3d9.(2D<5/2>).6s"	"(5/2,1/2)"	"3"	7	" 260796.6"	
"3d9.4f"	"3F*"	"2"	5	" 260805.9"	
"3d8.4s.(4P).4p"	"5P*"	"3"	7	" 260879"	
"3d9.4f"	"3G*"	"3"	7	" 260981.9"	
"3d9.4f"	"3G*"	"4"	9	" 260988.4"	
"3d9.(2D<5/2>).6s"	"(5/2,1/2)"	"2"	5	" 261007.3"	
"3d8.4s.(4P).4p"	"5P*"	"1"	3	" 261090"	
"3d9.(2D<5/2>).5d"	"2[1/2]"	"1"	3	" 261286.8"	
"3d9.(2D<5/2>).5d"	"2[9/2]"	"5"	11	" 261829.8"	
"3d9.(2D<5/2>).5d"	"2[9/2]"	"4"	9	" 261909.7"	
"3d9.(2D<5/2>).5d"	"2[3/2]"	"2"	5	" 261921.6"	
"3d9.(2D<5/2>).5d"	"2[3/2]"	"1"	3	" 261936.4"	
"3d9.(2D<5/2>).5d"	"2[5/2]"	"3"	7	" 262235.8"	
"3d9.(2D<5/2>).5d"	"2[7/2]"	"3"	7	" 262446.1"	
