Configuration	Term	J	g	Level (cm-1)
"3p6.3d9"	"2D"	"5/2"	6	" 0.0"	
"3p6.3d9"	"2D"	"3/2"	4	" 2759.1"	
"3p6.3d8.(3F).4s"	"4F"	"9/2"	10	" 128729.8"	
"3p6.3d8.(3F).4s"	"4F"	"7/2"	8	" 130366.1"	
"3p6.3d8.(3F).4s"	"4F"	"5/2"	6	" 131804.5"	
"3p6.3d8.(3F).4s"	"4F"	"3/2"	4	" 132777.3"	
"3p6.3d8.(3F).4s"	"2F"	"7/2"	8	" 135951.2"	
"3p6.3d8.(3F).4s"	"2F"	"5/2"	6	" 138479.4"	
"3p6.3d8.(1D).4s"	"2D"	"5/2"	6	" 148179.7"	
"3p6.3d8.(1D).4s"	"2D"	"3/2"	4	" 149190.8"	
"3p6.3d8.(3P).4s"	"4P"	"3/2"	4	" 151249.5"	
"3p6.3d8.(3P).4s"	"4P"	"1/2"	2	" 151392.4"	
"3p6.3d8.(3P).4s"	"4P"	"5/2"	6	" 151574.3"	
"3p6.3d8.(3P).4s"	"2P"	"3/2"	4	" 157074.8"	
"3p6.3d8.(3P).4s"	"2P"	"1/2"	2	" 157929.5"	
"3p6.3d8.(1G).4s"	"2G"	"9/2"	10	" 160886.0"	
"3p6.3d8.(1G).4s"	"2G"	"7/2"	8	" 160919.0"	
"3p6.3d8.(1S).4s"	"2S"	"1/2"	2	" 199369.0"	
"3p6.3d8.(3F).4p"	"4D*"	"7/2"	8	" 201319.0"	
"3p6.3d8.(3F).4p"	"4D*"	"5/2"	6	" 203684.6"	
"3p6.3d8.(3F).4p"	"4G*"	"9/2"	10	" 204447.0"	
"3p6.3d8.(3F).4p"	"4G*"	"11/2"	12	" 205261.0"	
"3p6.3d8.(3F).4p"	"4D*"	"3/2"	4	" 205453.0"	
"3p6.3d8.(3F).4p"	"4G*"	"7/2"	8	" 205991.0"	
"3p6.3d8.(3F).4p"	"4D*"	"1/2"	2	" 206513.0"	
"3p6.3d8.(3F).4p"	"4G*"	"5/2"	6	" 207175.3"	
"3p6.3d8.(3F).4p"	"4F*"	"9/2"	10	" 207737.0"	
"3p6.3d8.(3F).4p"	"4F*"	"7/2"	8	" 208921.3"	
"3p6.3d8.(3F).4p"	"2G*"	"9/2"	10	" 208970.0"	
"3p6.3d8.(3F).4p"	"4F*"	"5/2"	6	" 209899.0"	
"3p6.3d8.(3F).4p"	"4F*"	"3/2"	4	" 210187.1"	
"3p6.3d8.(3F).4p"	"2G*"	"7/2"	8	" 211189.5"	
"3p6.3d8.(3F).4p"	"2D*"	"5/2"	6	" 211569.7"	
"3p6.3d8.(3F).4p"	"2F*"	"7/2"	8	" 211823.7"	
"3p6.3d8.(3F).4p"	"2D*"	"3/2"	4	" 213479.8"	
"3p6.3d8.(3F).4p"	"2F*"	"5/2"	6	" 214167.3"	
"3p6.3d8.(3P).4p"	"4P*"	"3/2"	4	" 221426.2"	
"3p6.3d8.(3P).4p"	"4P*"	"5/2"	6	" 221737.4"	
"3p6.3d8.(3P).4p"	"4P*"	"1/2"	2	" 222120.0"	
"3p6.3d8.(1D).4p"	"2F*"	"5/2"	6	" 223609.4"	
"3p6.3d8.(1D).4p"	"2D*"	"3/2"	4	" 224997.6"	
"3p6.3d8.(1D).4p"	"2F*"	"7/2"	8	" 225032.5"	
"3p6.3d8.(1D).4p"	"2P*"	"1/2"	2	" 225414.0"	
"3p6.3d8.(1D).4p"	"2D*"	"5/2"	6	" 226050.2"	
"3p6.3d8.(1D).4p"	"2P*"	"3/2"	4	" 226684.9"	
"3p6.3d8.(3P).4p"	"4D*"	"5/2"	6	" 229162.8"	
"3p6.3d8.(3P).4p"	"4D*"	"3/2"	4	" 229230.9"	
"3p6.3d8.(3P).4p"	"4D*"	"1/2"	2	" 229252.8"	
