Configuration	Term	J	g	Level (cm-1)
"4d2.(3F).5s"	"a 4F"	"3/2"	4	" 0.00"	
"4d2.(3F).5s"	"a 4F"	"5/2"	6	" 314.67"	
"4d2.(3F).5s"	"a 4F"	"7/2"	8	" 763.44"	
"4d2.(3F).5s"	"a 4F"	"9/2"	10	" 1322.91"	
"4d3"	"b 4F"	"3/2"	4	" 2572.21"	
"4d3"	"b 4F"	"5/2"	6	" 2895.05"	
"4d3"	"b 4F"	"7/2"	8	" 3299.64"	
"4d3"	"b 4F"	"9/2"	10	" 3757.66"	
"4d2.(1D).5s"	"a 2D"	"3/2"	4	" 4248.30"	
"4d2.(1D).5s"	"a 2D"	"5/2"	6	" 4505.50"	
"4d2.(3P).5s"	"a 2P"	"1/2"	2	" 5724.38"	
"4d2.(3F).5s"	"a 2F"	"5/2"	6	" 5752.92"	
"4d2.(3P).5s"	"a 2P"	"3/2"	4	" 6111.70"	
"4d2.(3F).5s"	"a 2F"	"7/2"	8	" 6467.61"	
"4d2.(3P).5s"	"a 4P"	"1/2"	2	" 7512.67"	
"4d2.(3P).5s"	"a 4P"	"3/2"	4	" 7736.02"	
"4d3"	"a 2G"	"7/2"	8	" 7837.74"	
"4d2.(3P).5s"	"a 4P"	"5/2"	6	" 8058.16"	
"4d3"	"a 2G"	"9/2"	10	" 8152.80"	
"4d3"	"b 4P"	"1/2"	2	" 9553.10"	
"4d3"	"b 4P"	"3/2"	4	" 9742.80"	
"4d3"	"b 4P"	"5/2"	6	" 9968.65"	
"4d3"	"a 2H"	"9/2"	10	" 11984.46"	
"4d3"	"a 2H"	"11/2"	12	" 12359.66"	
"4d3"	"b 2D"	"3/2"	4	" 13428.50"	
"4d2.(1G).5s"	"b 2G"	"7/2"	8	" 14059.76"	
"4d3"	"b 2D"	"5/2"	6	" 14162.90"	
"4d2.(1G).5s"	"b 2G"	"9/2"	10	" 14190.45"	
"4d.5s2"	"c 2D"	"3/2"	4	" 14298.64"	
"4d.5s2"	"c 2D"	"5/2"	6	" 14733.37"	
"4d3"	"b 2F"	"7/2"	8	" 19433.24"	
"4d3"	"b 2F"	"5/2"	6	" 19514.84"	
"4d3"	"b 2P"	"1/2"	2	" 19613.54"	
"4d3"	"b 2P"	"3/2"	4	" 20080.30"	
"4d2.(1S).5s"	"a 2S"	"1/2"	2	" 25201.57"	
"4d3"	"d 2D"	"5/2"	6	" 27640.60"	
"4d3"	"d 2D"	"3/2"	4	" 27699.96"	
"4d2.(3F).5p"	"z 4G*"	"5/2"	6	" 27983.83"	
"4d2.(3F).5p"	"z 4G*"	"7/2"	8	" 28909.04"	
"4d2.(3F).5p"	"z 2F*"	"5/2"	6	" 29504.97"	
"4d2.(3F).5p"	"z 4F*"	"3/2"	4	" 29777.60"	
"4d2.(3F).5p"	"z 4G*"	"9/2"	10	" 29839.87"	
"4d2.(3F).5p"	"z 2D*"	"3/2"	4	" 30435.38"	
"4d2.(3F).5p"	"z 4F*"	"5/2"	6	" 30551.48"	
"4d2.(3F).5p"	"z 2F*"	"7/2"	8	" 30561.75"	
