Configuration	Term	J	g	Level (cm-1)
"4s2.4p5"	"2P*"	"3/2"	4	" 0.0"	
"4s2.4p5"	"2P*"	"1/2"	2	" 15602.8"	
"4s.4p6"	"2S"	"1/2"	2	" 191570.7"	
"4s2.4p4.(3P).4d"	"4D"	"5/2"	6	" 248940.1"	
"4s2.4p4.(3P).4d"	"4D"	"7/2"	8	" 249322.9"	
"4s2.4p4.(3P).4d"	"4D"	"3/2"	4	" 250017.6"	
"4s2.4p4.(3P).4d"	"4D"	"1/2"	2	" 251818.7"	
"4s2.4p4.(3P).4d"	"4F"	"9/2"	10	" 261642.9"	
"4s2.4p4.(3P).4d"	"4F"	"7/2"	8	" 266145.4"	
"4s2.4p4.(1D).4d"	"2P"	"1/2"	2	" 266278.5"	
"4s2.4p4.(3P).4d"	"4F"	"3/2"	4	" 271296.1"	
"4s2.4p4.(3P).4d"	"4F"	"5/2"	6	" 271374.4"	
"4s2.4p4.(3P).4d"	"4P"	"1/2"	2	" 272091.3"	
"4s2.4p4.(3P).4d"	"4P"	"3/2"	4	" 272834.4"	
"4s2.4p4.(1D).4d"	"2D"	"3/2"	4	" 274665.6"	
"4s2.4p4.(3P).4d"	"2F"	"7/2"	8	" 276491.3"	
"4s2.4p4.(3P).4d"	"4P"	"5/2"	6	" 278742.2"	
"4s2.4p4.(1D).4d"	"2P"	"3/2"	4	" 279457.2"	
"4s2.4p4.(1D).4d"	"2D"	"5/2"	6	" 283112.0"	
"4s2.4p4.(1D).4d"	"2G"	"7/2"	8	" 285967.1"	
"4s2.4p4.(1D).4d"	"2G"	"9/2"	10	" 286411.5"	
"4s2.4p4.(3P).4d"	"2F"	"5/2"	6	" 287142.4"	
"4s2.4p4.(1D).4d"	"2F"	"5/2"	6	" 299608.7"	
"4s2.4p4.(1D).4d"	"2F"	"7/2"	8	" 303517.2"	
"4s2.4p4.(1S).4d"	"2D"	"3/2"	4	" 319336.2"	
"4s2.4p4.(1S).4d"	"2D"	"5/2"	6	" 325576.8"	
"4s2.4p4.(1D).4d"	"2S"	"1/2"	2	" 334694.9"	
"4s2.4p4.(3P).4d"	"2P"	"3/2"	4	" 339682.78"	
"4s2.4p4.(3P).4d"	"2D"	"5/2"	6	" 343709.55"	
"4s2.4p4.(3P).4d"	"2P"	"1/2"	2	" 346345.6"	
"4s2.4p4.(3P).4d"	"2D"	"3/2"	4	" 358168.1"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	6	" 364827.11"	
"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	4	" 369711.65"	
"4s2.4p4.(3P<0>).5s"	"2[0]"	"1/2"	2	" 377452.05"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	4	" 379776.65"	
"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	2	" 384781.44"	
